Age,Education Level,Gender,College GPA (/4),A Level Result (/5),Age Started Gaming,Mobile or PC,Sleep Time,Attend Morning Class,Average Gaming Time (hrs/day),Game Played,Read Newspaper,Paid or Unpaid Game,Time with Family and Friends,Feelings Without Gaming in a Day,Feelings After Completing Level,Fatigue,Gaming for Stress Relief,Glasses
26,Master's Level,Female,2.68,4.49,23,PC,22,No,3,FREE FIRE,Regular,Paid,2,negative,Bored,No,Yes,No
24,Bachelor Level,Female,2.84,4,18,Mobile,1,No,4,CALL OF DUTY,Regular,Paid,2,negative,Bored,Yes,Yes,Yes
30,Master's Level,Female,3.21,3.77,16,Mobile,0,Yes,4,COC,Regular,Paid,2,negative,Bored,Yes,No,Yes
25,Bachelor Level,Male,2.94,4.53,17,PC,23,Yes,6,IGA,Regular,Paid,1,negative,Bored,No,No,Yes
23,Bachelor Level,Male,3.46,3.62,21,PC,2,Yes,6,FREE FIRE,Regular,Paid,1,negative,Bored,No,No,Yes
21,Bachelor Level,Male,3.34,4.5,22,PC,1,No,3,CALL OF DUTY,Not regular,Paid,3,negative,Bored,Yes,No,Yes
23,Bachelor Level,Male,2.9,3.33,20,PC,1,No,4,COC,Not regular,Paid,2,negative,Bored,Yes,Yes,Yes
20,Bachelor Level,Male,2.32,4.6,20,Mobile,1,Yes,3,FIFA,Not regular,Paid,1,negative,Excited,Yes,Yes,No
22,Bachelor Level,Female,3.5,3.52,22,PC,1,No,5,FREE FIRE,Regular,Paid,3,negative,Bored,Yes,No,Yes
21,Bachelor Level,Male,2.83,5,19,PC,22,No,3,PES,Regular,Paid,3,negative,Bored,No,No,No
26,Master's Level,Female,2.62,3.29,22,PC,1,No,5,CALL OF DUTY,Not regular,Paid,2,negative,Excited,Yes,No,No
30,Master's Level,Female,2.74,3.81,24,PC,2,Yes,5,CALL OF DUTY,Not regular,Paid,1,positive,Bored,Yes,Yes,Yes
29,Master's Level,Female,3.28,4.79,20,Mobile,22,Yes,3,COC,Regular,Paid,2,positive,Excited,Yes,No,Yes
27,Master's Level,Female,2.73,4.33,16,PC,23,No,5,PES,Not regular,Paid,3,positive,Excited,Yes,Yes,No
21,Bachelor Level,Female,3.52,4.82,23,PC,2,No,6,FREE FIRE,Not regular,Paid,3,negative,Bored,Yes,Yes,Yes
28,Master's Level,Male,3.79,3.87,16,Mobile,23,No,4,CALL OF DUTY,Not regular,Paid,3,negative,Excited,No,Yes,Yes
20,Bachelor Level,Female,3.73,4.85,18,Mobile,23,Yes,3,FIFA,Not regular,Paid,2,negative,Bored,No,Yes,Yes
29,Master's Level,Female,3.48,3.03,21,Mobile,2,Yes,3,CALL OF DUTY,Not regular,Paid,2,negative,Excited,Yes,Yes,No
30,Master's Level,Male,3.53,3.04,18,PC,22,No,2,PUBG,Regular,Paid,3,negative,Bored,No,Yes,Yes
21,Bachelor Level,Male,2.95,3.14,16,PC,23,Yes,2,PES,Regular,Paid,3,positive,Bored,Yes,No,Yes
27,Master's Level,Female,3.68,4.99,18,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,1,negative,Excited,No,No,Yes
30,Master's Level,Female,3.99,3.5,20,Mobile,1,Yes,3,COC,Not regular,Paid,1,positive,Bored,Yes,No,Yes
27,Master's Level,Male,3.2,5,21,PC,0,No,3,PUBG,Not regular,Paid,3,negative,Bored,No,Yes,Yes
21,Bachelor Level,Male,3,4,15,Mobile,2,No,2,PES,Not regular,Unpaid,5,positive,Excited,Yes,Yes,No
21,Bachelor Level,Male,3.9,5,16,Mobile,0,Yes,3,FIFA,Not regular,Unpaid,6,neutral,Excited,Yes,No,No
22,Bachelor Level,Female,4,3.8,19,PC,23,Yes,4,FREE FIRE,Not regular,Unpaid,2,negative,Bored,Yes,No,No
26,Master's Level,Female,3,3.6,22,Mobile,1,No,2,FREE FIRE,Not regular,Paid,2,negative,Excited,Yes,No,Yes
22,Bachelor Level,Female,3,4,3,PC,23,Yes,3,PES,Not regular,Unpaid,3,negative,Excited,Yes,Yes,No
27,Master's Level,Male,3.5,5,20,Mobile,2,Yes,4,IGA,Regular,Paid,4,negative,Excited,Yes,Yes,No
22,Bachelor Level,Male,3,4,20,PC,0,Yes,3,COC,Regular,Paid,2,negative,Bored,Yes,Yes,Yes
26,Master's Level,Female,3.3,4.58,22,PC,1,Yes,3,PUBG,Not regular,Unpaid,2,positive,Excited,Yes,Yes,Yes
25,Bachelor Level,Male,3.8,5,22,PC,0,No,2,FIFA,Regular,Paid,2,negative,Excited,Yes,Yes,Yes
24,Bachelor Level,Male,3,4.63,20,Mobile,0,Yes,2,PUBG,Regular,Paid,2,negative,Bored,Yes,Yes,Yes
26,Master's Level,Female,3,4,22,Mobile,2,Yes,2,PUBG,Regular,Paid,2,negative,Excited,Yes,Yes,Yes
24,Bachelor Level,Male,3,4.59,22,Mobile,1,Yes,3,COC,Regular,Paid,3,negative,Bored,Yes,Yes,Yes
26,Master's Level,Female,4,3,22,Mobile,1,Yes,2,COC,Not regular,Unpaid,1,negative,Excited,Yes,Yes,Yes
25,Master's Level,Female,3.3,3.37,21,PC,2,No,3,FIFA,Not regular,Paid,3,positive,Bored,Yes,No,Yes
24,Bachelor Level,Female,3.25,4,19,PC,0,Yes,6,PUBG,Regular,Unpaid,2,negative,Bored,No,Yes,Yes
27,Master's Level,Female,4,5,22,Mobile,23,No,5,CALL OF DUTY,Regular,Unpaid,3,negative,Excited,No,No,No
18,Bachelor Level,Male,4,4.73,19,PC,22,No,3,FIFA,Not regular,Paid,2,negative,Excited,No,No,Yes
18,Bachelor Level,Female,2.53,3.03,18,PC,2,No,4,PES,Regular,Paid,2,negative,Bored,Yes,No,Yes
22,Bachelor Level,Female,3.19,4.29,18,PC,1,No,4,IGA,Not regular,Unpaid,2,negative,Bored,No,Yes,No
27,Master's Level,Male,4,2.33,24,Mobile,23,No,4,PES,Not regular,Unpaid,4,negative,Excited,No,No,Yes
24,Bachelor Level,Female,3,4,18,Mobile,23,Yes,4,PUBG,Not regular,Unpaid,4,negative,Excited,No,No,No
24,Bachelor Level,Female,4,4.04,20,Mobile,22,No,5,CALL OF DUTY,Not regular,Paid,3,negative,Excited,Yes,Yes,No
18,Bachelor Level,Male,2.75,4.33,19,PC,1,Yes,6,CALL OF DUTY,Not regular,Unpaid,3,negative,Bored,Yes,Yes,No
19,Bachelor Level,Female,3,4.83,20,PC,22,No,6,PES,Regular,Paid,4,negative,Bored,Yes,Yes,Yes
27,Master's Level,Male,2.98,4,22,PC,0,Yes,2,FIFA,Not regular,Paid,2,negative,Bored,Yes,Yes,Yes
24,Bachelor Level,Female,3.25,4.43,19,Mobile,23,Yes,4,CALL OF DUTY,Regular,Unpaid,4,negative,Bored,Yes,No,No
26,Master's Level,Female,3.96,5,22,PC,1,No,2,IGA,Not regular,Paid,4,negative,Excited,Yes,No,No
21,Bachelor Level,Male,3,4.55,19,Mobile,23,No,3,FREE FIRE,Regular,Paid,2,positive,Bored,No,No,Yes
26,Master's Level,Female,2.5,3,21,Mobile,22,No,3,CALL OF DUTY,Regular,Paid,2,negative,Bored,No,No,No
19,Bachelor Level,Male,3,4,19,Mobile,22,Yes,5,PES,Regular,Unpaid,2,negative,Excited,No,Yes,Yes
26,Master's Level,Male,3,3.18,22,Mobile,1,Yes,3,IGA,Not regular,Paid,3,positive,Bored,Yes,Yes,No
27,Master's Level,Male,3.5,4.5,21,Mobile,1,No,5,COC,Regular,Paid,2,positive,Bored,No,Yes,No
27,Master's Level,Male,2.76,4.75,20,Mobile,22,No,6,IGA,Regular,Unpaid,3,negative,Bored,Yes,No,No
18,Bachelor Level,Female,4,4.22,20,PC,1,No,2,CALL OF DUTY,Regular,Paid,2,positive,Bored,No,Yes,No
19,Bachelor Level,Female,3.19,2,19,Mobile,23,Yes,5,FIFA,Regular,Unpaid,3,negative,Bored,No,No,Yes
20,Bachelor Level,Female,3.04,4,20,Mobile,1,No,3,FIFA,Not regular,Unpaid,3,negative,Excited,No,Yes,No
18,Bachelor Level,Male,3,4.5,21,PC,2,Yes,3,PUBG,Not regular,Unpaid,4,negative,Excited,No,Yes,Yes
28,Master's Level,Male,2.75,4,23,PC,22,Yes,6,FIFA,Regular,Paid,2,positive,Bored,Yes,No,Yes
20,Bachelor Level,Female,3,3.59,20,Mobile,23,No,2,IGA,Not regular,Unpaid,3,negative,Bored,Yes,Yes,Yes
20,Bachelor Level,Female,3,4,18,Mobile,22,Yes,2,FIFA,Not regular,Paid,4,negative,Excited,Yes,Yes,Yes
19,Bachelor Level,Male,2.34,3,21,PC,23,Yes,3,FREE FIRE,Not regular,Unpaid,2,positive,Bored,Yes,Yes,Yes
27,Master's Level,Male,3.33,2,20,Mobile,1,Yes,5,PES,Regular,Unpaid,4,positive,Excited,No,No,Yes
23,Bachelor Level,Female,3.1,5,20,Mobile,1,Yes,6,COC,Not regular,Paid,3,negative,Excited,No,No,Yes
24,Bachelor Level,Female,3,4.5,20,Mobile,22,Yes,3,IGA,Regular,Unpaid,2,positive,Bored,Yes,No,No
23,Bachelor Level,Male,4,4.75,19,Mobile,23,Yes,6,FREE FIRE,Not regular,Paid,3,negative,Bored,Yes,No,Yes
23,Bachelor Level,Male,3.02,5,18,PC,2,No,2,COC,Regular,Unpaid,4,negative,Excited,Yes,No,Yes
21,Bachelor Level,Female,4,2.94,21,Mobile,0,Yes,4,PES,Not regular,Unpaid,4,negative,Excited,Yes,Yes,No
20,Bachelor Level,Male,3,3.5,21,Mobile,2,No,6,FREE FIRE,Not regular,Unpaid,2,negative,Excited,No,No,Yes
27,Master's Level,Male,4,4.45,21,PC,22,No,3,IGA,Regular,Unpaid,4,positive,Bored,Yes,Yes,Yes
20,Bachelor Level,Male,3.21,5,19,PC,1,Yes,3,PUBG,Not regular,Paid,2,negative,Bored,No,Yes,Yes
19,Bachelor Level,Male,3,4,18,PC,2,No,6,FIFA,Not regular,Unpaid,4,negative,Excited,No,No,No
28,Master's Level,Male,3.35,5,21,PC,0,No,2,FIFA,Not regular,Paid,2,negative,Excited,Yes,No,No
24,Bachelor Level,Female,3,4,19,PC,22,No,5,PES,Regular,Unpaid,2,negative,Bored,Yes,No,No
18,Bachelor Level,Male,2,4,19,Mobile,0,Yes,6,COC,Regular,Unpaid,4,positive,Excited,No,No,No
18,Bachelor Level,Male,4,4.22,21,Mobile,0,No,3,FREE FIRE,Regular,Unpaid,4,negative,Bored,No,No,No
19,Bachelor Level,Male,3.44,4.5,18,Mobile,22,No,6,FIFA,Not regular,Paid,4,positive,Excited,No,Yes,Yes
27,Master's Level,Male,3.98,3,22,PC,23,Yes,4,IGA,Not regular,Paid,2,negative,Excited,No,No,No
28,Master's Level,Female,3.82,4.65,20,Mobile,2,Yes,4,CALL OF DUTY,Not regular,Unpaid,4,positive,Bored,No,No,Yes
19,Bachelor Level,Male,2,4.15,18,Mobile,2,No,6,PES,Not regular,Unpaid,2,negative,Bored,No,No,Yes
23,Bachelor Level,Male,2.77,4.71,18,Mobile,0,Yes,3,COC,Regular,Paid,2,negative,Excited,No,Yes,No
24,Bachelor Level,Female,2,3.75,21,PC,2,Yes,3,PES,Not regular,Paid,3,negative,Bored,Yes,No,Yes
21,Bachelor Level,Female,4,4.5,20,PC,23,No,2,CALL OF DUTY,Regular,Paid,4,positive,Bored,No,Yes,Yes
18,Bachelor Level,Female,3.11,3.5,19,Mobile,2,No,6,FIFA,Regular,Paid,4,negative,Excited,No,Yes,No
28,Master's Level,Male,3.63,4,20,Mobile,23,No,2,COC,Regular,Unpaid,4,negative,Bored,No,No,No
20,Bachelor Level,Female,3,5,18,Mobile,2,Yes,2,FIFA,Not regular,Unpaid,4,negative,Bored,No,Yes,Yes
28,Master's Level,Female,4,5,21,PC,0,Yes,2,COC,Not regular,Unpaid,4,negative,Bored,No,No,No
23,Bachelor Level,Male,2.64,4.44,21,PC,1,Yes,2,CALL OF DUTY,Regular,Unpaid,2,positive,Bored,Yes,No,No
24,Bachelor Level,Female,2,4,20,PC,22,Yes,5,FREE FIRE,Not regular,Unpaid,2,negative,Excited,Yes,Yes,No
24,Bachelor Level,Female,3.5,5,19,PC,0,No,3,COC,Not regular,Unpaid,4,positive,Bored,Yes,Yes,Yes
21,Bachelor Level,Male,3.75,3.8,18,Mobile,2,No,6,COC,Not regular,Unpaid,2,negative,Bored,Yes,Yes,No
26,Master's Level,Male,3.69,4.28,21,Mobile,23,No,6,COC,Regular,Unpaid,2,negative,Excited,Yes,No,No
28,Master's Level,Male,2.27,3,21,PC,22,Yes,2,CALL OF DUTY,Not regular,Paid,2,positive,Bored,No,No,Yes
26,Master's Level,Male,2.61,4.03,24,Mobile,1,Yes,6,COC,Regular,Unpaid,3,positive,Bored,Yes,No,No
26,Master's Level,Female,2.43,4,22,PC,2,Yes,4,COC,Not regular,Unpaid,3,negative,Bored,No,No,Yes
28,Master's Level,Female,2.84,4,21,Mobile,2,No,3,PES,Regular,Paid,3,negative,Excited,No,No,Yes
20,Bachelor Level,Female,3.33,3.01,20,PC,22,No,3,FIFA,Not regular,Paid,2,negative,Excited,No,Yes,No
26,Master's Level,Male,3.36,4.02,24,Mobile,23,Yes,5,CALL OF DUTY,Regular,Unpaid,2,positive,Excited,No,Yes,Yes
21,Bachelor Level,Male,3,5,19,PC,22,No,4,IGA,Not regular,Paid,3,negative,Bored,No,No,No
21,Bachelor Level,Male,3.42,4,21,Mobile,2,Yes,3,CALL OF DUTY,Not regular,Unpaid,2,negative,Excited,No,Yes,No
28,Master's Level,Male,3,4,23,Mobile,1,Yes,6,FREE FIRE,Regular,Unpaid,2,positive,Excited,No,Yes,Yes
19,Bachelor Level,Male,2.86,4.45,18,PC,1,No,3,IGA,Regular,Unpaid,4,negative,Bored,Yes,No,Yes
19,Bachelor Level,Male,3.59,3,18,Mobile,23,No,3,CALL OF DUTY,Not regular,Paid,2,negative,Excited,No,No,Yes
23,Bachelor Level,Male,3.76,4.5,18,PC,23,Yes,5,PES,Not regular,Unpaid,2,negative,Excited,No,Yes,No
20,Bachelor Level,Male,3.71,5,18,Mobile,1,Yes,3,CALL OF DUTY,Regular,Unpaid,2,negative,Excited,No,No,No
21,Bachelor Level,Female,3.84,4,18,PC,0,No,6,FREE FIRE,Regular,Unpaid,4,negative,Excited,Yes,Yes,No
19,Bachelor Level,Male,2.5,3,20,PC,23,Yes,5,PES,Regular,Unpaid,4,negative,Excited,Yes,Yes,No
24,Bachelor Level,Male,3,3.55,20,PC,23,No,4,FREE FIRE,Regular,Unpaid,2,positive,Excited,No,No,No
22,Bachelor Level,Male,3.2,4,19,PC,22,No,6,CALL OF DUTY,Not regular,Paid,3,negative,Excited,No,Yes,Yes
19,Bachelor Level,Female,2,5,21,Mobile,22,Yes,5,IGA,Regular,Paid,3,negative,Excited,Yes,No,No
24,Bachelor Level,Female,3.98,5,20,Mobile,23,No,6,CALL OF DUTY,Not regular,Paid,4,negative,Bored,No,Yes,Yes
22,Bachelor Level,Female,2.79,4.5,19,PC,22,Yes,3,FIFA,Not regular,Paid,4,negative,Bored,No,No,Yes
24,Bachelor Level,Male,2.4,3.98,18,PC,2,No,4,COC,Regular,Paid,4,negative,Bored,Yes,Yes,No
24,Bachelor Level,Female,3,3.11,18,PC,2,No,2,PUBG,Regular,Unpaid,4,positive,Bored,No,Yes,No
26,Master's Level,Female,3,4.03,21,PC,23,No,5,CALL OF DUTY,Regular,Unpaid,4,negative,Excited,No,No,No
21,Bachelor Level,Female,3.68,5,18,PC,2,Yes,2,PUBG,Regular,Unpaid,3,negative,Excited,Yes,No,No
23,Bachelor Level,Male,3.85,5,19,PC,0,No,2,COC,Not regular,Unpaid,4,negative,Bored,Yes,No,No
27,Master's Level,Male,3.35,5,24,PC,22,No,5,PUBG,Not regular,Unpaid,3,negative,Bored,Yes,Yes,Yes
24,Bachelor Level,Male,3,3.5,21,Mobile,22,Yes,3,PES,Regular,Paid,3,negative,Excited,Yes,No,No
20,Bachelor Level,Male,4,5,21,PC,0,Yes,2,FREE FIRE,Regular,Unpaid,3,negative,Bored,No,Yes,Yes
23,Bachelor Level,Female,3,3.93,18,PC,2,No,5,COC,Regular,Unpaid,2,positive,Excited,Yes,Yes,Yes
25,Master's Level,Male,3,4.8,23,PC,22,Yes,3,COC,Not regular,Unpaid,4,negative,Bored,Yes,Yes,Yes
26,Master's Level,Male,2.2,4.29,24,Mobile,22,No,2,FIFA,Not regular,Unpaid,4,negative,Bored,No,Yes,No
28,Master's Level,Male,3,3,22,PC,0,No,2,FIFA,Regular,Unpaid,2,positive,Excited,Yes,Yes,No
20,Bachelor Level,Female,2,3.42,21,PC,1,No,6,COC,Regular,Unpaid,2,negative,Excited,No,No,Yes
28,Master's Level,Female,4,5,21,PC,23,Yes,6,PUBG,Regular,Unpaid,2,positive,Bored,Yes,Yes,No
18,Bachelor Level,Female,2.32,2.61,19,PC,22,Yes,2,CALL OF DUTY,Regular,Unpaid,2,negative,Bored,Yes,Yes,No
19,Bachelor Level,Male,3,3.75,21,Mobile,0,Yes,6,IGA,Not regular,Paid,4,positive,Bored,Yes,Yes,No
22,Bachelor Level,Male,2,3.39,19,Mobile,1,No,3,IGA,Not regular,Unpaid,4,negative,Bored,Yes,No,Yes
21,Bachelor Level,Male,2,3.5,20,Mobile,2,Yes,4,IGA,Regular,Paid,3,positive,Bored,Yes,No,No
24,Bachelor Level,Male,2.54,3,20,Mobile,1,Yes,6,FIFA,Regular,Unpaid,3,negative,Bored,Yes,Yes,Yes
23,Bachelor Level,Male,3.19,3,21,PC,23,Yes,5,PUBG,Regular,Paid,4,negative,Bored,Yes,Yes,Yes
23,Bachelor Level,Male,3,3,18,PC,2,Yes,4,IGA,Not regular,Paid,4,negative,Excited,Yes,No,No
20,Bachelor Level,Female,3.96,5,19,Mobile,1,No,3,IGA,Not regular,Paid,2,negative,Bored,Yes,Yes,Yes
23,Bachelor Level,Female,3,4.1,20,Mobile,0,No,6,FREE FIRE,Not regular,Unpaid,3,positive,Bored,No,No,No
22,Bachelor Level,Male,3,3.54,20,Mobile,2,No,4,PUBG,Not regular,Paid,4,negative,Excited,Yes,Yes,Yes
24,Bachelor Level,Female,2.5,3.81,18,Mobile,22,Yes,5,PUBG,Regular,Paid,2,negative,Bored,No,Yes,Yes
18,Bachelor Level,Male,2,4.2,18,Mobile,23,No,6,CALL OF DUTY,Regular,Paid,3,negative,Bored,Yes,No,No
19,Bachelor Level,Male,2,4,18,PC,23,Yes,2,FREE FIRE,Regular,Paid,2,negative,Bored,No,No,No
23,Bachelor Level,Female,2.19,3.35,21,Mobile,22,No,5,IGA,Regular,Paid,2,negative,Bored,No,No,No
22,Bachelor Level,Female,3,3.51,20,Mobile,23,Yes,2,CALL OF DUTY,Not regular,Paid,4,positive,Bored,Yes,No,No
28,Master's Level,Female,3.55,5,22,Mobile,2,Yes,3,FREE FIRE,Regular,Unpaid,3,negative,Bored,Yes,Yes,No
24,Bachelor Level,Female,2.56,4.13,20,PC,22,No,6,IGA,Regular,Paid,3,positive,Bored,No,No,No
21,Bachelor Level,Male,2,3.82,21,PC,0,Yes,4,PES,Not regular,Unpaid,4,positive,Excited,No,No,Yes
27,Master's Level,Male,4,4.72,20,PC,0,No,2,FREE FIRE,Not regular,Paid,4,positive,Bored,Yes,No,No
24,Bachelor Level,Female,3.5,4,21,Mobile,23,No,6,FREE FIRE,Not regular,Unpaid,4,negative,Bored,No,No,Yes
28,Master's Level,Male,3,5,24,Mobile,22,Yes,5,COC,Regular,Unpaid,4,negative,Bored,Yes,No,No
26,Master's Level,Female,3.02,4.72,20,Mobile,2,No,2,COC,Regular,Unpaid,4,negative,Bored,Yes,Yes,No
23,Bachelor Level,Female,4,4,21,PC,23,Yes,5,COC,Not regular,Paid,4,positive,Excited,Yes,Yes,No
23,Bachelor Level,Female,3.25,5,20,PC,2,No,4,PUBG,Not regular,Paid,3,negative,Bored,No,Yes,Yes
22,Bachelor Level,Female,2,3.75,19,PC,1,No,2,COC,Not regular,Paid,3,negative,Excited,Yes,Yes,No
28,Master's Level,Male,4,4.46,24,Mobile,22,Yes,4,FIFA,Not regular,Unpaid,3,negative,Excited,No,No,No
26,Master's Level,Female,3.52,5,21,PC,22,No,5,COC,Not regular,Paid,3,positive,Bored,No,No,Yes
18,Bachelor Level,Male,2,4.75,20,PC,1,No,3,CALL OF DUTY,Not regular,Unpaid,2,positive,Bored,Yes,Yes,Yes
19,Bachelor Level,Male,3.41,4,19,Mobile,22,No,5,FIFA,Regular,Unpaid,3,negative,Bored,No,No,No
28,Master's Level,Male,3.23,4.54,22,PC,0,Yes,5,CALL OF DUTY,Regular,Paid,4,negative,Bored,Yes,Yes,No
23,Bachelor Level,Female,2,4,19,Mobile,2,No,4,CALL OF DUTY,Not regular,Unpaid,3,negative,Excited,No,Yes,Yes
27,Master's Level,Male,2.79,3.36,20,Mobile,0,Yes,2,PUBG,Not regular,Paid,2,negative,Bored,Yes,No,No
23,Bachelor Level,Female,3.05,3.9,18,PC,22,No,3,IGA,Regular,Paid,3,negative,Bored,No,No,Yes
21,Bachelor Level,Female,2.5,3,21,Mobile,2,Yes,6,COC,Not regular,Unpaid,3,negative,Bored,No,Yes,No
20,Bachelor Level,Female,4,4.7,18,PC,23,Yes,2,FREE FIRE,Not regular,Unpaid,4,negative,Excited,No,Yes,Yes
20,Bachelor Level,Female,2,4.02,18,PC,23,No,2,COC,Regular,Unpaid,2,negative,Excited,Yes,Yes,No
22,Bachelor Level,Female,3,4,21,PC,23,Yes,6,FIFA,Not regular,Unpaid,2,negative,Bored,Yes,Yes,Yes
22,Bachelor Level,Male,2.09,3,18,Mobile,0,No,6,CALL OF DUTY,Regular,Unpaid,4,positive,Bored,No,No,No
20,Bachelor Level,Female,3.37,4,19,Mobile,2,Yes,6,IGA,Regular,Unpaid,4,negative,Bored,No,No,Yes
21,Bachelor Level,Female,2.5,4,20,PC,1,Yes,4,IGA,Not regular,Paid,3,negative,Excited,No,Yes,Yes
28,Master's Level,Female,2,4,23,PC,2,No,4,COC,Regular,Paid,4,negative,Excited,Yes,No,Yes
20,Bachelor Level,Female,3.05,4.5,19,Mobile,1,Yes,2,COC,Regular,Paid,2,negative,Bored,Yes,Yes,Yes
23,Bachelor Level,Female,3.5,4.85,21,PC,2,Yes,3,CALL OF DUTY,Not regular,Paid,4,negative,Excited,Yes,No,No
28,Master's Level,Female,3.4,4.55,24,Mobile,22,Yes,2,IGA,Regular,Paid,2,positive,Excited,No,No,Yes
26,Master's Level,Male,2,3.23,22,Mobile,22,No,5,CALL OF DUTY,Not regular,Paid,3,positive,Bored,No,No,No
19,Bachelor Level,Male,3,3,21,PC,1,Yes,3,PES,Regular,Paid,3,positive,Excited,Yes,No,No
25,Master's Level,Male,3,2.96,24,Mobile,2,Yes,6,COC,Regular,Paid,2,negative,Excited,Yes,No,Yes
23,Bachelor Level,Male,3,3.76,18,PC,1,Yes,6,CALL OF DUTY,Not regular,Paid,2,negative,Excited,Yes,No,No
27,Master's Level,Female,3.77,5,22,Mobile,0,Yes,2,FREE FIRE,Regular,Paid,4,positive,Bored,Yes,Yes,Yes
24,Bachelor Level,Female,2.41,5,20,PC,23,No,5,IGA,Not regular,Paid,2,positive,Bored,Yes,No,Yes
22,Bachelor Level,Female,3,3,19,Mobile,0,Yes,2,IGA,Regular,Paid,2,negative,Excited,Yes,Yes,No
26,Master's Level,Male,3,4.15,22,Mobile,22,Yes,6,PES,Regular,Unpaid,4,negative,Bored,Yes,No,No
18,Bachelor Level,Male,4,4.78,20,Mobile,1,Yes,3,PUBG,Not regular,Paid,3,negative,Excited,No,No,Yes
20,Bachelor Level,Male,3,4.79,20,Mobile,2,No,2,PES,Regular,Unpaid,4,negative,Excited,No,Yes,No
18,Bachelor Level,Female,3.67,3.17,18,Mobile,23,Yes,6,FIFA,Not regular,Unpaid,2,negative,Bored,No,Yes,No
24,Bachelor Level,Male,3,5,19,Mobile,2,No,5,FIFA,Not regular,Paid,3,negative,Bored,Yes,Yes,Yes
26,Master's Level,Female,3,4,23,Mobile,1,No,5,CALL OF DUTY,Regular,Paid,2,positive,Bored,Yes,Yes,Yes
19,Bachelor Level,Female,4,4.94,19,PC,1,Yes,3,COC,Regular,Unpaid,2,positive,Excited,No,Yes,No
22,Bachelor Level,Male,2,4.32,21,Mobile,23,Yes,3,FREE FIRE,Not regular,Paid,2,positive,Excited,No,No,No
18,Bachelor Level,Female,3.75,4,20,Mobile,22,No,2,CALL OF DUTY,Regular,Paid,3,negative,Bored,No,Yes,No
22,Bachelor Level,Male,2.9,4.2,19,PC,22,No,5,FREE FIRE,Not regular,Paid,4,negative,Bored,Yes,No,Yes
21,Bachelor Level,Female,2.88,5,21,PC,23,No,6,FIFA,Regular,Paid,3,negative,Excited,No,Yes,Yes
20,Bachelor Level,Female,3.37,4.5,20,Mobile,1,Yes,5,PUBG,Not regular,Unpaid,4,negative,Bored,No,No,No
21,Bachelor Level,Female,3.77,4.2,20,Mobile,0,No,5,IGA,Regular,Unpaid,2,negative,Excited,Yes,Yes,No
24,Bachelor Level,Male,2.24,4.91,21,Mobile,1,Yes,3,FIFA,Not regular,Paid,4,negative,Bored,No,Yes,No
21,Bachelor Level,Male,3.77,5,18,PC,22,No,2,IGA,Not regular,Paid,2,negative,Excited,Yes,Yes,Yes
24,Bachelor Level,Male,3,4,18,Mobile,22,No,4,PUBG,Not regular,Unpaid,2,negative,Excited,Yes,Yes,Yes
27,Master's Level,Female,2,3.59,22,PC,22,No,4,COC,Regular,Unpaid,2,negative,Bored,Yes,No,No
21,Bachelor Level,Female,4,5,19,PC,0,Yes,6,FREE FIRE,Not regular,Paid,3,negative,Bored,Yes,Yes,No
24,Bachelor Level,Female,4,5,21,PC,22,Yes,6,IGA,Not regular,Unpaid,4,negative,Excited,Yes,Yes,No
18,Bachelor Level,Female,3.21,4,18,Mobile,1,No,5,CALL OF DUTY,Not regular,Unpaid,3,negative,Excited,No,No,No
18,Bachelor Level,Female,3.22,4,19,Mobile,23,No,6,FREE FIRE,Regular,Unpaid,4,negative,Excited,No,Yes,No
21,Bachelor Level,Male,3.62,4.78,18,PC,0,No,2,PUBG,Not regular,Unpaid,2,negative,Bored,Yes,No,No
26,Master's Level,Female,3.46,4.7,24,PC,2,No,5,PUBG,Not regular,Unpaid,3,negative,Bored,Yes,No,No
19,Bachelor Level,Male,3,4.48,19,Mobile,23,No,3,FIFA,Not regular,Paid,3,positive,Bored,No,No,Yes
21,Bachelor Level,Female,3.14,5,19,PC,2,No,2,IGA,Regular,Paid,2,negative,Excited,Yes,No,Yes
26,Master's Level,Male,3,5,24,PC,23,Yes,4,FREE FIRE,Regular,Unpaid,4,negative,Excited,Yes,Yes,No
22,Bachelor Level,Male,3,4.54,18,Mobile,22,No,6,IGA,Not regular,Unpaid,2,positive,Bored,Yes,Yes,No
21,Bachelor Level,Male,4,4.14,19,Mobile,0,Yes,6,FIFA,Not regular,Paid,3,negative,Excited,No,Yes,No
24,Bachelor Level,Female,2.23,3.9,18,PC,22,Yes,4,CALL OF DUTY,Regular,Unpaid,4,positive,Excited,No,No,No
27,Master's Level,Female,2.09,4,20,PC,22,Yes,6,PUBG,Regular,Unpaid,2,negative,Bored,No,Yes,Yes
21,Bachelor Level,Female,2,5,20,PC,23,Yes,6,PUBG,Regular,Paid,4,positive,Bored,Yes,No,Yes
18,Bachelor Level,Female,3.76,4.17,21,Mobile,1,Yes,2,FREE FIRE,Not regular,Unpaid,2,negative,Bored,No,Yes,Yes
25,Master's Level,Female,3.99,3.86,23,Mobile,22,Yes,4,FIFA,Not regular,Paid,3,negative,Bored,Yes,No,No
28,Master's Level,Male,2.89,4.48,20,Mobile,2,Yes,5,PES,Not regular,Unpaid,4,negative,Bored,No,Yes,No
