Age,Education Level,Gender,College GPA (/4),A Level Result (/5),Age Started Gaming,Mobile or PC,Sleep Time,Attend Morning Class,Average Gaming Time (hrs/day),Game Played,Read Newspaper,Paid or Unpaid Game,Time with Family and Friends,Feelings Without Gaming in a Day,Feelings After Completing Level,Fatigue,Gaming for Stress Relief,Glasses
21,Bachelor Level,Male,3.45,4.67,7,"Mobile, PC",3,Yes,2,FIFA,Not regular,Unpaid,5,positive,Excited,Yes,Yes,Yes
22,Bachelor Level,Male,3,5,5,"Mobile, PC",2,No,2,COC,Not regular,Unpaid,2,positive,Excited,No,Yes,No
21,Bachelor Level,Male,3,4.5,12,Mobile,0,Yes,2,PUBG,Not regular,Unpaid,7,positive,Excited,No,No,No
22,Bachelor Level,Male,3.5,5,17,"Mobile, PC",2,No,5,PUBG,Not regular,Unpaid,2,negative,Excited,Yes,No,Yes
23,Bachelor Level,Male,3.54,4.5,17,PC,3,Yes,1,FIFA,Regular,Paid,2,positive,Bored,No,Yes,No
28,Master's Level,Male,3.7,5,6,"Mobile, PC",0,Yes,2,COC,Not regular,Unpaid,1,neutral,Excited,No,Yes,No
23,Bachelor Level,Male,3.22,4.34,10,Mobile,4,No,3,FIFA,Not regular,Paid,7,negative,Excited,Yes,No,Yes
24,Bachelor Level,Male,3.91,4.58,12,Mobile,1,Yes,4,PUBG,Not regular,Unpaid,5,neutral,Excited,Yes,Yes,Yes
21,Bachelor Level,Female,3,5,20,Mobile,22,Yes,1,FIFA,Not regular,Unpaid,7,positive,Excited,No,No,No
24,Bachelor Level,Male,3,4.58,22,Mobile,0,No,8,PUBG,Not regular,Unpaid,4,positive,Excited,Yes,Yes,No
21,Bachelor Level,Male,3,4.67,16,"Mobile, PC",1,No,0,PUBG,Not regular,Unpaid,4,negative,Excited,No,Yes,No
25,Bachelor Level,Male,3.17,5,18,Mobile,1,Yes,1,FIFA,Not regular,Unpaid,6,positive,Excited,No,No,No
23,Master's Level,Female,3.63,4.5,20,Mobile,0,Yes,1,COC,Not regular,Unpaid,2,negative,Bored,Yes,Yes,No
24,Bachelor Level,Male,3.56,2.61,18,Mobile,0,Yes,2,FIFA,Not regular,Unpaid,4,positive,Excited,Yes,Yes,No
27,Master's Level,Male,3,4.92,18,PC,1,Yes,0,FIFA,Not regular,Unpaid,4,positive,Bored,No,No,No
25,Master's Level,Male,3.3,3,20,PC,23,Yes,1,PUBG,Regular,Unpaid,4,positive,Excited,Yes,Yes,Yes
23,Bachelor Level,Male,3.2,4.6,19,"Mobile, PC",0,Yes,4,FIFA,Regular,Unpaid,3,positive,Excited,Yes,No,No
24,Bachelor Level,Male,3.1,4.5,14,"Mobile, PC",4,No,2,PUBG,Not regular,Unpaid,4,positive,Excited,No,Yes,No
23,Bachelor Level,Male,3.17,3.67,15,Mobile,1,Yes,3,FREE FIRE,Not regular,Unpaid,5,positive,Excited,Yes,No,No
