name,genre,year,rating,score,votes,budget,gross,runtime
What Men Want,Comedy,2019,R,5.3,26000.0,20000000.0,72216294.0,117.0
Pet Sematary,Horror,2019,R,5.7,86000.0,21000000.0,113118226.0,101.0
47 Meters Down: Uncaged,Adventure,2019,PG-13,5.0,23000.0,12000000.0,47582563.0,90.0
Happy Death Day 2U,Comedy,2019,PG-13,6.2,64000.0,9000000.0,64600152.0,100.0
Weathering with You,Animation,2019,PG-13,7.5,28000.0,11100000.0,193457467.0,112.0
The Kid,Biography,2019,R,5.9,7400.0,8000000.0,1561698.0,100.0
The Lego Movie 2: The Second Part,Animation,2019,PG,6.6,58000.0,99000000.0,192306508.0,107.0
Child's Play,Drama,2019,R,5.8,47000.0,10000000.0,44907074.0,90.0
Dumbo,Adventure,2019,PG,6.3,69000.0,170000000.0,353284621.0,112.0
The Hustle,Comedy,2019,PG-13,5.4,51000.0,21000000.0,95017038.0,93.0
Shaft,Action,2019,R,6.4,48000.0,35000000.0,21360215.0,111.0
The Beach Bum,Comedy,2019,R,5.5,20000.0,5000000.0,4554416.0,95.0
The Kitchen,Action,2019,R,5.5,18000.0,38000000.0,15980032.0,102.0
Stuber,Action,2019,R,6.2,43000.0,16000000.0,32390945.0,93.0
The Art of Racing in the Rain,Comedy,2019,PG,7.6,27000.0,18000000.0,33766787.0,109.0
Blinded by the Light,Comedy,2019,PG-13,6.9,22000.0,15000000.0,18096691.0,118.0
"Where'd You Go, Bernadette",Comedy,2019,PG-13,6.5,19000.0,20000000.0,11025353.0,109.0
Ip Man 4: The Finale,Action,2019,Not Rated,7.0,27000.0,52000000.0,176345966.0,107.0
Abominable,Animation,2019,PG,7.0,32000.0,75000000.0,180314199.0,97.0
Isn't It Romantic,Comedy,2019,PG-13,5.9,65000.0,31000000.0,48791187.0,89.0
A Dog's Journey,Adventure,2019,PG,7.5,21000.0,16000000.0,75741734.0,109.0
Don't Let Go,Drama,2019,R,6.4,8000.0,5000000.0,5288011.0,103.0
UglyDolls,Animation,2019,PG,5.0,6100.0,45000000.0,32450241.0,87.0
Tolkien,Biography,2019,PG-13,6.8,36000.0,20000000.0,9090040.0,112.0
Miss Bala,Action,2019,PG-13,5.8,9900.0,15000000.0,15383580.0,104.0
A Dog's Way Home,Adventure,2019,PG,6.7,16000.0,18000000.0,80708134.0,96.0
Wonder Park,Animation,2019,PG,5.9,11000.0,90000000.0,119559110.0,85.0
Triple Threat,Action,2019,R,5.6,10000.0,10000000.0,345900.0,96.0
The Wandering Earth,Action,2019,TV-MA,6.0,28000.0,48000000.0,699992512.0,125.0
The Kid Who Would Be King,Action,2019,PG,6.0,15000.0,59000000.0,32140970.0,120.0
Missing Link,Animation,2019,PG,6.7,23000.0,100000000.0,26565710.0,93.0
Breakthrough,Biography,2019,PG,6.3,8800.0,14000000.0,50444358.0,116.0
Poms,Comedy,2019,PG-13,6.0,4700.0,10000000.0,16418218.0,90.0
Little,Comedy,2019,PG-13,5.5,12000.0,20000000.0,49000667.0,109.0
