close_approach_datetime,distance_au,min_distance_au,max_distance_au,relative_velocity_kms,absolute_magnitude,estimated_diameter_km
2026-May-30 18:04,0.0769770819596235,0.0769758955226409,0.0769782683971313,9.69891907355942,24.76,
2026-May-30 18:30,0.0312585741193002,0.0312584282106692,0.031258720027949,5.66243653257991,23.65,
2026-May-30 19:05,0.0659545241655792,0.0654543391149921,0.0664547008133032,8.53656840818041,23.8,
2026-May-30 20:38,0.260042849309696,0.256281430627044,0.263807974611758,8.63384224797884,29.49,
2026-May-30 20:42,0.385498660011342,0.381225386051111,0.389857938311785,12.1107811755315,28.2,
2026-May-31 00:54,0.0448096872627734,0.0446708685135965,0.0449485040447261,7.21567467280493,25.82,
2026-May-31 01:31,0.0247142720030631,0.0246035696415842,0.0248249719083063,9.33287405999097,25.69,
2026-May-31 04:13,0.448313824380694,0.448312735944483,0.448314912817007,18.1393584180903,23.4,
2026-May-31 05:38,0.409717282429207,0.403926939698912,0.415507944981962,21.3673304026602,29.47,
2026-May-31 06:35,0.342072743832008,0.324604978685015,0.35954921183665,21.4596190868892,25.66,
2026-May-31 12:27,0.465362902536429,0.465347663673299,0.465378141403184,27.7654501618736,22.56,
2026-May-31 14:48,0.467940205333373,0.467846367638803,0.468034238707312,16.1869894544128,20.85,
2026-May-31 15:43,0.283524567819904,0.268948905763565,0.29811832653794,4.48028809478904,25.5,
2026-May-31 15:48,0.385391268478731,0.352841210683586,0.418463577411892,6.44015418623918,23.6,
2026-Jun-01 03:06,0.348594729274222,0.310433455105071,0.430903201622589,8.27451987590021,28.79,
2026-Jun-01 03:26,0.025979668117133,0.0258094384982883,0.0261498939258322,10.9346752713909,25.58,
2026-Jun-01 03:32,0.307129480899145,0.206230994312946,0.408027386084013,26.0220013746247,24.38,
2026-Jun-01 09:08,0.36188669895939,0.325136281095845,0.402146230155325,11.8923063257102,22.98,
2026-Jun-01 10:13,0.0409071080762483,0.0408368883045107,0.0409773273279163,7.77083126058936,24.24,
2026-Jun-01 10:29,0.264606384564748,0.25604455035598,0.273171430261768,5.44852134140784,27.1,
2026-Jun-01 11:35,0.0442348213686352,0.0438586926504989,0.0446109454592778,12.8669040271001,24.53,
2026-Jun-01 12:20,0.141822708263786,0.14169689181272,0.141948524472066,5.87511900163215,24.56,
2026-Jun-01 13:52,0.394069731289332,0.39281208630308,0.395499765069971,7.50347372539433,27.68,
2026-Jun-01 16:42,0.262756117527402,0.249157456667694,0.285808020989827,6.55152590126815,25.0,
2026-Jun-01 17:23,0.391206611862967,0.382090382193689,0.400323170017128,27.918755284143,23.62,
2026-Jun-01 23:35,0.0262269946063829,0.0261698892200047,0.0262840997251047,13.5201450604322,22.16,
2026-Jun-02 00:16,0.0121981697039762,0.0121460635507129,0.0122502729698914,8.41054593159332,26.404,
2026-Jun-02 02:32,0.389395823802561,0.38939452364341,0.38939712399073,14.2682462176442,20.68,
2026-Jun-02 04:32,0.370795571809836,0.369647877028169,0.371949090455391,13.2860452552736,28.3,
2026-Jun-02 06:32,0.169085563840901,0.119101505396964,0.21909094054638,18.4698977293566,24.24,
2026-Jun-02 08:47,0.291617707824145,0.291615595801958,0.291619819846581,14.7807055416366,23.95,
2026-Jun-02 09:46,0.39515307864113,0.388822734264081,0.404341372362576,2.9697953628946,22.46,
2026-Jun-02 18:15,0.341233344233795,0.341223690439094,0.341242998034858,11.8622601181487,22.78,
2026-Jun-02 18:53,0.437705003489933,0.340741889370141,0.538484395669967,15.6630725113818,20.06,
2026-Jun-02 19:08,0.376494387633918,0.376324461679699,0.376664321412833,17.620127806843,25.87,
2026-Jun-02 22:52,0.0042741343541292,0.0042617084797762,0.0042865583263911,5.30741316464612,26.24,
2026-Jun-02 23:16,0.499235447544803,0.499234605503237,0.49923628958688,22.5085098886237,24.7,
2026-Jun-02 23:26,0.466572932118408,0.466572854964645,0.466573009272224,14.603615925753,19.15,0.303
2026-Jun-02 23:40,0.14532700547761,0.114208302445592,0.218688035614621,10.5314509809531,24.7,
2026-Jun-03 00:28,0.399874094524492,0.396535690648685,0.403360943798331,13.6494068218914,26.19,
2026-Jun-03 02:52,0.149966442876667,0.149965873003574,0.14996701274976,18.3663403045202,20.58,
2026-Jun-03 06:26,0.161556712480914,0.161556334629588,0.161557090332249,20.5789446782593,21.01,
2026-Jun-03 06:52,0.0228794222034419,0.0147299498411153,0.0310385282076048,8.9136414888496,28.63,
2026-Jun-03 09:21,0.173109691962871,0.171708998673692,0.174510380401262,9.56016555212549,24.35,
2026-Jun-03 10:48,0.148185704922856,0.148185329591897,0.148186080253823,9.3167935587159,21.3,
2026-Jun-03 11:16,0.196628497983146,0.196627914870641,0.196629081096589,9.46857105799246,20.07,
2026-Jun-03 11:54,0.13376964037863,0.129859704063055,0.138334956985539,13.2480950594491,23.9,
2026-Jun-03 13:08,0.42507039134679,0.41938351286413,0.468846803222905,12.1049881031337,25.1,
2026-Jun-03 17:05,0.435787751726305,0.373197702239112,0.498615385533087,11.9809958403061,26.0,
2026-Jun-03 19:21,0.239489675099638,0.189824838565659,0.292286114475988,18.2473975952137,24.98,
2026-Jun-03 19:49,0.461710851854713,0.461710684333303,0.461711019376124,21.8163727590573,23.6,
2026-Jun-03 21:27,0.0741076027788417,0.0739786609885034,0.0742365442225141,9.40912607973647,23.15,
2026-Jun-04 01:26,0.463156527384868,0.446735435043713,0.479900333688933,14.6294458478107,22.66,
2026-Jun-04 01:28,0.252770379254925,0.23341838966349,0.273894157629155,10.2856955522557,27.1,
2026-Jun-04 03:57,0.0165818212704804,0.0165403677591357,0.0166232740392289,9.50844828034432,25.15,
2026-Jun-04 07:09,0.485069587862515,0.447030647855426,0.528340804218465,19.4571490242394,24.4,
2026-Jun-04 09:33,0.278788007488034,0.278661910768183,0.278914104222196,17.4527724544668,22.86,
2026-Jun-04 17:28,0.00879138011157,0.0087778021920025,0.0088049575528229,7.27953347349256,24.593,
2026-Jun-04 22:16,0.40423107142526,0.264565432809413,0.54389646960908,27.0077188257782,25.96,
2026-Jun-04 23:06,0.0242632499093972,0.0241015146940595,0.0244249840775534,19.7046037232787,24.119,
2026-Jun-05 03:24,0.376818581343899,0.370668668849981,0.383012545356234,3.39478703892933,24.0,
2026-Jun-05 04:34,0.0102875607320075,0.0102776998827102,0.0102974214860435,10.0965534781423,25.901,
2026-Jun-05 09:19,0.138163618991723,0.057895309615238,0.221853773551144,8.38670314678953,26.2,
2026-Jun-05 09:40,0.383646398787854,0.376968043010805,0.390386729899119,11.2872440927554,26.38,
2026-Jun-05 10:18,0.0042173261267191,0.0042131589604383,0.0042214932116286,11.3173900577988,26.2,
2026-Jun-05 10:55,0.258211893486769,0.217667237723214,0.299569708114016,15.1758185037456,24.55,
2026-Jun-05 14:38,0.0303877803587959,0.030287137142507,0.03048842168758,7.87986941838156,24.835,
