title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Land of the Lustrous,8.39,221281,238.0,496,522076,15138,12.0,TV,Manga,Finished Airing,2017.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Action, Drama, Fantasy, Mystery",Anthropomorphic,Seinen,Orange,"Mainichi Broadcasting System, Kodansha, Movic, AT-X, TOHO animation, Tokyo MX, Q-Tec, Kyoraku Industrial Holdings, BS11",Sentai Filmworks
Made in Abyss: Wandering Twilight,8.39,70379,239.0,1651,166767,297,1.0,Movie,Web manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 45 min,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,,Kinema Citrus,"AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Kadokawa, Global Solutions, IRMA LA DOUCE",Sentai Filmworks
Puella Magi Madoka Magica,8.39,822354,240.0,106,1419652,60891,12.0,TV,Original,Finished Airing,2011.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Award Winning, Drama, Suspense","Mahou Shoujo, Psychological",,Shaft,"Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha",Aniplex of America
Major S5,8.39,43883,241.0,2863,76089,646,25.0,TV,Manga,Finished Airing,2009.0,winter,PG-13 - Teens 13 or older,24 min per ep,Sports,Team Sports,Shounen,SynergySP,"Shogakukan-Shueisha Productions, NHK, NHK Enterprises",
Tomorrow's Joe,8.38,30063,242.0,2189,115181,2519,79.0,TV,Manga,Finished Airing,1970.0,spring,PG-13 - Teens 13 or older,25 min per ep,"Drama, Sports",Combat Sports,Shounen,Mushi Production,Fuji TV,
Cowboy Bebop: The Movie,8.38,232987,243.0,659,413803,1794,1.0,Movie,Original,Finished Airing,,,R - 17+ (violence & profanity),1 hr 55 min,"Action, Sci-Fi","Adult Cast, Space",,Bones,"Sunrise, Bandai Visual","Sony Pictures Entertainment, Funimation"
Girls und Panzer das Finale – Part 4,8.38,10052,244.0,4859,27796,133,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,54 min,,"CGDCT, Military, School",,Actas,"Bandai Visual, Lantis, Movic, Q-Tec, Hakuhodo DY Music & Pictures",Sentai Filmworks
"Josee, the Tiger and the Fish",8.38,280601,245.0,474,538174,7285,1.0,Movie,Novel,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 38 min,"Drama, Romance","Adult Cast, Visual Arts",,Bones,"Shochiku, Kadokawa, Sonilude, Movie Walker",Funimation
Run with the Wind,8.38,151979,246.0,841,337424,6562,23.0,TV,Novel,Finished Airing,2018.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Drama, Sports",Adult Cast,,Production I.G,"Movic, Nippon Television Network, TOHO animation, Toy's Factory, Cygames, Yomiuri Shimbun, MediaLink Entertainment Limited",Sentai Filmworks
Puella Magi Madoka Magica the Movie Part 2: Eternal,8.38,108663,247.0,1281,221671,1111,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 51 min,"Drama, Suspense","Mahou Shoujo, Psychological",,Shaft,"Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha",Aniplex of America
Medalist,8.38,40117,248.0,2488,95064,732,13.0,TV,Manga,Finished Airing,2025.0,winter,PG-13 - Teens 13 or older,23 min per ep,"Drama, Sports",Performing Arts,Seinen,ENGI,"TV Asahi, Kodansha, Glovision, Kadokawa",
Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,8.38,339393,249.0,433,586393,4725,12.0,TV,Light novel,Finished Airing,2024.0,spring,R - 17+ (violence & profanity),23 min per ep,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",,Studio Bind,"Frontier Works, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE Entertainment",
Ramayana: The Legend of Prince Rama,8.38,7350,250.0,6106,15678,230,1.0,Movie,Other,Finished Airing,,,G - All Ages,2 hr 15 min,Adventure,,,Nippon Ramayana Film,"TEM Co., Ltd.",
March Comes In Like a Lion,8.37,302543,251.0,316,739709,16536,22.0,TV,Manga,Finished Airing,2016.0,fall,PG-13 - Teens 13 or older,25 min per ep,Drama,Strategy Game,Seinen,Shaft,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory, NHK Enterprises",Aniplex of America
Chihayafuru 2,8.37,138799,252.0,1127,253750,1671,25.0,TV,Manga,Finished Airing,2013.0,winter,PG-13 - Teens 13 or older,22 min per ep,"Drama, Romance, Sports","Love Polygon, School, Strategy Game",Josei,Madhouse,"VAP, Nippon Television Network",Sentai Filmworks
Cross Game,8.37,53739,253.0,1968,133178,3096,50.0,TV,Manga,Finished Airing,2009.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Drama, Romance, Sports","School, Team Sports",Shounen,SynergySP,"TV Tokyo, Shogakukan-Shueisha Productions, Half H.P Studio",
A Record Of Mortal's Journey To Immortality 3rd Season,8.37,1873,254.0,10125,4246,39,48.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,20 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,"Original Force, Wonder Cat Animation",bilibili,
Gintama: Love Incense Arc,8.37,49213,255.0,2531,93360,147,2.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,25 min per ep,Comedy,"Gag Humor, Parody",Shounen,Bandai Namco Pictures,"TV Tokyo, Dentsu",
Haikyu!! To the Top,8.37,652126,256.0,176,1059040,5555,13.0,TV,Manga,Finished Airing,2020.0,winter,PG-13 - Teens 13 or older,24 min per ep,Sports,"School, Team Sports",Shounen,Production I.G,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Sentai Filmworks
Ling Cage 2,8.37,773,257.0,12710,2017,43,12.0,ONA,Original,Finished Airing,,,R - 17+ (violence & profanity),38 min per ep,"Action, Sci-Fi",,,YHKT Entertainment,bilibili,
Neon Genesis Evangelion,8.37,1222788,258.0,44,2043220,118752,26.0,TV,Original,Finished Airing,1995.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Mecha, Psychological",,"Gainax, Tatsunoko Production","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, GKIDS"
Vivy -Fluorite Eye's Song-,8.37,274949,259.0,411,613439,11607,13.0,TV,Original,Finished Airing,2021.0,spring,R - 17+ (violence & profanity),24 min per ep,"Action, Sci-Fi, Suspense","Music, Time Travel",,Wit Studio,Aniplex,Aniplex of America
Laid-Back Camp: The Movie,8.37,35685,260.0,2482,95413,469,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,2 hr,Slice of Life,"Adult Cast, CGDCT, Iyashikei",,C-Station,"Sotsu, Half H.P Studio, AT-X, KlockWorx, Houbunsha, MAGES., 81 Produce, BS11, DeNA, FuRyu, Sony Music Solutions",
Barakamon,8.36,363425,261.0,331,717212,13533,12.0,TV,Web manga,Finished Airing,2014.0,summer,PG-13 - Teens 13 or older,22 min per ep,Slice of Life,"Childcare, Iyashikei, Visual Arts",,Kinema Citrus,"VAP, Nippon Television Network",Funimation
Doraemon: Nobita and the Steel Troops - The New Age,8.36,14612,262.0,5274,22872,192,1.0,Movie,Manga,Finished Airing,,,PG - Children,1 hr 48 min,"Adventure, Comedy, Fantasy",Mecha,"Kids, Shounen",Shin-Ei Animation,"TV Asahi, Asatsu DK",
Soul Land 2nd Season,8.36,10571,263.0,5136,24237,512,237.0,ONA,Novel,Finished Airing,,,PG-13 - Teens 13 or older,20 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,Sparkly Key Animation Studio,"Tencent Video, Xuanshi Tangmen",
Fruits Basket: Prelude,8.36,51021,264.0,1971,132429,880,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 28 min,"Drama, Romance",,Shoujo,TMS Entertainment,"TV Tokyo, TV Osaka, Funimation, Nihon Ad Systems, Hakusensha, Avex Pictures, 8PAN",Crunchyroll
Gintama: Jump Festa 2008 Special,8.36,36954,265.0,2864,75869,93,1.0,Special,Manga,Finished Airing,,,PG-13 - Teens 13 or older,10 min,"Action, Comedy, Sci-Fi","Historical, Parody",,Sunrise,,
Girls Band Cry,8.36,55897,266.0,1892,139757,3258,13.0,TV,Original,Finished Airing,2024.0,spring,PG-13 - Teens 13 or older,23 min per ep,Drama,Music,,Toei Animation,agehasprings,
Initial D First Stage,8.36,220346,267.0,605,444064,14145,26.0,TV,Manga,Finished Airing,1998.0,spring,PG-13 - Teens 13 or older,25 min per ep,"Action, Drama",Racing,Seinen,"Gallop, Studio Comet","OB Planning, Fuji TV","Funimation, Tokyopop"
Jujutsu Kaisen 0,8.36,808483,268.0,127,1284765,11276,1.0,Movie,Manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 44 min,"Action, Supernatural",School,Shounen,MAPPA,"Mainichi Broadcasting System, TOHO animation, Shueisha, Sumzap",Crunchyroll
K-ON! The Movie,8.36,210449,269.0,774,357468,3060,1.0,Movie,4-koma manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 50 min,"Award Winning, Comedy","CGDCT, Music",,Kyoto Animation,"Pony Canyon, Animation Do",Sentai Filmworks
Teasing Master Takagi-san 3,8.36,97250,271.0,1323,213813,2354,12.0,TV,Manga,Finished Airing,2022.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Romance","Love Status Quo, School",Shounen,Shin-Ei Animation,"Shogakukan-Shueisha Productions, Magic Capsule, Asmik Ace, TOHO animation, Shogakukan, Toho Music",Sentai Filmworks
Nausicaä of the Valley of the Wind,8.36,259242,272.0,653,416559,6144,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 57 min,"Adventure, Award Winning, Drama, Fantasy",,,Topcraft,Omnibus Promotion,"Disney Platform Distribution, GKIDS"
Kizumonogatari Part 1: Iron-Blooded,8.36,314698,273.0,434,584436,4003,1.0,Movie,Light novel,Finished Airing,,,R - 17+ (violence & profanity),1 hr 3 min,"Action, Mystery, Supernatural",Vampire,,Shaft,"Aniplex, Kodansha",Aniplex of America
Swallowed Star 3rd Season,8.36,2554,274.0,9342,5409,49,33.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,21 min per ep,"Action, Adventure, Fantasy, Sci-Fi",Martial Arts,,Sparkly Key Animation Studio,"Tencent Animation & Comics, Tencent Video",
The Rose of Versailles,8.36,34325,275.0,2181,115882,3459,40.0,TV,Manga,Finished Airing,1979.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Drama, Romance","Crossdressing, Historical, Military",Shoujo,Tokyo Movie Shinsha,Nippon Television Network,"Nozomi Entertainment, Discotek Media"
"Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come",8.36,223801,276.0,741,374216,998,1.0,Special,Light novel,Finished Airing,,,PG-13 - Teens 13 or older,34 min,Drama,,,Kyoto Animation,"Lantis, Pony Canyon, Rakuonsha, ABC Animation",
86 Eighty-Six,8.35,516556,277.0,199,986582,27756,11.0,TV,Light novel,Finished Airing,2021.0,spring,R - 17+ (violence & profanity),23 min per ep,"Drama, Sci-Fi","Mecha, Military",,A-1 Pictures,"Aniplex, Kadokawa, Bandai Spirits",
To Your Eternity,8.35,428992,278.0,192,1005476,16331,20.0,TV,Manga,Finished Airing,2021.0,spring,R - 17+ (violence & profanity),25 min per ep,"Adventure, Drama, Supernatural",,Shounen,Brain's Base,"NHK, NHK Enterprises",VIZ Media
Sound! Euphonium 2,8.35,137052,279.0,1099,258514,3849,13.0,TV,Novel,Finished Airing,2016.0,fall,PG-13 - Teens 13 or older,23 min per ep,Drama,"Music, Performing Arts, School",,Kyoto Animation,"Lantis, Pony Canyon, Rakuonsha",Ponycan USA
Detective Conan Movie 26: Black Iron Submarine,8.35,9782,280.0,5603,19550,127,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 49 min,"Action, Mystery",Detective,Shounen,TMS Entertainment,"Shogakukan-Shueisha Productions, Yomiuri Telecasting, TOHO, Nippon Television Network, Shogakukan",
Non Non Biyori Nonstop,8.35,54284,281.0,1893,139874,991,12.0,TV,Manga,Finished Airing,2021.0,winter,PG-13 - Teens 13 or older,24 min per ep,Slice of Life,"CGDCT, Iyashikei",Seinen,SILVER LINK.,"TV Tokyo, Lantis, AT-X, Kadokawa, Bandai Namco Arts, Bit grooove promotion, Sony Music Solutions",Sentai Filmworks
My Teen Romantic Comedy SNAFU Climax!,8.35,461208,282.0,274,827915,15075,12.0,TV,Light novel,Finished Airing,2020.0,summer,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Romance","Love Polygon, School",,feel.,"Marvelous Entertainment, TBS, Movic, Delfi Sound, NBCUniversal Entertainment Japan",Sentai Filmworks
Baccano!,8.34,399978,283.0,207,962129,23807,13.0,TV,Light novel,Finished Airing,2007.0,summer,R - 17+ (violence & profanity),24 min per ep,"Action, Mystery, Supernatural","Adult Cast, Historical, Organized Crime",,Brain's Base,"Aniplex, Movic","Funimation, Aniplex of America"
Hellsing Ultimate,8.34,528384,284.0,182,1025464,23870,10.0,OVA,Manga,Finished Airing,,,R - 17+ (violence & profanity),49 min per ep,"Action, Horror, Supernatural","Adult Cast, Gore, Military, Vampire",Seinen,"Madhouse, Satelight, Graphinica","GDH, Geneon Entertainment USA, Shounen Gahousha",Funimation
100 Meters,8.34,46196,285.0,2784,79647,815,1.0,Movie,Web manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 46 min,"Drama, Sports",,,Rock'n Roll Mountain,"Pony Canyon, TBS, Asmik Ace, GKIDS",
IDOLiSH7 Third BEAT! Part 2,8.34,6049,286.0,5773,18063,284,17.0,TV,Game,Finished Airing,2022.0,fall,PG-13 - Teens 13 or older,24 min per ep,Drama,"Idols (Male), Music",,TROYCA,,
Swallowed Star 4th Season,8.34,2235,287.0,8771,6338,177,175.0,ONA,Web novel,Currently Airing,,,PG-13 - Teens 13 or older,21 min per ep,"Action, Adventure, Fantasy, Sci-Fi",Martial Arts,,Sparkly Key Animation Studio,Tencent Video,
Call of the Night Season 2,8.34,99170,288.0,1122,254108,1844,12.0,TV,Manga,Finished Airing,2025.0,summer,PG-13 - Teens 13 or older,22 min per ep,"Romance, Supernatural",Vampire,Shounen,LIDENFILMS,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Animax, Fuji TV, Ultra Super Pictures, Tohokushinsha Film Corporation, Fujipacific Music, Shogakukan, Fuji Creative, Tohan Corporation",Sentai Filmworks
Bakuman. Season 2,8.33,222626,289.0,744,373113,1369,25.0,TV,Manga,Finished Airing,2011.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Drama, Romance",Otaku Culture,Shounen,J.C.Staff,"NHK, Shueisha",Media Blasters
Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,8.33,600269,291.0,197,990369,4687,7.0,TV,Manga,Finished Airing,2021.0,fall,R - 17+ (violence & profanity),24 min per ep,"Action, Supernatural",Historical,Shounen,ufotable,"Aniplex, Shueisha",
KonoSuba: God's Blessing on This Wonderful World! 3,8.33,245844,292.0,457,560041,5631,11.0,TV,Light novel,Finished Airing,2024.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Adventure, Comedy, Fantasy","Isekai, Parody",,Drive,"Half H.P Studio, Nippon Columbia, 81 Produce, Sammy, Kadokawa",
Re:ZERO -Starting Life in Another World- Season 2,8.33,769207,293.0,123,1298552,12689,13.0,TV,Light novel,Finished Airing,2020.0,summer,R - 17+ (violence & profanity),26 min per ep,"Drama, Fantasy, Suspense","Isekai, Psychological, Time Travel",,White Fox,"AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",
That Time I Got Reincarnated as a Slime Season 2,8.33,654834,294.0,162,1125893,11049,12.0,TV,Manga,Finished Airing,2021.0,winter,PG-13 - Teens 13 or older,23 min per ep,"Action, Comedy, Fantasy","Isekai, Reincarnation",Shounen,8bit,Kodansha,Funimation
Bakemonogatari,8.32,774816,295.0,98,1497787,51674,15.0,TV,Light novel,Finished Airing,2009.0,summer,R - 17+ (violence & profanity),25 min per ep,"Mystery, Romance, Supernatural",Vampire,,Shaft,"Aniplex, Kodansha",Aniplex of America
Fate/stay night [Unlimited Blade Works] Season 2,8.32,608754,296.0,222,926678,9699,13.0,TV,Visual novel,Finished Airing,2015.0,spring,R - 17+ (violence & profanity),24 min per ep,"Action, Fantasy",Urban Fantasy,,ufotable,"Aniplex, Notes",Aniplex of America
Legend of the Galactic Heroes: Die Neue These - Collision,8.32,10129,297.0,4936,26631,154,12.0,Movie,Novel,Finished Airing,,,R - 17+ (violence & profanity),25 min per ep,"Drama, Sci-Fi","Adult Cast, Military, Space",,Production I.G,"Shochiku, Wright Staff, Aiming",Crunchyroll
Legend of the Galactic Heroes: Die Neue These - Intrigue,8.32,7656,298.0,5656,19195,72,12.0,Movie,Novel,Finished Airing,,,R - 17+ (violence & profanity),25 min per ep,"Drama, Sci-Fi","Adult Cast, Military, Space",,Production I.G,"Shochiku, Wright Staff, Aiming",
Hunter x Hunter: Original Video Animation,8.32,70695,299.0,1920,137665,446,8.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,"Action, Adventure, Fantasy",,Shounen,Nippon Animation,,
Parasyte: The Maxim,8.32,1257955,300.0,43,2051105,36929,24.0,TV,Manga,Finished Airing,2014.0,fall,R - 17+ (violence & profanity),23 min per ep,"Action, Horror, Sci-Fi, Suspense","Gore, Psychological",Seinen,Madhouse,"VAP, Nippon Television Network, Forecast Communications",Sentai Filmworks
Miss Kobayashi's Dragon Maid: A Lonely Dragon Wants to be Loved,8.32,14428,301.0,3261,60649,171,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 45 min,"Slice of Life, Supernatural",,,Kyoto Animation,"Lantis, Pony Canyon, ABC Animation, Heart Company, Bandai Namco Music Live",Crunchyroll
The Legend of Hei,8.32,14631,302.0,3850,45251,530,1.0,Movie,Original,Finished Airing,,,G - All Ages,1 hr 41 min,"Adventure, Drama, Fantasy",,,HMCH,"bilibili, MaoYan Movie",
Major S6,8.32,39058,303.0,3076,67521,479,25.0,TV,Manga,Finished Airing,2010.0,spring,PG-13 - Teens 13 or older,24 min per ep,Sports,Team Sports,Shounen,SynergySP,"Shogakukan-Shueisha Productions, NHK, NHK Enterprises",
Mushoku Tensei: Jobless Reincarnation,8.32,984195,304.0,84,1591640,39870,11.0,TV,Light novel,Finished Airing,2021.0,winter,R - 17+ (violence & profanity),23 min per ep,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",,Studio Bind,"Frontier Works, TOHO, Magic Capsule, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music",Funimation
Natsume’s Book of Friends: On a Certain Snowy Day,8.32,38887,305.0,2634,87221,115,1.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,22 min,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Brain's Base,"Aniplex, Nihon Ad Systems",
One Outs,8.32,123491,307.0,1102,258175,4255,25.0,TV,Manga,Finished Airing,2008.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Sports, Suspense","Adult Cast, Psychological, Team Sports",Seinen,Madhouse,"VAP, Nippon Television Network, D.N. Dream Partners",
Psycho-Pass,8.32,833322,308.0,71,1756129,40478,22.0,TV,Original,Finished Airing,2012.0,fall,R - 17+ (violence & profanity),23 min per ep,"Action, Mystery, Sci-Fi, Suspense","Adult Cast, Detective, Psychological",,Production I.G,"Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, Fujipacific Music, TOHO animation, Glovision, Kyoraku Industrial Holdings",Funimation
Romeo's Blue Skies,8.32,19030,309.0,3400,56117,701,33.0,TV,Novel,Finished Airing,1995.0,winter,PG-13 - Teens 13 or older,23 min per ep,"Adventure, Drama",Historical,,Nippon Animation,,AnimEigo
Throne of Seal 2nd Season,8.32,3111,310.0,7997,7970,166,182.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,20 min per ep,"Action, Adventure, Fantasy",,,Shenman Entertainment,"Tencent Video, Xuanshi Tangmen, Tianshi Wenhua",
Star Blazers: Space Battleship Yamato 2199,8.32,41916,311.0,2040,126649,1960,26.0,OVA,Original,Finished Airing,,,PG-13 - Teens 13 or older,25 min per ep,"Action, Drama, Sci-Fi","Adult Cast, Military, Space",,"Xebec, AIC","Production I.G, Bandai Visual, OLM, Lantis, Shochiku, Bandai, Tohokushinsha Film Corporation, Bandai Namco Games, Voyager Entertainment",Funimation
Umamusume: Pretty Derby Season 2,8.32,61386,312.0,2204,114324,1971,13.0,TV,Game,Finished Airing,2021.0,winter,PG-13 - Teens 13 or older,23 min per ep,Sports,"Anthropomorphic, Racing",,Studio KAI,"TOHO animation, Cygames",
Zombieland Saga Movie: Yumeginga Paradise,8.32,3673,313.0,4079,40622,140,1.0,Movie,Original,Finished Airing,,,R - 17+ (violence & profanity),2 hr,"Comedy, Supernatural","Idols (Female), Music, Parody",,MAPPA,Avex Pictures,
Bocchi the Rock! Movie,8.31,9013,314.0,2928,73440,448,2.0,Movie,4-koma manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 22 min per ep,"Award Winning, Comedy","CGDCT, Music",,CloverWorks,"Aniplex, Houbunsha",
Ace of Diamond: Second Season,8.31,83458,315.0,1775,151882,1132,51.0,TV,Manga,Finished Airing,2015.0,spring,PG-13 - Teens 13 or older,24 min per ep,Sports,"School, Team Sports",Shounen,"Production I.G, Madhouse","TV Tokyo, Sotsu, Pony Canyon, Kodansha, AT-X",
The Beast Player Erin,8.31,22796,316.0,2496,94762,1546,50.0,TV,Novel,Finished Airing,2009.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Drama, Fantasy",,,"Production I.G, Trans Arts",NHK,
Tales of Herding Gods,8.31,13082,316.0,6047,16036,75,,ONA,Web novel,Currently Airing,,,PG-13 - Teens 13 or older,20 min,"Action, Adventure, Fantasy","Historical, Martial Arts",,Sparkly Key Animation Studio,bilibili,
Natsume's Book of Friends Season 5 Specials,8.31,24383,318.0,3529,52669,67,2.0,Special,Manga,Finished Airing,,,PG-13 - Teens 13 or older,23 min per ep,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Shuka,,
Sasaki and Miyano: Graduation,8.31,23154,318.0,3217,62229,410,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,51 min,Boys Love,"Otaku Culture, School",,Studio Deen,"Frontier Works, Movic, Nippon Columbia, U-NEXT, BS NTV, Kadokawa, TVA advance, Cinema Sunshine",
Bunny Drop,8.31,255945,319.0,488,526931,6057,11.0,TV,Manga,Finished Airing,2011.0,summer,PG-13 - Teens 13 or older,22 min per ep,Slice of Life,"Childcare, Iyashikei",Josei,Production I.G,"Dentsu, Fuji TV, TOHO, Tohokushinsha Film Corporation, Sony Music Entertainment, Sakura Create, Fujipacific Music, Shodensha, Fonishia",NIS America
Erased,8.3,1486038,320.0,30,2306134,51451,12.0,TV,Manga,Finished Airing,2016.0,winter,R - 17+ (violence & profanity),23 min per ep,"Mystery, Suspense","Psychological, Time Travel",Seinen,A-1 Pictures,"Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai TV, Lawson, Kanetsu Investment, C-one",Aniplex of America
Dr. Stone: New World Part 2,8.3,239131,321.0,614,440389,1648,11.0,TV,Manga,Finished Airing,2023.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Adventure, Comedy",,Shounen,TMS Entertainment,"TOHO animation, Shueisha",Crunchyroll
Initial D Final Stage,8.3,86317,323.0,1637,168582,1062,4.0,TV,Manga,Finished Airing,2014.0,spring,PG-13 - Teens 13 or older,27 min per ep,"Action, Drama",Racing,Seinen,SynergySP,Avex Entertainment,
Case Closed Movie 06: The Phantom of Baker Street,8.3,50954,324.0,2671,85943,300,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 47 min,"Adventure, Mystery","Detective, Video Game",Shounen,TMS Entertainment,"Yomiuri Telecasting, TOHO, Nippon Television Network, Shogakukan, Audio Planning U, Shogakukan Productions",Funimation
Natsume's Book of Friends,8.3,200594,325.0,428,591179,16893,13.0,TV,Manga,Finished Airing,2008.0,summer,PG-13 - Teens 13 or older,24 min per ep,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Brain's Base,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha","NIS America, Crunchyroll"
Spice and Wolf II,8.3,290422,326.0,492,522760,4309,12.0,TV,Light novel,Finished Airing,2009.0,summer,PG-13 - Teens 13 or older,23 min per ep,"Adventure, Drama, Romance, Supernatural",Adult Cast,,"Brain's Base, Marvy Jack","Imagin, Pony Canyon, Movic, Kadokawa Pictures Japan, flying DOG, ASCII Media Works",Funimation
Link Click: Bridon Arc,8.3,29133,327.0,3007,70112,536,6.0,ONA,Original,Finished Airing,,,PG-13 - Teens 13 or older,32 min per ep,Drama,"Adult Cast, Super Power, Time Travel",,CMC Media,"bilibili, BeDream",
Beck: Mongolian Chop Squad,8.29,151696,328.0,731,378374,9280,26.0,TV,Manga,Finished Airing,2004.0,fall,R - 17+ (violence & profanity),24 min per ep,Drama,Music,Shounen,Madhouse,"Marvelous Entertainment, Starchild Records, Asatsu DK, Kodansha, DefSTAR Records",Funimation
Dr. Stone: Science Future Part 3,8.29,53426,329.0,1648,166620,646,13.0,TV,Manga,Finished Airing,2026.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Adventure, Comedy",,Shounen,TMS Entertainment,"Magic Capsule, TOHO animation, Shueisha",
Gintama Movie 3: Yoshiwara Daienjou,8.29,710,331.0,6636,12684,53,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,2 hr 4 min,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Bandai Namco Pictures,Warner Bros. Pictures,
given,8.29,349437,332.0,389,641542,18204,11.0,TV,Manga,Finished Airing,2019.0,summer,PG-13 - Teens 13 or older,22 min per ep,"Boys Love, Drama","Music, School",,Lerche,"Aniplex, Dentsu, Movic, Fuji TV, Shinshokan",Crunchyroll
Katanagatari,8.29,224039,333.0,424,595632,11034,12.0,TV,Light novel,Finished Airing,2010.0,winter,R - 17+ (violence & profanity),49 min per ep,"Action, Adventure, Romance","Historical, Martial Arts",,White Fox,"Aniplex, Lantis, Kodansha, Movic, Fuji TV",NIS America
Kingdom Season 2,8.29,75517,334.0,1772,151989,966,39.0,TV,Manga,Finished Airing,2013.0,summer,R - 17+ (violence & profanity),25 min per ep,Action,"Historical, Military",Seinen,Studio Pierrot,"NHK, NHK Enterprises",Funimation
Kuroko's Basketball 3,8.29,515771,335.0,268,836374,5246,25.0,TV,Manga,Finished Airing,2015.0,winter,PG-13 - Teens 13 or older,24 min per ep,Sports,"School, Team Sports",Shounen,Production I.G,"Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11",
Major: World Series,8.29,22128,336.0,4104,40273,100,2.0,OVA,Manga,Finished Airing,,,PG-13 - Teens 13 or older,28 min per ep,Sports,Team Sports,Shounen,SynergySP,,
Mononoke The Movie: Chapter II - The Ashes of Rage,8.29,6655,337.0,5257,22970,112,1.0,Movie,Original,Finished Airing,,,R - 17+ (violence & profanity),1 hr 14 min,"Horror, Mystery, Supernatural, Suspense","Adult Cast, Historical, Mythology, Psychological",,"EOTA, Crew-Cell",,
