title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Mushi-Shi,8.65,299070,86.0,227,911102,28487,26.0,TV,Manga,Finished Airing,2005.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",Seinen,Artland,"Avex Entertainment, Marvelous Entertainment, SKY Perfect Well Think, Delfi Sound",Funimation
Attack on Titan Season 3,8.65,1824413,87.0,18,2685442,22589,12.0,TV,Manga,Finished Airing,2018.0,summer,R - 17+ (violence & profanity),23 min per ep,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,Wit Studio,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation
Monogatari Series: Off & Monster Season,8.64,40549,88.0,2333,105291,903,14.0,ONA,Light novel,Finished Airing,,,R - 17+ (violence & profanity),25 min per ep,"Comedy, Mystery, Supernatural",Vampire,,Shaft,"Aniplex, Kodansha, Rakuonsha",Aniplex of America
Your Lie in April,8.64,1480749,89.0,24,2440146,90620,22.0,TV,Manga,Finished Airing,2014.0,fall,PG-13 - Teens 13 or older,22 min per ep,"Drama, Romance","Love Polygon, Music, Performing Arts, School",Shounen,A-1 Pictures,"Aniplex, Dentsu, Kodansha, Fuji TV, Lawson HMV Entertainment, Kyoraku Industrial Holdings, Kansai TV",Aniplex of America
Gurren Lagann,8.64,982474,90.0,66,1778161,85632,27.0,TV,Original,Finished Airing,2007.0,spring,PG-13 - Teens 13 or older,24 min per ep,"Adventure, Award Winning, Sci-Fi",Mecha,,Gainax,"TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai","ADV Films, Bandai Entertainment, Aniplex of America"
Heaven Official's Blessing Season 2,8.64,25783,91.0,3110,65954,1315,12.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,24 min per ep,"Action, Adventure, Drama, Fantasy","Historical, Mythology",,Red Dog Culture House,bilibili,
Umamusume: Pretty Derby - Beginning of a New Era,8.64,38109,92.0,3228,61731,1129,1.0,Movie,Game,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 47 min,Sports,"Anthropomorphic, Racing",,CygamesPictures,Cygames,
Fate/stay night: Heaven's Feel - III. Spring Song,8.63,225299,93.0,664,411680,8555,1.0,Movie,Visual novel,Finished Airing,,,R - 17+ (violence & profanity),2 hr 2 min,"Action, Fantasy",Urban Fantasy,,ufotable,"Aniplex, Notes, Kadokawa",Aniplex of America
Natsume's Book of Friends Season 4,8.63,117977,94.0,1066,267125,2118,13.0,TV,Manga,Finished Airing,2012.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Brain's Base,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment",NIS America
Odd Taxi,8.63,252950,95.0,509,515178,9229,13.0,TV,Original,Finished Airing,2021.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Award Winning, Drama, Mystery, Suspense","Adult Cast, Anthropomorphic, Organized Crime",,"OLM, P.I.C.S.","TV Tokyo, Dentsu, Pony Canyon, AT-X, Crunchyroll, Pony Canyon Enterprises, Mimoid, Yoshimoto Kogyo",
