country,year,reporting_level,welfare_type,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,headcount_international_povline,headcount_lower_mid_income_povline,headcount_upper_mid_income_povline,headcount_100,headcount_1000,headcount_2000,headcount_3000,headcount_4000,headcount_40_median,headcount_50_median,headcount_60_median,poverty_gap_index_international_povline,poverty_gap_index_lower_mid_income_povline,poverty_gap_index_upper_mid_income_povline,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_3000,poverty_gap_index_4000,mean,median,decile1_avg,decile10_avg,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile1_thr,decile2_thr,decile3_thr,decile4_thr,decile6_thr,decile7_thr,decile8_thr,decile9_thr,gini,palma_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio
Albania,1996,national,consumption,0.92066900711367,11.17414933675462,44.61841668638992,0.0574158126534935,86.17520773919996,99.63207914995569,99.91246507775932,99.9516562083065,2.7688211170843,7.54812303918347,14.8025141997288,29167.0,354001.0,1413526.0,1819.0,2730059.0,3156377.0,3165260.0,3166501.0,87717.0,239127.0,468949.0,0.14005071250154,2.09483180202124,12.842785473104351,0.0117261583174179,38.42913437671639,67.27306258705686,78.12875264618482,83.58160507227174,6.570820904558197,5.774804976851393,2.5384960418393008,13.9403731397252,3.86328600141626,5.28934687872954,6.378683400734669,7.32204153448976,8.379661928695981,9.35490252453835,10.82308696786507,12.47386950099601,14.89954813672473,21.21557312580948,3.06,3.88,4.48,5.16,6.66,7.61,8.85,10.92,0.2701034197508885,0.9283350524333346,3.568627450980392,1.889273356401384,1.8888888888888888
Albania,2002,national,consumption,1.57084335862702,14.13211815688005,49.66963515999645,0.0463706233257104,85.33831702536492,98.08006084701104,99.63838560500017,99.84308111495416,3.21228322967181,8.406372784532019,16.02055356185178,47927.0,431172.0,1515426.0,1415.0,2603681.0,2992432.0,3039977.0,3046222.0,98007.0,256479.0,488789.0,0.26176108533902,2.85591770662758,15.095425572357598,0.0248164178005091,40.27142588851927,67.19276285674735,77.79233467606329,83.28972625730712,6.7158276404317006,5.539607490558332,2.3465113690222474,17.082135367823756,3.49400177410064,4.85944424737667,5.8420590397623,6.73820399638601,7.65310241006289,8.83945948667871,10.22858505934479,11.98442873345533,14.925078303213498,25.435636949619063,2.91,3.62,4.22,4.85,6.35,7.38,8.83,11.58,0.3173897983352209,1.215056389653677,3.9793814432989687,2.0902527075812274,1.9037800687285225
Albania,2005,national,consumption,0.86052711252553,8.71568477109178,38.5452539039565,0.0276202240307316,79.98712716476295,97.57659760661808,99.4344584351572,99.75174440435484,4.0950019098266,8.99153251423932,16.67577033199554,25915.0,262472.0,1160785.0,832.0,2408802.0,2938507.0,2994456.0,3004011.0,123320.0,270779.0,502189.0,0.13132548830934,1.76158141801253,10.61300928510168,0.0002300871929452,33.822247977901185,63.027489989655486,74.945699899723,81.11012514156315,7.591930008528758,6.460357075105566,2.643916926388511,18.479644451493527,3.48253596044529,4.92010896079825,5.9772825692989,6.92118250887091,7.9881583814058,9.0370685301544,10.37214400536663,12.12640764218682,14.83394334491038,24.34116809656245,3.3,4.18,4.93,5.63,7.32,8.51,10.02,12.78,0.3059565572811916,1.142718294832186,3.872727272727273,1.978328173374613,1.9575757575757573
Albania,2008,national,consumption,0.31364958127441,5.25054159180846,31.11034495362427,0.0,75.8510209751488,97.09978489047155,99.0158642448724,99.67824797548074,2.11853496956573,7.227714347122539,14.137154208979242,9244.0,154750.0,916920.0,0.0,2235568.0,2861836.0,2918308.0,2937831.0,62440.0,213023.0,416666.0,0.0512411155086449,0.75103738583368,7.39490576473968,0.0,29.439466854541653,60.02479805561302,72.84182564377721,79.48242904577948,8.314345397742978,6.957659224183439,3.104265077533177,20.335484465541843,3.73362535356766,5.13678118509071,6.08847215962694,6.98358425000761,7.91207853688934,8.92413264193258,10.29873499940216,11.92907552267035,14.53520445232358,24.458310898488943,3.81,4.7,5.43,6.2,7.93,9.24,10.74,13.62,0.2998467042234796,1.1146565887395858,3.574803149606299,1.956896551724138,1.826771653543307
Albania,2012,national,consumption,0.84975444767885,6.18241386926326,34.52890592661766,0.11132099775901,77.06983967714693,97.77262570432718,99.61829859921708,99.8859835646176,3.4924129328671296,7.75311184523735,14.84282292059738,24646.0,179315.0,1001477.0,3229.0,2235334.0,2835798.0,2889330.0,2897094.0,101294.0,224871.0,430501.0,0.16910086297433,1.27260912909812,8.64555455549084,0.0119586448590172,31.06275453684508,61.33315771101493,73.87134597251944,80.3472662850392,7.882866695887549,6.8252891049441375,2.884756356337055,18.078834215021296,3.65952700664343,5.19309499670742,6.14364383012781,7.03072574268422,8.08383255155063,9.25694260687266,10.5154551765395,12.29330114644084,14.88913730117996,22.93433964125377,3.65,4.49,5.17,5.93,7.74,8.91,10.52,13.26,0.2896048455859209,1.0411925551409755,3.632876712328767,1.941434846266472,1.8712328767123287
Albania,2014,national,consumption,1.58089716965821,11.61562086400974,37.03384185206247,0.0,71.58568545345165,95.18214124180972,99.12648854074304,99.81975638870472,7.514618464949289,14.37582774078003,22.21602387505624,45674.0,335587.0,1069946.0,0.0,2068185.0,2749911.0,2863867.0,2883897.0,217105.0,415333.0,641844.0,0.21191932649665,2.54683696531046,11.73479625717974,0.0,31.71987379235526,59.36763174741924,72.1903007829972,79.03524332955632,8.399774620228271,6.870836745603878,2.3964589487605177,21.456655099708144,2.85300386868641,4.17376718563257,5.22291287004521,6.311598660849251,7.51237324454546,8.932859602769689,10.59370273125528,12.724538119957,16.13092131499349,25.544322401265863,3.05,3.96,4.82,5.82,8.14,9.71,11.74,15.78,0.3459889646678993,1.376215371108856,5.173770491803279,2.296943231441048,2.2524590163934426
Albania,2015,national,consumption,0.24509790798944,4.69076710832596,24.461184845440588,0.0,62.1753802690021,92.29149173544076,98.35724035400422,99.6374381062715,4.96048835970365,10.77823508542475,18.76418997908274,7061.0,135127.0,704654.0,0.0,1791088.0,2658644.0,2833380.0,2870259.0,142897.0,310489.0,540541.0,0.0168560024850528,0.8601724392399699,6.18960542530095,0.0,23.74247267512663,52.55130078887005,67.05311637110347,75.07084432096704,9.985141415346556,8.18945365730761,3.149791826235528,24.7424893681223,3.15447893546554,4.54679809067797,5.56642181708527,6.57946473873899,7.6200231781753,8.88623649491796,10.47408331633816,12.52329441982386,15.86989109622737,24.779307912549537,3.97,5.06,6.06,7.05,9.6,11.38,13.8,18.26,0.3275373177638622,1.2485062568367649,4.599496221662469,2.22954822954823,2.062972292191436
Albania,2016,national,consumption,0.41036422288427,5.46261218520396,23.903491131383788,0.0,59.79901278008186,91.28642726132716,97.88307666824616,99.55510507286954,6.57246134537133,12.71899533854483,20.06597024463861,11802.0,157110.0,687489.0,0.0,1719880.0,2625490.0,2815216.0,2863305.0,189031.0,365811.0,577118.0,0.0302968156103252,0.92155442906573,6.30523144261721,0.0,23.03429890471034,51.10100848795379,65.85043252373303,74.0944306991045,10.387450232881111,8.516612198302338,3.084455427575804,26.020100157576376,2.96940573328772,4.35051562865691,5.422417749744421,6.42376683827052,7.52443230508284,8.896662927744769,10.52049638912124,12.703985647337609,16.13876219881249,25.049554581942218,3.89,5.1,6.17,7.16,10.02,11.92,14.78,19.18,0.3373629871613542,1.3069715177064989,4.930591259640103,2.251173708920188,2.190231362467866
Albania,2016,national,income,6.68160398486851,17.62164857539816,39.9498910436282,2.29844856600608,72.34523375101686,94.70076122305396,98.78681682834072,99.68667978596412,13.25119549867036,19.57238352960146,26.00888258534007,192170.0,506816.0,1148999.0,66106.0,2080722.0,2723690.0,2841209.0,2867090.0,381118.0,562922.0,748042.0,2.4659521060594902,6.37027547469438,15.728126339602118,0.73289868153035,34.61899683841343,60.63133008016637,72.85885945394168,79.47785001112531,8.242950169068417,6.742325745367449,1.5151996933919076,22.64086892883442,1.83817645662554,3.483360588242089,4.79217877885017,6.081395375956951,7.35806519110927,8.86265050989833,10.57394615448653,12.91291149727572,16.63036676480018,27.46694868275929,2.3,3.43,4.48,5.5,8.01,9.5,11.88,16.02,0.3856564270560207,1.696002475321745,6.965217391304348,2.376854599406528,2.930434782608696
Albania,2017,national,consumption,0.42847545582039,4.28474272120853,23.82862474843489,0.0,60.48042945830944,91.73751546570544,98.275043101787,99.5723243648286,5.27131043330937,11.654406498098387,19.17304680980168,12312.0,123120.0,684705.0,0.0,1737879.0,2636038.0,2823891.0,2861168.0,151469.0,334884.0,550929.0,0.0625867805278931,0.90813700979809,6.00894370616453,0.0,22.94346906047762,51.30771734694653,66.10715612972233,74.34969315630401,10.27987957587708,8.43817264466874,3.177026195604687,25.30128178357634,3.0905286118914703,4.45994268194487,5.47760516529175,6.50812296116071,7.604976016054731,8.90839714576123,10.53926208033492,12.71788691017349,16.080848294499962,24.612430132886683,4.06,5.14,6.14,7.23,9.91,11.86,14.54,18.82,0.330556627406811,1.2598371670656727,4.635467980295567,2.229857819905213,2.078817733990148
