title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
007 Legends,WiiU,Shooter,Activision,Eurocom,4.2,0.13,0.06,,0.06,0.01,2012-12-11
Shrek Smash n' Crash Racing,GC,Racing,Activision,Torus Games,,0.13,0.1,,0.03,0.0,2006-11-21
TOCA Race Driver 2: Ultimate Racing Simulator,XB,Racing,Codemasters,Codemasters,,0.13,0.09,,0.03,0.0,2004-04-13
Monster Jam: Urban Assault,PS2,Racing,Activision,Torus Games,,0.13,0.06,,0.05,0.02,2008-10-28
DT Racer,PS2,Racing,XS Games,Axis Entertainment,,0.13,0.06,,0.05,0.02,2005-09-26
Drome Racers,PS2,Racing,Electronic Arts,Attention To Detail,,0.13,0.06,,0.05,0.02,2002-11-20
Burnout,XB,Racing,Acclaim Entertainment,Criterion Games,,0.13,0.09,,0.03,0.0,2002-04-29
Sega GT,DC,Racing,Sega,TOSE Software,7.8,0.13,,0.13,,0.0,2000-08-29
Heroes of the Pacific,XB,Simulation,Ubisoft,IR Gurus Interactive,,0.13,0.1,,0.03,0.0,2005-09-28
Monster Jam,DS,Racing,Activision,Torus Games,,0.13,0.12,,0.0,0.01,2007-11-13
Sonic Riders,XB,Racing,Sega,Sonic Team,,0.13,0.1,,0.03,0.0,2006-02-21
Rally Fusion: Race of Champions,PS2,Racing,Activision,Climax Group,,0.13,0.06,,0.05,0.02,2002-11-11
Digimon Racing,GBA,Racing,Bandai,Griptonite Games,6.0,0.13,0.09,,0.03,0.0,2004-09-13
DreamWorks Super Star Kartz,DS,Racing,Activision,Activision,,0.13,0.08,,0.03,0.01,2011-11-15
NASCAR Heat 3,PS4,Racing,704Games,Monster Games,,0.13,0.1,,,0.02,2018-09-07
SBK 2011: FIM Superbike World Championship,PS3,Racing,Black Bean Games,Milestone S.r.l,,0.13,0.01,,0.09,0.02,2011-05-11
Valentino Rossi: The Game,PS4,Racing,Namco Bandai Games,Milestone S.r.l.,,0.13,0.05,,0.05,0.02,2016-07-26
Nickelodeon Kart Racers,NS,Racing,GameMill Entertainment,Bamtang,2.0,0.13,0.08,,0.04,0.01,2018-10-23
Cars 2,PSP,Racing,Disney Interactive Studios,Disney Interactive,,0.13,0.1,,0.01,0.02,2011-11-08
Destruction Derby Arenas,PS2,Racing,Gathering of Developers,Studio 33,,0.13,0.06,,0.05,0.02,2004-04-01
Project CARS,PC,Racing,Bandai Namco Games,Slightly Mad Studios,,0.13,,,0.12,0.01,2015-05-12
NASCAR Heat 2,PS4,Racing,704Games,Monster Games,,0.13,0.11,,,0.02,2017-09-12
Indianapolis 500 Legends,Wii,Racing,Destineer,Torus Games,,0.13,0.12,,,0.01,2007-12-14
Spy Hunter 2,XB,Racing,Midway Games,Angel Studios,,0.13,0.1,,0.03,0.0,2003-11-24
Need for Speed Underground 2,DS,Racing,Electronic Arts,Pocketeers,,0.13,0.11,,0.02,0.01,2005-05-10
Nitrobike,Wii,Racing,Ubisoft,Left Field Productions,,0.13,0.11,,0.01,0.01,2008-01-15
DreamWorks Super Star Kartz,Wii,Racing,Activision,Activision,,0.13,0.08,,0.04,0.01,2011-11-15
Split/Second,PSP,Racing,Disney Interactive Studios,Black Rock Studio,,0.13,0.09,,0.02,0.02,2010-11-16
18 Wheels of Steel: Extreme Trucker 2,PC,Racing,THQ,SCS Software,,0.13,0.1,,0.02,0.01,2011-01-06
LEGO Racers 2,PS2,Racing,LEGO Media,Attention To Detail,,0.13,0.06,,0.05,0.02,2001-09-27
Little Dragons Café,NS,Simulation,Aksys Games,Aksys Games,7.0,0.13,0.09,0.02,,0.01,2018-08-24
Anno 1701: Dawn of Discovery,DS,Simulation,Ubisoft,Sunflower Studios,8.0,0.13,0.07,,0.05,0.01,2008-03-04
