title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Darkwood,XOne,Action-Adventure,Unknown,Acid Wizard Studio,,,,,,,
Darkwood,PS4,Action-Adventure,Crunching Koalas,Acid Wizard Studio,,,,,,,2019-05-14
Darkwood,NS,Action-Adventure,Crunching Koalas,Acid Wizard Studio,,,,,,,2019-05-16
Dawn of Fear,PS4,Action-Adventure,Good Game Publishing,Brok3nsite,,,,,,,2020-02-03
Daymare: 1994 Sandcastle,XS,Action-Adventure,Unknown,Invader Studios,,,,,,,
Daymare: 1994 Sandcastle,NS,Action-Adventure,Unknown,Invader Studios,,,,,,,
Daymare: 1994 Sandcastle,PC,Action-Adventure,Unknown,Invader Studios,,,,,,,
Daymare: 1994 Sandcastle,PS4,Action-Adventure,Unknown,Invader Studios,,,,,,,
Daymare: 1994 Sandcastle,PS5,Action-Adventure,Unknown,Invader Studios,,,,,,,
Daymare: 1994 Sandcastle,XOne,Action-Adventure,Unknown,Invader Studios,,,,,,,
Daymare: 1998,PC,Action-Adventure,Destructive Creations,Invader Studios,,,,,,,2019-09-17
Daymare: 1998,PS4,Action-Adventure,Destructive Creations,Invader Studios,,,,,,,2019-12-01
Daymare: 1998,XOne,Action-Adventure,Destructive Creations,Invader Studios,,,,,,,2019-12-01
DC Super Hero Girls: Teen Power,NS,Action-Adventure,Warner Bros. Interactive Entertainment,DC Studios,,,,,,,2021-06-04
Dead Cells: Fatal Falls,NS,Action-Adventure,Unknown,Motion Twin,,,,,,,
Dead Cells: Fatal Falls,PC,Action-Adventure,Unknown,Motion Twin,,,,,,,
Dead Cells: Fatal Falls,PS4,Action-Adventure,Unknown,Motion Twin,,,,,,,
Dead Cells: Fatal Falls,XOne,Action-Adventure,Unknown,Motion Twin,,,,,,,
Dead Cells: The Queen and the Sea,NS,Action-Adventure,Unknown,Motion Twin,,,,,,,
Dead Cells: The Queen and the Sea,PC,Action-Adventure,Unknown,Motion Twin,,,,,,,
Dead Cells: The Queen and the Sea,PS4,Action-Adventure,Unknown,Motion Twin,,,,,,,
Dead Cells: The Queen and the Sea,XOne,Action-Adventure,Unknown,Motion Twin,,,,,,,
Dead Space (2023),XS,Action-Adventure,Electronic Arts,Motive Studios,,,,,,,2023-01-27
Dead Space (2023),PC,Action-Adventure,Electronic Arts,Motive Studios,,,,,,,2023-01-27
Dead Space (2023),PS5,Action-Adventure,Electronic Arts,Motive Studios,,,,,,,2023-01-27
Deadlight,X360,Action-Adventure,Microsoft Studios,Tequila Works,,,,,,,2012-06-01
Deadlight: Director's Cut,PS4,Action-Adventure,Deep Silver,Tequila Works,,,,,,,2016-06-21
Deadlight: Director's Cut,PC,Action-Adventure,Deep Silver,Tequila Works,,,,,,,2016-06-21
Deadlight: Director's Cut,XOne,Action-Adventure,Deep Silver,Tequila Works,,,,,,,2016-06-21
Deadly Premonition 2: A Blessing in Disguise,NS,Action-Adventure,Rising Star Games,Toybox Games,,,,,,,2020-07-10
Deadly Premonition Origins,NS,Action-Adventure,Toybox,Toybox Games,,,,,,,2020-09-05
Death Stranding,PC,Action-Adventure,505 Games,Kojima Productions,,,,,,,2020-07-14
Death Stranding Director's Cut,PC,Action-Adventure,505 Games,Kojima Productions,,,,,,,2022-03-30
Death's Gambit,PS4,Action-Adventure,Skybound Games,White Rabbit,,,,,,,2019-03-05
Death's Gambit: Afterlife,PC,Action-Adventure,Unknown,White Rabbit,,,,,,,
Death's Gambit: Afterlife,PS4,Action-Adventure,Unknown,White Rabbit,,,,,,,
Death's Gambit: Afterlife,NS,Action-Adventure,Unknown,White Rabbit,,,,,,,
Deathtrap Dungeon,PC,Action-Adventure,Unknown,Asylum Entertainment,,,,,,,
Death’s Door,PC,Action-Adventure,Unknown,Acid Nerve,,,,,,,
Death’s Door,XS,Action-Adventure,Unknown,Acid Nerve,,,,,,,
Death’s Door,XOne,Action-Adventure,Unknown,Acid Nerve,,,,,,,
Destroy All Humans!,PS4,Action-Adventure,THQ Nordic,Pandemic Studios,,,,,,,2020-07-28
Destroy All Humans!,PC,Action-Adventure,THQ Nordic,Black Forest Games,,,,,,,2020-07-28
Destroy All Humans!,XOne,Action-Adventure,THQ Nordic,Black Forest Games,,,,,,,2020-07-28
Destroy All Humans! 2: Reprobed,PC,Action-Adventure,Unknown,Black Forest Games,,,,,,,
Destroy All Humans! 2: Reprobed,PS5,Action-Adventure,Unknown,Black Forest Games,,,,,,,
Destroy All Humans! 2: Reprobed,XS,Action-Adventure,Unknown,Black Forest Games,,,,,,,
Devil Inside Us: Roots of Evil,PS5,Action-Adventure,Unknown,QUByte Interactive,,,,,,,
Devil’s Hunt,XOne,Action-Adventure,1C Company,Layopi Games,,,,,,,2020-12-01
Devil’s Hunt,NS,Action-Adventure,1C Company,Layopi Games,,,,,,,2020-12-01
Devil’s Hunt,PC,Action-Adventure,1C Company,Layopi Games,,,,,,,2019-09-17
Devil’s Hunt,PS4,Action-Adventure,1C Company,Layopi Games,,,,,,,2020-12-01
Disaster Report 4 Plus: Summer Memories,PC,Action-Adventure,NIS America,Granzella,,,,,,,2020-04-07
Disaster Report 4 Plus: Summer Memories,NS,Action-Adventure,NIS America,Granzella,,,,,,,2020-04-07
Dishonored: Knife of Dunwall,PC,Action-Adventure,Unknown,Arkane Studios,,,,,,,
Dishonored: Knife of Dunwall,PS3,Action-Adventure,Unknown,Arkane Studios,,,,,,,
Dishonored: Knife of Dunwall,X360,Action-Adventure,Unknown,Arkane Studios,,,,,,,
Dishonored: The Brigmore Witches,PC,Action-Adventure,Unknown,Arkane Studios,,,,,,,
Dishonored: The Brigmore Witches,PS3,Action-Adventure,Unknown,Arkane Studios,,,,,,,
Dishonored: The Brigmore Witches,X360,Action-Adventure,Unknown,Arkane Studios,,,,,,,
Disneyland Adventures,PC,Action-Adventure,THQ Nordic,Frontier Developments,,,,,,,2018-09-14
Double Cross,PC,Action-Adventure,Graffiti,13AM Games,,,,,,,2019-01-10
Double Cross,NS,Action-Adventure,Graffiti,13AM Games,,,,,,,2019-01-10
Down to Hell,NS,Action-Adventure,Unknown,Red Dev Studio,,,,,,,
Down to Hell,PC,Action-Adventure,Unknown,Red Dev Studio,,,,,,,
Downward Spiral: Horus Station,PC,Action-Adventure,3rd Eye Studios,3rd Eye Studios,,,,,,,2018-05-31
Downward Spiral: Horus Station,PS4,Action-Adventure,3rd Eye Studios,3rd Eye Studios,,,,,,,2018-09-18
Dragons: Dawn of New Riders,PC,Action-Adventure,Unknown,Outright Games,,,,,,,
Dragons: Dawn of New Riders,PS4,Action-Adventure,Unknown,Outright Games,,,,,,,
Dragons: Dawn of New Riders,XOne,Action-Adventure,Unknown,Outright Games,,,,,,,
Dragons: Dawn of New Riders,NS,Action-Adventure,Unknown,Outright Games,,,,,,,
Dreamscaper,NS,Action-Adventure,Unknown,Afterburner Studios,,,,,,,
Dreamscaper,PC,Action-Adventure,Unknown,Afterburner Studios,,,,,,,
DreamWorks Voltron VR Chronicles,OR,Action-Adventure,Digital Domain,Digital Domain,,,,,,,2017-09-25
Dungeon Explorer,WiiU,Action-Adventure,Unknown,TBD,,,,,,,
Dungeons of Hinterberg,PC,Action-Adventure,Unknown,Microbird Games,,,,,,,
Dungeons of Hinterberg,XS,Action-Adventure,Unknown,Microbird Games,,,,,,,
Dying Light 2 Stay Human,PS5,Action-Adventure,Techland,Techland,,,,,,,2021-12-01
Dying Light 2 Stay Human,XS,Action-Adventure,Techland,Techland,,,,,,,2021-12-01
Dying Light 2 Stay Human,PC,Action-Adventure,Techland,Techland,,,,,,,2020-12-01
Dying Light 2 Stay Human,XOne,Action-Adventure,Techland,Techland,,,,,,,2020-12-01
Dying Light 2 Stay Human,PS4,Action-Adventure,Techland,Techland,,,,,,,2020-12-01
Dying Light 2 Stay Human: Bloody Ties,XOne,Action-Adventure,Unknown,Techland,,,,,,,
Dying Light 2 Stay Human: Bloody Ties,XS,Action-Adventure,Unknown,Techland,,,,,,,
Dying Light 2 Stay Human: Bloody Ties,PC,Action-Adventure,Unknown,Techland,,,,,,,
Dying Light 2 Stay Human: Bloody Ties,PS4,Action-Adventure,Unknown,Techland,,,,,,,
Dying Light 2 Stay Human: Bloody Ties,PS5,Action-Adventure,Unknown,Techland,,,,,,,
Earthfall,PC,Action-Adventure,Gearbox Software,Holospark,,,,,,,2018-07-13
Eastward,NS,Action-Adventure,Chucklefish,Pixpil,,,,,,,2020-12-30
Ender Lilies: Quietus of the Knights,PS5,Action-Adventure,Binary Haze Interactive,Live Wire,,,,,,,2021-07-20
Ender Lilies: Quietus of the Knights,PS4,Action-Adventure,Binary Haze Interactive,Live Wire,,,,,,,2021-07-20
Ender Lilies: Quietus of the Knights,PC,Action-Adventure,Binary Haze Interactive,Live Wire,,,,,,,2021-06-21
Ender Lilies: Quietus of the Knights,NS,Action-Adventure,Binary Haze Interactive,Live Wire,,,,,,,2021-06-21
Ender Lilies: Quietus of the Knights,XS,Action-Adventure,Binary Haze Interactive,Live Wire,,,,,,,2021-06-29
Ender Lilies: Quietus of the Knights,XOne,Action-Adventure,Binary Haze Interactive,Live Wire,,,,,,,2021-06-29
Even the Ocean,PC,Action-Adventure,Analgesic Productions,Analgesic Productions,,,,,,,2016-11-16
Everwild,XOne,Action-Adventure,Xbox Game Studios,Rare Ltd.,,,,,,,2020-12-01
Everwild,XS,Action-Adventure,Xbox Game Studios,Rare Ltd.,,,,,,,2020-12-01
Everwild,PC,Action-Adventure,Xbox Game Studios,Rare Ltd.,,,,,,,2021-12-01
Evil West,XS,Action-Adventure,Unknown,Flying Wild Hog,,,,,,,
Evil West,PC,Action-Adventure,Unknown,Flying Wild Hog,,,,,,,
Evil West,PS4,Action-Adventure,Unknown,Flying Wild Hog,,,,,,,
Evil West,PS5,Action-Adventure,Unknown,Flying Wild Hog,,,,,,,
Evil West,XOne,Action-Adventure,Unknown,Flying Wild Hog,,,,,,,
Evoland Legendary Edition,XOne,Action-Adventure,Unknown,Shiro Games,,,,,,,
Evoland Legendary Edition,PS4,Action-Adventure,Unknown,Shiro Games,,,,,,,
Evoland Legendary Edition,NS,Action-Adventure,Unknown,Shiro Games,,,,,,,
ExeKiller,PC,Action-Adventure,Unknown,Paradark Studio,,,,,,,
ExeKiller,PS5,Action-Adventure,Unknown,Paradark Studio,,,,,,,
ExeKiller,XS,Action-Adventure,Unknown,Paradark Studio,,,,,,,
Exit the Gungeon,iOS,Action-Adventure,Unknown,Dodge Roll,,,,,,,
Exit the Gungeon,PC,Action-Adventure,Devolver Digital,Dodge Roll,,,,,,,2020-03-17
F.I.S.T.,PC,Action-Adventure,Unknown,TiGames,,,,,,,
F.I.S.T.,PS5,Action-Adventure,Unknown,TiGames,,,,,,,
F.I.S.T.,PS4,Action-Adventure,Sony Computer Entertainment,TiGames,,,,,,,2020-12-01
F.I.S.T.,NS,Action-Adventure,Unknown,TiGames,,,,,,,
Falcon Age,PS4,Action-Adventure,Outerloop Games,Outerloop Games,,,,,,,2019-04-09
Fatal Frame: Maiden of Black Water,PC,Action-Adventure,Unknown,Koei Tecmo Games,,,,,,,
Fatal Frame: Maiden of Black Water,NS,Action-Adventure,Unknown,Koei Tecmo Games,,,,,,,
Fatal Frame: Maiden of Black Water,PS4,Action-Adventure,Unknown,Koei Tecmo Games,,,,,,,
Fatal Frame: Maiden of Black Water,PS5,Action-Adventure,Unknown,Koei Tecmo Games,,,,,,,
Fatal Frame: Maiden of Black Water,XOne,Action-Adventure,Unknown,Koei Tecmo Games,,,,,,,
Fatal Frame: Maiden of Black Water,XS,Action-Adventure,Unknown,Koei Tecmo Games,,,,,,,
Fearmonium,PS4,Action-Adventure,Unknown,Redblack Spade,,,,,,,
Fearmonium,PS5,Action-Adventure,Unknown,Redblack Spade,,,,,,,
Fearmonium,XOne,Action-Adventure,Unknown,Redblack Spade,,,,,,,
Fearmonium,XS,Action-Adventure,Unknown,Redblack Spade,,,,,,,
Fearmonium,NS,Action-Adventure,Unknown,Redblack Spade,,,,,,,
Fearmonium,PC,Action-Adventure,Unknown,Redblack Spade,,,,,,,
Feudal Alloy,PC,Action-Adventure,Attu Games,Attu Games,,,,,,,2019-01-17
Feudal Alloy,XOne,Action-Adventure,Attu Games,Attu Games,,,,,,,2019-05-15
Feudal Alloy,PS4,Action-Adventure,Attu Games,Attu Games,,,,,,,2019-05-14
Figment,PC,Action-Adventure,Bedtime Digital Games,Bedtime Digital Games,,,,,,,2017-09-22
Figment,NS,Action-Adventure,Bedtime Digital Games,Bedtime Digital Games,,,,,,,2018-06-28
Fobia - St. Dinfna Hotel,PC,Action-Adventure,Unknown,Pulsatrix Studios,,,,,,,
Foreclosed,NS,Action-Adventure,Unknown,Antab Studio,,,,,,,
Foreclosed,PC,Action-Adventure,Unknown,Antab Studio,,,,,,,
Foreclosed,PS4,Action-Adventure,Unknown,Antab Studio,,,,,,,
Foreclosed,PS5,Action-Adventure,Unknown,Antab Studio,,,,,,,
Foreclosed,XOne,Action-Adventure,Unknown,Antab Studio,,,,,,,
Foreclosed,XS,Action-Adventure,Unknown,Antab Studio,,,,,,,
Forgotton Anne,PS4,Action-Adventure,Square Enix,ThroughLine Games,,,,,,,2018-05-15
Forspoken,PC,Action-Adventure,Square Enix,Luminous Productions,,,,,,,2022-05-24
Forspoken,PS5,Action-Adventure,Square Enix,Luminous Productions,,,,,,,2022-05-24
Fossil Hunters,PC,Action-Adventure,Unknown,Reptoid Games,,,,,,,
Gato Roboto,PC,Action-Adventure,Devolver Digital,Doinksoft,,,,,,,2019-05-30
Gato Roboto,NS,Action-Adventure,Devolver Digital,Doinksoft,,,,,,,2019-05-30
Genshin Impact,PC,Action-Adventure,miHoYo,miHoYo,,,,,,,2020-09-28
Genshin Impact,PS4,Action-Adventure,miHoYo,miHoYo,,,,,,,2020-09-28
Genshin Impact,NS,Action-Adventure,miHoYo,miHoYo,,,,,,,2020-12-01
Genshin Impact,iOS,Action-Adventure,miHoYo,miHoYo,,,,,,,2020-12-01
Ghost of Tsushima Director's Cut,PS4,Action-Adventure,Sony Interactive Entertainment,Sucker Punch Productions,,,,,,,2021-08-20
Ghost of Tsushima Director's Cut,PS5,Action-Adventure,Sony Interactive Entertainment,Sucker Punch Productions,,,,,,,2021-08-20
Ghostbusters: The Video Game Remastered,XOne,Action-Adventure,Saber Interactive,Mad Dog Games,,,,,,,2019-10-04
Ghostbusters: The Video Game Remastered,PC,Action-Adventure,Saber Interactive,Mad Dog Games,,,,,,,2019-10-04
Ghostbusters: The Video Game Remastered,NS,Action-Adventure,Saber Interactive,Mad Dog Games,,,,,,,2019-10-04
Ghostbusters: The Video Game Remastered,PS4,Action-Adventure,Saber Interactive,Mad Dog Games,,,,,,,2019-10-04
Ghostwire Tokyo,PS5,Action-Adventure,Bethesda Softworks,Tango Gameworks,,,,,,,2021-12-01
Ghostwire Tokyo,PC,Action-Adventure,Bethesda Softworks,Tango Gameworks,,,,,,,2021-12-01
Goosebumps Dead of Night,PS4,Action-Adventure,Unknown,Cosmic Forces,,,,,,,
Goosebumps Dead of Night,XOne,Action-Adventure,Unknown,Cosmic Forces,,,,,,,
Goosebumps Dead of Night,NS,Action-Adventure,Unknown,Cosmic Forces,,,,,,,
Goosebumps Dead of Night,PC,Action-Adventure,Unknown,Cosmic Forces,,,,,,,
Grand Theft Auto V,PS5,Action-Adventure,Rockstar Games,Rockstar Games,,,,,,,2021-12-01
Grand Theft Auto V,XS,Action-Adventure,Rockstar Games,Rockstar Games,,,,,,,2021-12-01
Grand Theft Auto VI,All,Action-Adventure,Unknown,Rockstar Games,,,,,,,
Grand Theft Auto VI,PS5,Action-Adventure,Unknown,Rockstar Games,,,,,,,
Grand Theft Auto VI,XS,Action-Adventure,Unknown,Rockstar Games,,,,,,,
Grand Theft Auto: The Trilogy – The Definitive Edition,All,Action-Adventure,Rockstar Games,Grove Street Games,,,,,,,2021-11-11
Grayland,iOS,Action-Adventure,Unknown,1Der Entertainment,,,,,,,
Grayland,And,Action-Adventure,Unknown,1Der Entertainment,,,,,,,
Grayland,PC,Action-Adventure,1DER Entertainment,1Der Entertainment,,,,,,,2020-01-15
Green Hell VR,PC,Action-Adventure,Unknown,Incuvo,,,,,,,
Grounded,XS,Action-Adventure,Unknown,Obsidian Entertainment,,,,,,,
Grounded,PC,Action-Adventure,Xbox Game Studios,Obsidian Entertainment,,,,,,,2020-07-28
Grounded,XOne,Action-Adventure,Xbox Game Studios,Obsidian Entertainment,,,,,,,2020-07-28
Grow: Song of the Evertree,PS4,Action-Adventure,Unknown,Prideful Sloth,,,,,,,
Grow: Song of the Evertree,XOne,Action-Adventure,Unknown,Prideful Sloth,,,,,,,
Grow: Song of the Evertree,NS,Action-Adventure,Unknown,Prideful Sloth,,,,,,,
Grow: Song of the Evertree,PC,Action-Adventure,Unknown,Prideful Sloth,,,,,,,
Guacamelee! 2,PC,Action-Adventure,Unknown,DrinkBox Studios,,,,,,,
Guacamelee! 2,PS4,Action-Adventure,Unknown,DrinkBox Studios,,,,,,,
Gunbrella,NS,Action-Adventure,Unknown,Doinksoft,,,,,,,
Gunbrella,PC,Action-Adventure,Unknown,Doinksoft,,,,,,,
GYLT,PC,Action-Adventure,Unknown,Tequila Works,,,,,,,
GYLT,PS4,Action-Adventure,Unknown,Tequila Works,,,,,,,
GYLT,PS5,Action-Adventure,Unknown,Tequila Works,,,,,,,
GYLT,XOne,Action-Adventure,Unknown,Tequila Works,,,,,,,
GYLT,XS,Action-Adventure,Unknown,Tequila Works,,,,,,,
Hades,PC,Action-Adventure,Supergiant Games,Supergiant Games,,,,,,,2020-12-01
Hellblade: Senua's Sacrifice,NS,Action-Adventure,Ninja Theory,Ninja Theory,,,,,,,2019-04-11
Hellboy Web of Wyrd,XS,Action-Adventure,Unknown,Upstream Arcade,,,,,,,
Hellboy Web of Wyrd,NS,Action-Adventure,Unknown,Upstream Arcade,,,,,,,
Hellboy Web of Wyrd,PC,Action-Adventure,Unknown,Upstream Arcade,,,,,,,
Hellboy Web of Wyrd,PS4,Action-Adventure,Unknown,Upstream Arcade,,,,,,,
Hellboy Web of Wyrd,PS5,Action-Adventure,Unknown,Upstream Arcade,,,,,,,
Hellboy Web of Wyrd,XOne,Action-Adventure,Unknown,Upstream Arcade,,,,,,,
Hi-Fi RUSH,PC,Action-Adventure,Unknown,Tango Gameworks,,,,,,,
Hi-Fi RUSH,XS,Action-Adventure,Unknown,Tango Gameworks,,,,,,,
Hitman 2,PC,Action-Adventure,Warner Bros. Interactive Entertainment,IO Interactive,,,,,,,2018-11-13
Hitman 3,PS4,Action-Adventure,IO Interactive,IO Interactive,,,,,,,2021-12-01
Hitman 3,XOne,Action-Adventure,IO Interactive,IO Interactive,,,,,,,2021-12-01
Hitman 3,XS,Action-Adventure,IO Interactive,IO Interactive,,,,,,,2021-12-01
Hitman 3,PC,Action-Adventure,IO Interactive,IO Interactive,,,,,,,2021-12-01
Hollow Knight,PS4,Action-Adventure,Team Cherry,Team Cherry,,,,,,,2018-09-25
Hollow Knight: Silksong,PS5,Action-Adventure,Unknown,Team Cherry,,,,,,,
Hollow Knight: Silksong,PC,Action-Adventure,Team Cherry,Team Cherry,,,,,,,2020-12-01
Hollow Knight: Silksong,XS,Action-Adventure,Unknown,Team Cherry,,,,,,,
Hollow Knight: Silksong,NS,Action-Adventure,Team Cherry,Team Cherry,,,,,,,2020-12-01
Hollow Knight: Silksong,PS4,Action-Adventure,Unknown,Team Cherry,,,,,,,
Hood: Outlaws & Legends,XOne,Action-Adventure,Unknown,Sumo Digital,,,,,,,
Hood: Outlaws & Legends,XS,Action-Adventure,Unknown,Sumo Digital,,,,,,,
Hood: Outlaws & Legends,PC,Action-Adventure,Unknown,Sumo Digital,,,,,,,
Hood: Outlaws & Legends,PS4,Action-Adventure,Unknown,Sumo Digital,,,,,,,
Horizon Call of the Mountain,PS5,Action-Adventure,Unknown,Firesprite,,,,,,,
Horizon Forbidden West: Burning Shores,PS5,Action-Adventure,Unknown,Guerrilla Games,,,,,,,
Horizon: Forbidden West,PS4,Action-Adventure,Sony Interactive Entertainment,Guerrilla Games,,,,,,,2022-02-18
Horizon: Forbidden West,PS5,Action-Adventure,Sony Interactive Entertainment,Guerrilla Games,,,,,,,2022-02-18
Horizon: Forbidden West Complete Edition,PC,Action-Adventure,Unknown,Guerrilla Games,,,,,,,
Hyper Light Breaker,PC,Action-Adventure,Unknown,Heart Machine,,,,,,,
Iconoclasts,PS4,Action-Adventure,Bifrost Entertainment,Joakim Sandberg,,,,,,,2018-01-23
Iconoclasts,PSV,Action-Adventure,Bifrost Entertainment,Joakim Sandberg,,,,,,,2018-01-23
Iconoclasts,PC,Action-Adventure,Bifrost Entertainment,Joakim Sandberg,9.5,,,,,,2018-01-23
Immortals Fenyx Rising,PS5,Action-Adventure,Ubisoft,Ubisoft,,,,,,,2020-12-03
Immortals Fenyx Rising,XS,Action-Adventure,Ubisoft,Ubisoft,,,,,,,2020-12-03
In Nightmare,PS4,Action-Adventure,Sony Computer Entertainment,Magicfish Studio,,,,,,,2020-12-01
In Nightmare,PS5,Action-Adventure,Unknown,Magicfish Studio,,,,,,,
Indiana Jones and the Great Circle,PC,Action-Adventure,Unknown,MachineGames,,,,,,,
Indiana Jones and the Great Circle,XS,Action-Adventure,Unknown,MachineGames,,,,,,,
Infernax,NS,Action-Adventure,The Arcade Crew,Berzerk Studio,,,,,,,2022-02-14
Infinite: Beyond The Mind,NS,Action-Adventure,Blowfish Studios,Emilie COYO,,,,,,,2020-05-07
Infinite: Beyond The Mind,PC,Action-Adventure,Blowfish Studios,Emilie COYO,,,,,,,2020-05-07
Infinite: Beyond The Mind,PS4,Action-Adventure,Blowfish Studios,Emilie COYO,,,,,,,2020-05-07
Infinite: Beyond The Mind,XOne,Action-Adventure,Blowfish Studios,Emilie COYO,,,,,,,2020-05-07
Invizimals: Battle of the Hunters,iOS,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2016-01-22
Invizimals: Battle of the Hunters,And,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2016-01-22
Invizimals™ Hidden Challenges,iOS,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2013-07-31
Invizimals™ Hidden Challenges,And,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2013-07-31
Invizimals™: Revolution,iOS,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2015-10-30
Invizimals™: Revolution,And,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2015-10-30
Invizimals™: TV Tracker,And,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2013-12-06
Invizimals™: TV Tracker,iOS,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2013-12-06
It Takes Two,XOne,Action-Adventure,Unknown,Hazelight,,,,,,,
It Takes Two,XS,Action-Adventure,Unknown,Hazelight,,,,,,,
It Takes Two,PC,Action-Adventure,Unknown,Hazelight,,,,,,,
It Takes Two,PS4,Action-Adventure,Unknown,Hazelight,,,,,,,
It Takes Two,PS5,Action-Adventure,Unknown,Hazelight,,,,,,,
Ittle Dew 2,PC,Action-Adventure,Nicalis,Ludosity Interactive,,,,,,,2016-11-15
Ittle Dew 2,XOne,Action-Adventure,Nicalis,Ludosity Interactive,,,,,,,2016-11-15
Ittle Dew 2,PS4,Action-Adventure,Nicalis,Ludosity Interactive,,,,,,,2016-11-15
Just Cause 4,PC,Action-Adventure,Square Enix,Avalanche Studios,,,,,,,2018-12-04
Kena: Bridge of Spirits,PS5,Action-Adventure,Ember Lab,Ember Lab,,,,,,,2021-12-01
Kena: Bridge of Spirits,PC,Action-Adventure,Ember Lab,Ember Lab,,,,,,,2021-12-01
Kena: Bridge of Spirits,PS4,Action-Adventure,Ember Lab,Ember Lab,,,,,,,2021-09-21
Kings of Lorn: The Fall of Ebris,PS4,Action-Adventure,TeamKill Media,TeamKill Media,,,,,,,2019-09-09
Kings of Lorn: The Fall of Ebris,XOne,Action-Adventure,TeamKill Media,TeamKill Media,,,,,,,2019-09-09
Kings of Lorn: The Fall of Ebris,PC,Action-Adventure,TeamKill Media,TeamKill Media,,,,,,,2019-09-09
Knights and Bikes,NS,Action-Adventure,Double Fine Presents,Foam Sword,,,,,,,2020-02-06
Knights and Bikes,PC,Action-Adventure,Double Fine Presents,Foam Sword,,,,,,,2019-08-27
Knights and Bikes,PS4,Action-Adventure,Double Fine Presents,Foam Sword,,,,,,,2019-08-27
Kunai,NS,Action-Adventure,The Arcade Crew,TurtleBlaze,,,,,,,2020-02-06
Kunai,PC,Action-Adventure,The Arcade Crew,TurtleBlaze,,,,,,,2020-02-06
Laika: Aged Through Blood,PC,Action-Adventure,Unknown,Brainwash Gang,,,,,,,
Laika: Aged Through Blood,PS4,Action-Adventure,Unknown,Brainwash Gang,,,,,,,
Laika: Aged Through Blood,PS5,Action-Adventure,Unknown,Brainwash Gang,,,,,,,
Laika: Aged Through Blood,XOne,Action-Adventure,Unknown,Brainwash Gang,,,,,,,
Laika: Aged Through Blood,XS,Action-Adventure,Unknown,Brainwash Gang,,,,,,,
Laika: Aged Through Blood,NS,Action-Adventure,Unknown,Brainwash Gang,,,,,,,
LEGO Batman 2: DC Super Heroes,OSX,Action-Adventure,Feral Interactive,Traveller's Tales,,,,,,,2012-09-06
LEGO Batman 2: DC Super Heroes,And,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,,,,,,2012-06-19
LEGO Batman 2: DC Super Heroes,iOS,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,,,,,,2012-06-19
LEGO DC Super-Villains,PC,Action-Adventure,Unknown,Traveller's Tales,,,,,,,
Lego Fortnite,PC,Action-Adventure,Unknown,Epic Games,,,,,,,
Lego Fortnite,PS4,Action-Adventure,Unknown,Epic Games,,,,,,,
Lego Fortnite,PS5,Action-Adventure,Unknown,Epic Games,,,,,,,
Lego Fortnite,XOne,Action-Adventure,Unknown,Epic Games,,,,,,,
Lego Fortnite,XS,Action-Adventure,Unknown,Epic Games,,,,,,,
Lego Fortnite,NS,Action-Adventure,Unknown,Epic Games,,,,,,,
Lego Jurassic World,NS,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,,,,,,2019-09-17
LEGO Star Wars: The Skywalker Saga,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,,,,,,2021-10-20
LEGO Star Wars: The Skywalker Saga,NS,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,,,,,,2021-10-20
Lego Star Wars: The Skywalker Saga,PS5,Action-Adventure,Unknown,TT Games,,,,,,,
Lego Star Wars: The Skywalker Saga,XS,Action-Adventure,Unknown,TT Games,,,,,,,
LEGO Star Wars: The Skywalker Saga,PC,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,,,,,,2021-10-20
LEGO Star Wars: The Skywalker Saga,XOne,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,,,,,,2021-10-20
Light Fall,PC,Action-Adventure,Unknown,Bishop Games,,,,,,,
Light No Fire,PC,Action-Adventure,Unknown,Hello Games,,,,,,,
Like a Dragon Gaiden: The Man Who Erased His Name,PC,Action-Adventure,Unknown,Sega,,,,,,,
Like a Dragon Gaiden: The Man Who Erased His Name,PS4,Action-Adventure,Unknown,Sega,,,,,,,
Like a Dragon Gaiden: The Man Who Erased His Name,PS5,Action-Adventure,Unknown,Sega,,,,,,,
Like a Dragon Gaiden: The Man Who Erased His Name,XOne,Action-Adventure,Unknown,Sega,,,,,,,
Like a Dragon Gaiden: The Man Who Erased His Name,XS,Action-Adventure,Unknown,Sega,,,,,,,
