"00","Government codes: State government",""
"01","Government codes: county government",""
"02","Government codes: city or township government",""
"04","Government codes: special district government",""
"05","Government codes: independent school district",""
"06","Government codes: State controlled institutions of higher education",""
"11","Nonprofit agencies: Indian tribe",""
"12","Nonprofit agencies: other nonprofit",""
"20","Private: private higher education",""
"21","Private: individual",""
"22","Private: profit organization",""
"23","Private: small business",""
"25","Private: all other",""
