"02","block grant  (A)",""
"03","formula grant  (A)",""
"04","project grant  (B)",""
"05","cooperative agreement  (B)",""
"06","direct payment for specified use, such as a subsidy or other nonreimbursable direct financial aid  (C)",""
"07","direct loan  (E)",""
"08","guaranteed/insured loan  (F)",""
"09","insurance  (G)",""
"10","direct payment with unrestricted use (retirement, pension, veterans benefits, etc.)  (D)",""
"11","other reimbursable, contingent, intangible, or indirect financial assistance",""
