"12C2","DEPT. OF AGRIC. - FOREST SERVICE",""
"7022","DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY",""
"7051","DHS-OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT",""
"7200","USAID-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT",""
"7300","SMALL BUSINESS ADMINISTRATION",""
"7501","HHS-IMMED. OFFICE - SECY OF HEALTH AND HUMAN SERVICES",""
"7522","HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMINISTRATION",""
"7523","HHS-CENTERS FOR DISEASE CONTROL & PREVENTION",""
"7524","HHS-FOOD AND DRUG ADMINISTRATION",""
"7526","HHS-HEALTH RESOURCES AND SERVICES ADMINISTRATION",""
"7527","HHS-INDIAN HEALTH SERVICE",""
"7528","HHS-AGENCY FOR HEALTHCARE RESEARCH & QUALITY",""
"7529","HHS-NATIONAL INSTITUTES OF HEALTH",""
"7530","HHS-CENTERS FOR MEDICARE AND MEDICAID SERVICES",""
"7545","HHS-ADMINISTRATION ON AGING",""
"7590","HHS-ADMINISTRATION FOR CHILREN AND FAMILIES",""
"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",""
"8611","HUD-ASSIST. SECY FOR FAIR HOUSING AND EQUAL OPPORTUNITY",""
"8620","HUD-ASSIST. SECY FOR COMMUNITY PLANNING AND DEVELOPMENT",""
"8630","HUD-ASSIST. SECY FOR HOUSING--FED. HOUSING  COMMISSIONER",""
"8635","HUD-ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING",""
"8645","HUD-ASSISTANT SECRETARY FOR POLICY DEVELOPMENT & RESEARCH",""
"8653","HUD-OFF. OF HEALTHY HOMES & LEAD HAZARD CONTROL",""
"8862","NARA-NAT'L HISTORICAL PUBLICATIONS & RECORDS COMMISSION",""
"8900","ENERGY, DEPARTMENT OF",""
"9100","EDUCATION, DEPARTMENT OF",""
"9101","DOED-IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION",""
"9120","DOED-OFFICE OF VOCATIONAL AND ADULT EDUCATION",""
"9121","DOED-OFFICE OF ENGLISH LANGUAGE ACQUISITION",""
"9124","DOED-OFFICE OF SPECIAL EDUCATION & REHABILITATIVE SERVICES",""
"9126","DOED-REHABILITATION SERVICES ADMINISTRATION",""
"9127","DOED-OFFICE OF SPECIAL EDUCATION PROGRAMS",""
"9129","DOED-FUND FOR THE IMPROVEMENT OF POSTSECONDARY  EDUCATION",""
"9131","DOED-STUDENT FINANCIAL AID",""
"9133","DOED-OFFICE OF HIGHER EDUCATION PROGRAMS",""
"9134","DOED-OFFICE OF POSTSECONDARY EDUCATION",""
"9139","DOED-INSTITUTE OF EDUCATION SCIENCES",""
"9140","DOED-COMPENSATORY EDUCATION PROGRAMS",""
"9142","DOED-MIGRANT EDUCATION PROGRAMS",""
"9144","DOED-IMPACT AID PROGRAMS",""
"9145","DOED-INDIAN EDUCATION PROGRAMS",""
"9146","DOED-OFFICE OF ELEMENTARY AND SECONDARY EDUCATION",""
"9191","DOED-AMERICAN PRINTING HOUSE FOR THE BLIND",""
"9192","DOED-GALLAUDET UNIVERSITY",""
"9193","DOED-HOWARD UNIVERSITY",""
"9194","DOED-NATIONAL TECHNICAL INSTITUTE FOR THE DEAF",""
"9300","FEDERAL MEDIATION AND CONCILIATION SERVICE",""
"9512","JAPAN-U.S. FRIENDSHIP COMMISSION",""
"9547","DELTA REGIONAL AUTHORITY",""
"9577","CORPORATION FOR NATIONAL AND COMMUNITY SERVICE",""
"9580","UNITED STATES INSTITUTE OF PEACE",""
"96CE","ARMY-U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM",""
"9700","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",""
"9763","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY",""
"97AD","DOD-OFFICE OF THE SECRETARY OF DEFENSE",""
"97AE","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY",""
"97CG","DOD-NATIONAL SECURITY AGENCY/CENTRAL SECURITY SERVICE",""
