"X12C2","DEPT..OF.AGRIC....FOREST.SERVICE","X"
"7527","HHS-INDIAN HEALTH SERVICE",NA
"7528","HHS-AGENCY FOR HEALTHCARE RESEARCH & QUALITY",NA
"7529","HHS-NATIONAL INSTITUTES OF HEALTH",NA
"7530","HHS-CENTERS FOR MEDICARE AND MEDICAID SERVICES",NA
"7545","HHS-ADMINISTRATION ON AGING",NA
"7590","HHS-ADMINISTRATION FOR CHILREN AND FAMILIES",NA
"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",NA
"8611","HUD-ASSIST. SECY FOR FAIR HOUSING AND EQUAL OPPORTUNITY",NA
"8620","HUD-ASSIST. SECY FOR COMMUNITY PLANNING AND DEVELOPMENT",NA
"8630","HUD-ASSIST. SECY FOR HOUSING--FED. HOUSING  COMMISSIONER",NA
"8635","HUD-ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING",NA
"8645","HUD-ASSISTANT SECRETARY FOR POLICY DEVELOPMENT & RESEARCH",NA
"8653","HUD-OFF. OF HEALTHY HOMES & LEAD HAZARD CONTROL",NA
"8862","NARA-NAT'L HISTORICAL PUBLICATIONS & RECORDS COMMISSION",NA
"8900","ENERGY, DEPARTMENT OF",NA
"9100","EDUCATION, DEPARTMENT OF",NA
"9101","DOED-IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION",NA
"9120","DOED-OFFICE OF VOCATIONAL AND ADULT EDUCATION",NA
"9121","DOED-OFFICE OF ENGLISH LANGUAGE ACQUISITION",NA
"9124","DOED-OFFICE OF SPECIAL EDUCATION & REHABILITATIVE SERVICES",NA
"9126","DOED-REHABILITATION SERVICES ADMINISTRATION",NA
"9127","DOED-OFFICE OF SPECIAL EDUCATION PROGRAMS",NA
"9129","DOED-FUND FOR THE IMPROVEMENT OF POSTSECONDARY  EDUCATION",NA
"9131","DOED-STUDENT FINANCIAL AID",NA
"9133","DOED-OFFICE OF HIGHER EDUCATION PROGRAMS",NA
"9134","DOED-OFFICE OF POSTSECONDARY EDUCATION",NA
"9139","DOED-INSTITUTE OF EDUCATION SCIENCES",NA
"9140","DOED-COMPENSATORY EDUCATION PROGRAMS",NA
"9142","DOED-MIGRANT EDUCATION PROGRAMS",NA
"9144","DOED-IMPACT AID PROGRAMS",NA
"9145","DOED-INDIAN EDUCATION PROGRAMS",NA
"9146","DOED-OFFICE OF ELEMENTARY AND SECONDARY EDUCATION",NA
"9191","DOED-AMERICAN PRINTING HOUSE FOR THE BLIND",NA
"9192","DOED-GALLAUDET UNIVERSITY",NA
"9193","DOED-HOWARD UNIVERSITY",NA
"9194","DOED-NATIONAL TECHNICAL INSTITUTE FOR THE DEAF",NA
"9300","FEDERAL MEDIATION AND CONCILIATION SERVICE",NA
"9512","JAPAN-U.S. FRIENDSHIP COMMISSION",NA
"9547","DELTA REGIONAL AUTHORITY",NA
"9577","CORPORATION FOR NATIONAL AND COMMUNITY SERVICE",NA
"9580","UNITED STATES INSTITUTE OF PEACE",NA
"96CE","ARMY-U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM",NA
"9700","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",NA
"9763","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY",NA
"97AD","DOD-OFFICE OF THE SECRETARY OF DEFENSE",NA
"97AE","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY",NA
"97CG","DOD-NATIONAL SECURITY AGENCY/CENTRAL SECURITY SERVICE",NA
