category,production,type,title,distributor,producer,year
Outstanding Documentary Or Nonfiction Special - 2019,"Erin Edeiken, Produced by",Nominee,The Inventor: Out For Blood In Silicon Valley,HBO,HBO Documentary Films and Jigsaw Productions,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Jessie Deeter, Produced by",Nominee,The Inventor: Out For Blood In Silicon Valley,HBO,HBO Documentary Films and Jigsaw Productions,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Nancy Abraham, Executive Producer",Nominee,The Inventor: Out For Blood In Silicon Valley,HBO,HBO Documentary Films and Jigsaw Productions,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Sara Bernstein, Executive Producer",Nominee,The Inventor: Out For Blood In Silicon Valley,HBO,HBO Documentary Films and Jigsaw Productions,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Graydon Carter, Executive Producer",Nominee,The Inventor: Out For Blood In Silicon Valley,HBO,HBO Documentary Films and Jigsaw Productions,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Stacey Offman, Co-Executive Producer",Nominee,The Inventor: Out For Blood In Silicon Valley,HBO,HBO Documentary Films and Jigsaw Productions,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Susan Lacy, Produced by",Nominee,Jane Fonda In Five Acts,HBO,HBO Documentary Films in association with Pentimento,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Jessica Levin, Produced by",Nominee,Jane Fonda In Five Acts,HBO,HBO Documentary Films in association with Pentimento,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Emma Pildes, Produced by",Nominee,Jane Fonda In Five Acts,HBO,HBO Documentary Films in association with Pentimento,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Dan Reed, Produced by",Winner,Leaving Neverland,HBO,HBO Documentary Films in association with Channel 4 and Amos Pictures,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Nancy Abraham, Executive Producer",Winner,Leaving Neverland,HBO,HBO Documentary Films in association with Channel 4 and Amos Pictures,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Lisa Heller, Executive Producer",Winner,Leaving Neverland,HBO,HBO Documentary Films in association with Channel 4 and Amos Pictures,2019
Outstanding Documentary Or Nonfiction Special - 2019,"Lisa D'Apolito, Produced by",Nominee,"Love, Gilda",CNN,"CNN Films, 3 Faces Films, Motto Pictures",2019
Outstanding Documentary Or Nonfiction Special - 2019,"James Tumminia, Produced by",Nominee,"Love, Gilda",CNN,"CNN Films, 3 Faces Films, Motto Pictures",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Bronwyn Berry, Produced by",Nominee,"Love, Gilda",CNN,"CNN Films, 3 Faces Films, Motto Pictures",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Meryl Goldsmith, Produced by",Nominee,"Love, Gilda",CNN,"CNN Films, 3 Faces Films, Motto Pictures",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Alan Zweibel, Executive Producer",Nominee,"Love, Gilda",CNN,"CNN Films, 3 Faces Films, Motto Pictures",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Amy Entelis, Executive Producer",Nominee,"Love, Gilda",CNN,"CNN Films, 3 Faces Films, Motto Pictures",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Courtney Sexton, Executive Producer",Nominee,"Love, Gilda",CNN,"CNN Films, 3 Faces Films, Motto Pictures",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Diane Quon, Produced by",Nominee,Minding The Gap,Hulu,"Kartemquin, American Documentary | POV and ITVS",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Bing Liu, Produced by",Nominee,Minding The Gap,Hulu,"Kartemquin, American Documentary | POV and ITVS",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Gordon Quinn, Executive Producer",Nominee,Minding The Gap,Hulu,"Kartemquin, American Documentary | POV and ITVS",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Steve James, Executive Producer",Nominee,Minding The Gap,Hulu,"Kartemquin, American Documentary | POV and ITVS",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Sally Jo Fifer, Executive Producer",Nominee,Minding The Gap,Hulu,"Kartemquin, American Documentary | POV and ITVS",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Justine Nagan, Executive Producer",Nominee,Minding The Gap,Hulu,"Kartemquin, American Documentary | POV and ITVS",2019
Outstanding Documentary Or Nonfiction Special - 2019,"Chris White, Executive Producer",Nominee,Minding The Gap,Hulu,"Kartemquin, American Documentary | POV and ITVS",2019
Outstanding Documentary Or Nonfiction Series - 2019,"Michael Kantor, Producer/Executive Producer",Nominee,American Masters,PBS,"Thirteen Productions, LLC",2019
Outstanding Documentary Or Nonfiction Series - 2019,"Sally Rosenthal, Producer",Nominee,American Masters,PBS,"Thirteen Productions, LLC",2019
Outstanding Documentary Or Nonfiction Series - 2019,"Julie Sacks, Series Producer",Nominee,American Masters,PBS,"Thirteen Productions, LLC",2019
Outstanding Documentary Or Nonfiction Series - 2019,"Junko Tsunashima, Supervising Producer",Nominee,American Masters,PBS,"Thirteen Productions, LLC",2019
Outstanding Documentary Or Nonfiction Series - 2019,"Matthew Weaver, Executive Producer",Nominee,Chef's Table,Netflix,Boardwalk Pictures,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Brian McGinn, Executive Producer",Nominee,Chef's Table,Netflix,Boardwalk Pictures,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Andrew Fried, Executive Producer",Nominee,Chef's Table,Netflix,Boardwalk Pictures,2019
Outstanding Documentary Or Nonfiction Series - 2019,"David Gelb, Executive Producer",Nominee,Chef's Table,Netflix,Boardwalk Pictures,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Dane Lillegard, Co-Executive Producer",Nominee,Chef's Table,Netflix,Boardwalk Pictures,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Guillermo Navarro, Executive Producer",Nominee,Hostile Planet,National Geographic,Plimsoll Productions,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Martha Holmes, Executive Producer",Nominee,Hostile Planet,National Geographic,Plimsoll Productions,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Grant Mansfield, Executive Producer",Nominee,Hostile Planet,National Geographic,Plimsoll Productions,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Bear Grylls, Executive Producer",Nominee,Hostile Planet,National Geographic,Plimsoll Productions,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Kevin Tao Mohs, Executive Producer",Nominee,Hostile Planet,National Geographic,Plimsoll Productions,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Tim Pastore, Executive Producer",Nominee,Hostile Planet,National Geographic,Plimsoll Productions,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Tom Hugh-Jones, Series Producer",Nominee,Hostile Planet,National Geographic,Plimsoll Productions,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Sophie Lanfear, Produced by",Winner,Our Planet,Netflix,Silverback Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Alastair Fothergill, Series Producer",Winner,Our Planet,Netflix,Silverback Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Keith Scholey, Series Producer",Winner,Our Planet,Netflix,Silverback Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Philip Aromando, Produced by",Nominee,30 For 30,ESPN,ESPN Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Connor Schell, Executive Producer",Nominee,30 For 30,ESPN,ESPN Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"John Dahl, Executive Producer",Nominee,30 For 30,ESPN,ESPN Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Libby Geist, Executive Producer",Nominee,30 For 30,ESPN,ESPN Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Rob King, Executive Producer",Nominee,30 For 30,ESPN,ESPN Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Jonathan Hock, Executive Producer",Nominee,30 For 30,ESPN,ESPN Films,2019
Outstanding Documentary Or Nonfiction Series - 2019,"Erin Leyden, Senior Producer",Nominee,30 For 30,ESPN,ESPN Films,2019
Outstanding Informational Series Or Special - 2019,"Anthony Bourdain, Executive Producer",Winner,Anthony Bourdain Parts Unknown,CNN,"CNN Original Series, Zero Point Zero Production, Inc.",2019
Outstanding Informational Series Or Special - 2019,"Christopher Collins, Executive Producer",Winner,Anthony Bourdain Parts Unknown,CNN,"CNN Original Series, Zero Point Zero Production, Inc.",2019
Outstanding Informational Series Or Special - 2019,"Lydia Tenaglia, Executive Producer",Winner,Anthony Bourdain Parts Unknown,CNN,"CNN Original Series, Zero Point Zero Production, Inc.",2019
Outstanding Informational Series Or Special - 2019,"Sandra Zweig, Executive Producer",Winner,Anthony Bourdain Parts Unknown,CNN,"CNN Original Series, Zero Point Zero Production, Inc.",2019
Outstanding Informational Series Or Special - 2019,"Jared Andrukanis, Co-Executive Producer",Winner,Anthony Bourdain Parts Unknown,CNN,"CNN Original Series, Zero Point Zero Production, Inc.",2019
Outstanding Informational Series Or Special - 2019,"Michael Steed, Producer",Winner,Anthony Bourdain Parts Unknown,CNN,"CNN Original Series, Zero Point Zero Production, Inc.",2019
Outstanding Informational Series Or Special - 2019,"Jonathan Cianfrani, Producer",Winner,Anthony Bourdain Parts Unknown,CNN,"CNN Original Series, Zero Point Zero Production, Inc.",2019
Outstanding Informational Series Or Special - 2019,"Jerry Seinfeld, Executive Producer",Nominee,Comedians In Cars Getting Coffee,Netflix,Embassy Row,2019
Outstanding Informational Series Or Special - 2019,"George Shapiro, Executive Producer",Nominee,Comedians In Cars Getting Coffee,Netflix,Embassy Row,2019
Outstanding Informational Series Or Special - 2019,"Tammy Johnston, Executive Producer",Nominee,Comedians In Cars Getting Coffee,Netflix,Embassy Row,2019
Outstanding Informational Series Or Special - 2019,"Melissa Miller, Producer",Nominee,Comedians In Cars Getting Coffee,Netflix,Embassy Row,2019
Outstanding Informational Series Or Special - 2019,"Leah Remini, Executive Producer",Nominee,Leah Remini: Scientology And The Aftermath,A&E,The Intellectual Property Corporation in association with No Seriously Productions,2019
Outstanding Informational Series Or Special - 2019,"Eli Holzman, Executive Producer",Nominee,Leah Remini: Scientology And The Aftermath,A&E,The Intellectual Property Corporation in association with No Seriously Productions,2019
Outstanding Informational Series Or Special - 2019,"Aaron Saidman, Executive Producer",Nominee,Leah Remini: Scientology And The Aftermath,A&E,The Intellectual Property Corporation in association with No Seriously Productions,2019
Outstanding Informational Series Or Special - 2019,"Myles Reiff, Executive Producer",Nominee,Leah Remini: Scientology And The Aftermath,A&E,The Intellectual Property Corporation in association with No Seriously Productions,2019
Outstanding Informational Series Or Special - 2019,"Mike Rinder, Co-Executive Producer",Nominee,Leah Remini: Scientology And The Aftermath,A&E,The Intellectual Property Corporation in association with No Seriously Productions,2019
Outstanding Informational Series Or Special - 2019,"Meaghan Rady, Co-Executive Producer",Nominee,Leah Remini: Scientology And The Aftermath,A&E,The Intellectual Property Corporation in association with No Seriously Productions,2019
Outstanding Informational Series Or Special - 2019,"Kai Bowe, Co-Executive Producer",Nominee,Leah Remini: Scientology And The Aftermath,A&E,The Intellectual Property Corporation in association with No Seriously Productions,2019
Outstanding Informational Series Or Special - 2019,"Chris Cechin-De La Rosa, Executive Producer",Nominee,My Next Guest Needs No Introduction With David Letterman,Netflix,"Zero Point Zero Production, Inc. and Worldwide Pants",2019
Outstanding Informational Series Or Special - 2019,"Lydia Tenaglia, Executive Producer",Nominee,My Next Guest Needs No Introduction With David Letterman,Netflix,"Zero Point Zero Production, Inc. and Worldwide Pants",2019
Outstanding Informational Series Or Special - 2019,"Tom Keaney, Executive Producer",Nominee,My Next Guest Needs No Introduction With David Letterman,Netflix,"Zero Point Zero Production, Inc. and Worldwide Pants",2019
Outstanding Informational Series Or Special - 2019,"Sandra Zweig, Executive Producer",Nominee,My Next Guest Needs No Introduction With David Letterman,Netflix,"Zero Point Zero Production, Inc. and Worldwide Pants",2019
Outstanding Informational Series Or Special - 2019,"Mary Barclay, Executive Producer",Nominee,My Next Guest Needs No Introduction With David Letterman,Netflix,"Zero Point Zero Production, Inc. and Worldwide Pants",2019
Outstanding Informational Series Or Special - 2019,"Michael Steed, Producer",Nominee,My Next Guest Needs No Introduction With David Letterman,Netflix,"Zero Point Zero Production, Inc. and Worldwide Pants",2019
Outstanding Informational Series Or Special - 2019,"Helen Cho, Producer",Nominee,My Next Guest Needs No Introduction With David Letterman,Netflix,"Zero Point Zero Production, Inc. and Worldwide Pants",2019
Outstanding Informational Series Or Special - 2019,"Joel Karsberg, Executive Producer",Nominee,Surviving R. Kelly,Lifetime,Kreativ Inc.,2019
Outstanding Informational Series Or Special - 2019,"Dream Hampton, Executive Producer",Nominee,Surviving R. Kelly,Lifetime,Kreativ Inc.,2019
Outstanding Informational Series Or Special - 2019,"Tamra Simmons, Executive Producer",Nominee,Surviving R. Kelly,Lifetime,Kreativ Inc.,2019
Outstanding Informational Series Or Special - 2019,"Jesse Daniels, Executive Producer",Nominee,Surviving R. Kelly,Lifetime,Kreativ Inc.,2019
Outstanding Informational Series Or Special - 2019,"Brie Miranda Bryant, Executive Producer",Nominee,Surviving R. Kelly,Lifetime,Kreativ Inc.,2019
Outstanding Informational Series Or Special - 2019,"Jessica Everleth, Co-Executive Producer",Nominee,Surviving R. Kelly,Lifetime,Kreativ Inc.,2019
Outstanding Informational Series Or Special - 2019,"Maria Pepin, Co-Executive Producer",Nominee,Surviving R. Kelly,Lifetime,Kreativ Inc.,2019
Exceptional Merit In Documentary Filmmaking - 2019,"Alexis Bloom, Produced by",Nominee,Divide And Conquer: The Story Of Roger Ailes,A&E,A Jigsaw Production in association with Baird Films,2019
Exceptional Merit In Documentary Filmmaking - 2019,"Will Cohen, Produced by",Nominee,Divide And Conquer: The Story Of Roger Ailes,A&E,A Jigsaw Production in association with Baird Films,2019
Exceptional Merit In Documentary Filmmaking - 2019,"Molly Thompson, Executive Producer",Nominee,Divide And Conquer: The Story Of Roger Ailes,A&E,A Jigsaw Production in association with Baird Films,2019
Exceptional Merit In Documentary Filmmaking - 2019,"Alex Gibney, Executive Producer",Nominee,Divide And Conquer: The Story Of Roger Ailes,A&E,A Jigsaw Production in association with Baird Films,2019
Exceptional Merit In Documentary Filmmaking - 2019,"RaMell Ross, Produced by",Nominee,"Hale County This Morning, This Evening",PBS,"Idiom Film, LLC and Louverture Films in association with Field of Vision",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Joslyn Barnes, Produced by",Nominee,"Hale County This Morning, This Evening",PBS,"Idiom Film, LLC and Louverture Films in association with Field of Vision",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Su Kim, Produced by",Nominee,"Hale County This Morning, This Evening",PBS,"Idiom Film, LLC and Louverture Films in association with Field of Vision",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Lois Vossen, Executive Producer",Nominee,"Hale County This Morning, This Evening",PBS,"Idiom Film, LLC and Louverture Films in association with Field of Vision",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Julie Cohen, Produced by",Winner,RBG,CNN,"CNN Films, Storyville Films",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Betsy West, Produced by",Winner,RBG,CNN,"CNN Films, Storyville Films",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Amy Entelis, Executive Producer",Winner,RBG,CNN,"CNN Films, Storyville Films",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Courtney Sexton, Executive Producer",Winner,RBG,CNN,"CNN Films, Storyville Films",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Sam Bisbee, Produced by",Winner,The Sentence,HBO,HBO Documentary Films in association with Park Pictures,2019
Exceptional Merit In Documentary Filmmaking - 2019,"Jackie Kelman Bisbee, Produced by",Winner,The Sentence,HBO,HBO Documentary Films in association with Park Pictures,2019
Exceptional Merit In Documentary Filmmaking - 2019,"Rudy Valdez, Executive Producer",Winner,The Sentence,HBO,HBO Documentary Films in association with Park Pictures,2019
Exceptional Merit In Documentary Filmmaking - 2019,"Theodora Dunlap, Executive Producer",Winner,The Sentence,HBO,HBO Documentary Films in association with Park Pictures,2019
Exceptional Merit In Documentary Filmmaking - 2019,"Becky Read, Produced by",Nominee,Three Identical Strangers,CNN,"CNN Films, RAW in association with Channel 4",2019
Exceptional Merit In Documentary Filmmaking - 2019,"Grace Hughes-Hallett, Producer",Nominee,Three Identical Strangers,CNN,"CNN Films, RAW in association with Channel 4",2019
Outstanding Structured Reality Program - 2019,"Marsha Bemko, Executive Producer",Nominee,Antiques Roadshow,PBS,WGBH Educational Foundation,2019
Outstanding Structured Reality Program - 2019,"Sam Farrell, Senior Producer",Nominee,Antiques Roadshow,PBS,WGBH Educational Foundation,2019
Outstanding Structured Reality Program - 2019,"Sarah K. Elliott, Producer",Nominee,Antiques Roadshow,PBS,WGBH Educational Foundation,2019
Outstanding Structured Reality Program - 2019,"Guy Fieri, Executive Producer",Nominee,"Diners, Drive-Ins And Dives",Food Network,Citizen Pictures,2019
Outstanding Structured Reality Program - 2019,"Frank Matson, Executive Producer",Nominee,"Diners, Drive-Ins And Dives",Food Network,Citizen Pictures,2019
Outstanding Structured Reality Program - 2019,"Tim McOsker, Executive Producer",Nominee,"Diners, Drive-Ins And Dives",Food Network,Citizen Pictures,2019
Outstanding Structured Reality Program - 2019,"Jen Darrow, Executive Producer",Nominee,"Diners, Drive-Ins And Dives",Food Network,Citizen Pictures,2019
Outstanding Structured Reality Program - 2019,"David Collins, Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"Michael Williams, Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"Rob Eric, Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"Jennifer Lane, Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"Jordana Hochman, Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"David George, Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"Adam Sher, Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"David Eilenberg, Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"Rachelle Mendez, Co-Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"Mark Bracero, Co-Executive Producer",Winner,Queer Eye,Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",2019
Outstanding Structured Reality Program - 2019,"Mark Burnett, Executive Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Clay Newbill, Executive Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Yun Lingner, Executive Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Max Swedlow, Executive Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Phil Gurin, Executive Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Brandon Wallace, Co-Executive Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Becky Blitz, Supervising Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Laura Roush, Senior Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Heather Dreiling, Senior Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Sami Aziz, Senior Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Shaun Polakow, Senior Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Alan Kirk, Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Christina Reynolds, Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Nicole Edholm, Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Shawn Aly, Producer",Nominee,Shark Tank,ABC,MGM Television in association with Sony Pictures Television,2019
Outstanding Structured Reality Program - 2019,"Gail Berman, Executive Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Joe Earley, Executive Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Marie Kondo, Executive Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Takumi Kawahara, Executive Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Hend Baghdady, Executive Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Bianca Barnes-Williams, Executive Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Heather Crowe, Co-Executive Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Scott Mlodzinski, Co-Executive Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Ian Samplin, Supervising Producer",Nominee,Tidying Up With Marie Kondo,Netflix,A Netflix Original Production,2019
Outstanding Structured Reality Program - 2019,"Pam Healey, Executive Producer",Nominee,Who Do You Think You Are?,TLC,Shed Media in association with Is Or Isn't Entertainment,2019
Outstanding Structured Reality Program - 2019,"Lisa Kudrow, Executive Producer",Nominee,Who Do You Think You Are?,TLC,Shed Media in association with Is Or Isn't Entertainment,2019
Outstanding Structured Reality Program - 2019,"Dan Bucatinsky, Executive Producer",Nominee,Who Do You Think You Are?,TLC,Shed Media in association with Is Or Isn't Entertainment,2019
Outstanding Structured Reality Program - 2019,"Stephanie Schwam, Executive Producer",Nominee,Who Do You Think You Are?,TLC,Shed Media in association with Is Or Isn't Entertainment,2019
Outstanding Structured Reality Program - 2019,"Anna Pousho, Co-Executive Producer",Nominee,Who Do You Think You Are?,TLC,Shed Media in association with Is Or Isn't Entertainment,2019
Outstanding Structured Reality Program - 2019,"Aleta Rozanski, Co-Executive Producer",Nominee,Who Do You Think You Are?,TLC,Shed Media in association with Is Or Isn't Entertainment,2019
Outstanding Structured Reality Program - 2019,"Justin Robertson, Supervising Producer",Nominee,Who Do You Think You Are?,TLC,Shed Media in association with Is Or Isn't Entertainment,2019
Outstanding Structured Reality Program - 2019,"Annie Powers, Producer",Nominee,Who Do You Think You Are?,TLC,Shed Media in association with Is Or Isn't Entertainment,2019
Outstanding Unstructured Reality Program - 2019,"Gil Goldschein, Executive Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"Jonathan Murray, Executive Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"Elaine Bryant, Executive Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"Shelly Tatro, Executive Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"Laura Korkoian, Executive Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"Kasey Barrett, Co-Executive Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"Millee Taggart-Ratcliffe, Co-Executive Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"William Jarrod Burt, Supervising Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"Jacob Lane, Supervising Producer",Nominee,Born This Way,A&E,Bunim/Murray Productions,2019
Outstanding Unstructured Reality Program - 2019,"Jeff Hasler, Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Brian Lovett, Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Ernest Avila, Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"R. Decker Watson Jr., Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Arom Starr-Paul, Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Thom Beers, Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Joseph Boyle, Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Bill Howard, Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Geoff Miller, Co-Executive Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Rob Butler, Supervising Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Will Gatlin, Supervising Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Adam Flacks, Series Producer",Nominee,Deadliest Catch,Discovery Channel,"Original Productions, LLC",2019
Outstanding Unstructured Reality Program - 2019,"Travis Shakespeare, Executive Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
Outstanding Unstructured Reality Program - 2019,"Joseph Litzinger, Executive Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
Outstanding Unstructured Reality Program - 2019,"Kevin Tao Mohs, Executive Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
Outstanding Unstructured Reality Program - 2019,"Nicholas Bunker, Supervising Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
Outstanding Unstructured Reality Program - 2019,"Scott A. Sandman, Supervising Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
Outstanding Unstructured Reality Program - 2019,"Crofton Diack, Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
Outstanding Unstructured Reality Program - 2019,"Daniel Espy, Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
Outstanding Unstructured Reality Program - 2019,"Chris Multop, Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
Outstanding Unstructured Reality Program - 2019,"Rob Pollard, Producer",Nominee,Life Below Zero,National Geographic,BBC Studios,2019
