"CFDA PROGRAM NUMBER","STATE APPLICATION IDENTIFIER (SAI NUMBER)","RECIPIENT NAME","RECIPIENT CITY CODE","RECIPIENT CITY NAME","RECIPIENT COUNTY CODE","RECIPIENT COUNTY NAME","RECIPIENT STATE CODE","RECIPIENT ZIP CODE","TYPE OF RECIPIENT","TYPE OF ACTION","RECIPIENT CONGRESSIONAL DISTRICT","FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE","FEDERAL AWARD IDENTIFIER NUMBER","FEDERAL FUNDING SIGN","FEDERAL FUNDING AMOUNT","NON-FEDERAL FUNDING SIGN","NON-FEDERAL FUNDING AMOUNT","TOTAL FUNDING SIGN","TOTAL FUNDING AMOUNT","OBLIGATION ACTION DATE","STARTING DATE","ENDING DATE","TYPE OF ASSISTANCE TRANSACTION","RECORD TYPE","CORRECTION/LATE INDICATOR ","FISCAL YEAR AND QUARTER CORRECTION","PRINCIPAL PLACE OF PERFORMANCE CODE","PRINCIPAL PLACE OF PERFORMANCE: STATE","PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY","CFDA PROGRAM TITLE","FEDERAL AGENCY NAME","STATE NAME FOR RECIPIENT","PROJECT DESCRIPTION"
"12.607","SAI NOT AVAILABLE","OFFICE OF THE GOVERNOR","72368","TEXARKANA","037","BOWIE COUNTY","TEXAS","755709554","Government codes: special district government","new assistance action","01","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010016","","685992","","0","","685992","12/23/2009","10/01/2009","09/30/2010","project grant  (B)","action-by-action reporting","","","4872368","TEXAS","TEXARKANA","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","TEXAS","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE ADVERSE IMPACT OF THE SEPTEMBER 2005 DEFENSE B"
"12.607","SAI NOT AVAILABLE","PRINCE WILLIAM, COUNTY OF","99009","AMHERST COUNTY","009","AMHERST COUNTY","VIRGINIA","221929201","Government codes: county government","new assistance action","06","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010021","","83207","","0","","83207","12/23/2009","01/01/2010","12/31/2010","project grant  (B)","action-by-action reporting","","","5199009","VIRGINIA","AMHERST COUNTY","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","VIRGINIA","BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN DIRECT RESPONSE TO THE COMBINED IMPACTS FROM"
"12.607","SAI NOT AVAILABLE","ARLINGTON ECONOMIC DEVELOPMENT","16000","CHESAPEAKE","550","CHESAPEAKE","VIRGINIA","222014798","Government codes: county government","new assistance action","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010020","","274322","","0","","274322","12/23/2009","11/01/2009","10/31/2010","project grant  (B)","action-by-action reporting","","","5116000","VIRGINIA","CHESAPEAKE","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","VIRGINIA","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE ADVERSE IMPACT OF THE SEPTEMBER 2005 DEFENSE B"
"12.607","SAI NOT AVAILABLE","NORTHERN VIRGINIA REGIONAL COM","29008","FORT BELVOIR","059","FAIRFAX COUNTY","VIRGINIA","220314648","Private: all other","new assistance action","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010014","","175500","","0","","175500","12/17/2009","12/01/2009","11/30/2010","project grant  (B)","action-by-action reporting","","","5129008","VIRGINIA","FORT BELVOIR","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","VIRGINIA","BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN DIRECT RESPONSE TO THE COMBINED IMPACTS IN N"
"12.607","SAI NOT AVAILABLE","PRINCE WILLIAM, COUNTY OF","99153","PRINCE WILLIAM COUNTY","153","PRINCE WILLIAM COUNTY","VIRGINIA","221929201","Government codes: county government","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010006   0002","","24957","","0","","24957","11/09/2009","10/01/2007","12/31/2009","project grant  (B)","action-by-action reporting","","","5199153","VIRGINIA","PRINCE WILLIAM COUNTY","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","VIRGINIA","BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN DIRECT RESPONSE TO THE COMBINED IMPACTS FROM"
"12.610","SAI NOT AVAILABLE","COUNTY OF CURRY","10750","CANNON AFB","009","CURRY COUNTY","NEW MEXICO","881016664","Government codes: county government","revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding)","03","DOD-OFFICE OF THE SECRETARY OF DEFENSE","OEA9900910050   0000","","2350","","0","","2350","10/15/2009","04/01/2009","10/31/2010","project grant  (B)","action-by-action reporting","","","3510750","NEW MEXICO","CANNON AFB","COMMUNITY ECONOMIC ADJUSTMENT PLANNING ASSISTANCE FOR JOINT LAND USE STUDI","DOD-OFFICE OF THE SECRETARY OF DEFENSE","NEW MEXICO","ENCROACHMENT (EN) TO PROVIDE TECHNICAL AND FINANCIAL ASSISTANCE TO CANNON AIR FORCE BASE (AFB), CURRY COUNTY, ROOSEVELT COUNTY, CITY OF CLOVIS, CITY"
"12.750","SAI NOT AVAILABLE","HENRY M JACKSON FOUNDATION FOR","07125","BETHESDA","031","MONTGOMERY COUNTY","MARYLAND","208521402","Government codes: State controlled institutions of higher education","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HU00010720007   06","","400000","","0","","400000","12/22/2009","07/01/2007","08/31/2010","cooperative agreement  (B)","action-by-action reporting","","","2407125","MARYLAND","BETHESDA","DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","BLAST SPINAL CORD INJURY PROGRAM BSCIP"
"12.750","SAI NOT AVAILABLE","HENRY M JACKSON FOUNDATION FOR","07125","BETHESDA","031","MONTGOMERY COUNTY","MARYLAND","208521402","Government codes: State controlled institutions of higher education","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HU00010720007","","400000","","0","","400000","12/22/2009","07/01/2007","08/31/2010","cooperative agreement  (B)","action-by-action reporting","","","2407125","MARYLAND","BETHESDA","DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","BLAST SPINAL CORD INJURY PROGRAM BSCIP"
"12.750","SAI NOT AVAILABLE","HENRY M JACKSON FOUNDATION FOR","07125","BETHESDA","031","MONTGOMERY COUNTY","MARYLAND","208521402","Government codes: State controlled institutions of higher education","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HU00010610004   08","","346500","","0","","346500","10/05/2009","03/01/2006","09/30/2010","project grant  (B)","action-by-action reporting","","","2407125","MARYLAND","BETHESDA","DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","DEVELOPMENT OF A MULTI-STAGE MULTI-ANTIGEN VACCINE AGAINST MALARIA"
"12.800","SAI NOT AVAILABLE","VANDERBILT UNIVERSITY, THE","52004","NASHVILLE-DAVIDSON","037","DAVIDSON COUNTY","TENNESSEE","372032416","Private: private higher education","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)","FA87500810025   0003","","93422","","0","","93422","10/29/2009","01/01/2008","12/31/2010","project grant  (B)","action-by-action reporting","","","4752004","TENNESSEE","NASHVILLE-DAVIDSON","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)","TENNESSEE","SYSTEM EXECUTION MODELING TECHNOLOGIES FOR LARGE-SCALE NET-CENTRIC DOD SYSTEMS"
"20.205","SAI EXEMPT","STATE OF WISCONSIN","48000","MADISON","025","DANE COUNTY","WISCONSIN","537070000","Government codes: State government","revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding)","02","DOT-FEDERAL HIGHWAY ADMINISTRATION","H55L202007538   2","-","58995","-","14748","-","73743","10/09/2009","10/09/2009","12/31/2009","formula grant  (A)","action-by-action reporting","","","55**025","WISCONSIN","DANE COUNTY","HIGHWAY PLANNING AND CONSTRUCTION","DOT-FEDERAL HIGHWAY ADMINISTRATION","WISCONSIN","STH 33 STH 73 - FOX LAKE ROAD, TWN FOX LAKE IN DOD"
