"CFDA PROGRAM NUMBER","STATE APPLICATION IDENTIFIER (SAI NUMBER)","RECIPIENT NAME","RECIPIENT CITY CODE","RECIPIENT CITY NAME","RECIPIENT COUNTY CODE","RECIPIENT COUNTY NAME","RECIPIENT STATE CODE","RECIPIENT ZIP CODE","TYPE OF RECIPIENT","TYPE OF ACTION","RECIPIENT CONGRESSIONAL DISTRICT","FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE","FEDERAL AWARD IDENTIFIER NUMBER","FEDERAL FUNDING SIGN","FEDERAL FUNDING AMOUNT","NON-FEDERAL FUNDING SIGN","NON-FEDERAL FUNDING AMOUNT","TOTAL FUNDING SIGN","TOTAL FUNDING AMOUNT","OBLIGATION ACTION DATE","STARTING DATE","ENDING DATE","TYPE OF ASSISTANCE TRANSACTION","RECORD TYPE","CORRECTION/LATE INDICATOR ","FISCAL YEAR AND QUARTER CORRECTION","PRINCIPAL PLACE OF PERFORMANCE CODE","PRINCIPAL PLACE OF PERFORMANCE: STATE","PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY","CFDA PROGRAM TITLE","FEDERAL AGENCY NAME","STATE NAME FOR RECIPIENT","PROJECT DESCRIPTION"
"12.800","SAI NOT AVAILABLE","GORDON RESEARCH CONFERENCES IN","78080","WEST KINGSTON","009","WASHINGTON COUNTY","RHODE ISLAND","028921502","Nonprofit agencies: other nonprofit","new assistance action","02","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95501010531","","12000","","0","","12000","09/16/2010","09/30/2010","03/30/2011","project grant  (B)","action-by-action reporting","","","4478080","RHODE ISLAND","WEST KINGSTON","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","RHODE ISLAND","TAS::97 0400::TAS "2011 GASEOUS IONS GRC""
"12.910","SAI NOT AVAILABLE","PORTLAND STATE UNIVERSITY","59000","PORTLAND","051","MULTNOMAH COUNTY","OREGON","972013218","Government codes: State controlled institutions of higher education","new assistance action","90","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","HR00111010069","","187046","","0","","187046","07/01/2010","07/01/2010","06/30/2011","project grant  (B)","action-by-action reporting","","","4159000","OREGON","PORTLAND","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","OREGON","FLEET STUDIES"
"12.600","SAI NOT AVAILABLE","FRONTERA LAND ALLIANCE THE","24000","EL PASO","141","EL PASO COUNTY","TEXAS","799021512","Private: all other","new assistance action","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010088","","300000","","0","","300000","09/10/2010","09/01/2010","02/29/2012","project grant  (B)","action-by-action reporting","","","4824000","TEXAS","EL PASO","COMMUNITY ECONOMIC ADJUSTMENT","DOD-OFFICE OF THE SECRETARY OF DEFENSE","TEXAS","SPECIAL PROGRAMS (SP)"
"12.630","SAI NOT AVAILABLE","VERSAR INC","74592","SPRINGFIELD","059","FAIRFAX COUNTY","VIRGINIA","221514175","Private: small business","new assistance action","90","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","W9132T1020031","","80383","","0","","80383","07/12/2010","07/13/2010","05/31/2011","cooperative agreement  (B)","action-by-action reporting","","","5174592","VIRGINIA","SPRINGFIELD","BASIC APPLIED AND ADVANCED RESEARCH IN SCIENCE AND ENGINEERING","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","VIRGINIA","LEGACY PROPOSAL:  PRIORITIZING SITE TREATMENT ACTIONS"
"12.800","SAI NOT AVAILABLE","REGENTS OF THE UNIVERSITY OF C","18100","DAVIS","113","YOLO COUNTY","CALIFORNIA","956186134","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95501010512","","15000","","0","","15000","08/25/2010","09/01/2010","08/31/2011","project grant  (B)","action-by-action reporting","","","0618100","CALIFORNIA","DAVIS","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","TAS::97 0130::TAS "2ND INTERNATIONAL CONGRESS ON BIOPHOTONICS (ICOB-2)" DATED 14 JUNE 2010; THE RESEARCH TERMS AND CONDITIONS, 1 JULY 2008"
"12.607","SAI NOT AVAILABLE","LOWRY REDEVELOPMENT AUTHORITY","00885","AIR FORCE ACCOUNTING","031","DENVER COUNTY","COLORADO","802306917","Private: all other","new assistance action","01","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010091","","359132","","0","","359132","09/13/2010","09/01/2010","08/31/2011","project grant  (B)","action-by-action reporting","","","0800885","COLORADO","AIR FORCE ACCOUNTING","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","COLORADO","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE RECOMMENDATIONS OF THE 2005 DEFENSE BASE CLOSU"
"12.607","SAI NOT AVAILABLE","FOREST PARK CITY OF","30830","FORT GILLEM (U S","063","CLAYTON COUNTY","GEORGIA","302972209","Government codes: city or township government","new assistance action","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010065","","351005","","0","","351005","07/08/2010","07/01/2010","06/30/2011","project grant  (B)","action-by-action reporting","","","1330830","GEORGIA","FORT GILLEM (U S","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","GEORGIA","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE "BASE CLOSURE A"
"12.607","SAI NOT AVAILABLE","MCPHERSON IMPLEMENTING LOCAL R","99121","FULTON COUNTY","121","FULTON COUNTY","GEORGIA","303033207","Government codes: city or township government","funding adjustment to completed project","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","OEA9900910074   0006","-","16835","","0","-","16835","08/10/2010","01/01/2008","08/31/2010","project grant  (B)","action-by-action reporting","","","1399121","GEORGIA","FULTON COUNTY","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","GEORGIA","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE "BASE CLOSURE A"
"12.607","SAI NOT AVAILABLE","MIDCOAST REGIONAL REDEVELOPMEN","08430","BRUNSWICK TOWN","005","CUMBERLAND COUNTY","MAINE","040112026","Government codes: special district government","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010017   0001","","192000","","0","","192000","08/09/2010","01/01/2010","12/31/2010","project grant  (B)","action-by-action reporting","","","2308430","MAINE","BRUNSWICK TOWN","COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA","DOD-OFFICE OF THE SECRETARY OF DEFENSE","MAINE","BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE RECOMMENDATIONS OF THE 2005 DEFENSE BASE CLOSU"
"12.750","SAI NOT AVAILABLE","HENRY M JACKSON FOUNDATION FOR","07125","BETHESDA","031","MONTGOMERY COUNTY","MARYLAND","208521402","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HU00011010014","","2582140","","0","","2582140","09/17/2010","10/01/2010","09/30/2011","project grant  (B)","action-by-action reporting","","","2407125","MARYLAND","BETHESDA","DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","DEPARTMENT OF DEFENSE AND VETERANS AFFAIRS MULTI-CENTER COHORT STUDY EVALUATING INFECTION ASSOCIATED CLINICAL OUTCOMES IN HOSPITALIZED MEDICAL EVACUE"
