"CFDA PROGRAM NUMBER","STATE APPLICATION IDENTIFIER (SAI NUMBER)","RECIPIENT NAME","RECIPIENT CITY CODE","RECIPIENT CITY NAME","RECIPIENT COUNTY CODE","RECIPIENT COUNTY NAME","RECIPIENT STATE CODE","RECIPIENT ZIP CODE","TYPE OF RECIPIENT","TYPE OF ACTION","RECIPIENT CONGRESSIONAL DISTRICT","FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE","FEDERAL AWARD IDENTIFIER NUMBER","FEDERAL FUNDING SIGN","FEDERAL FUNDING AMOUNT","NON-FEDERAL FUNDING SIGN","NON-FEDERAL FUNDING AMOUNT","TOTAL FUNDING SIGN","TOTAL FUNDING AMOUNT","OBLIGATION ACTION DATE","STARTING DATE","ENDING DATE","TYPE OF ASSISTANCE TRANSACTION","RECORD TYPE","CORRECTION/LATE INDICATOR ","FISCAL YEAR AND QUARTER CORRECTION","PRINCIPAL PLACE OF PERFORMANCE CODE","PRINCIPAL PLACE OF PERFORMANCE: STATE","PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY","CFDA PROGRAM TITLE","FEDERAL AGENCY NAME","STATE NAME FOR RECIPIENT","PROJECT DESCRIPTION"
"12.910","SAI NOT AVAILABLE","UNIVERSITY OF ILLINOIS","12385","CHAMPAIGN","019","CHAMPAIGN COUNTY","ILLINOIS","618013620","Private: private higher education","new assistance action","15","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","HR00111010050","","200000","","0","","200000","01/15/2010","01/15/2010","01/14/2011","project grant  (B)","action-by-action reporting","","","1712385","ILLINOIS","CHAMPAIGN","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","ILLINOIS","THERMAL SWITICH FEASIBILITY STUDY"
"12.600","SAI NOT AVAILABLE","CITY OF INGLESIDE","36008","INGLESIDE","409","SAN PATRICIO COUNTY","TEXAS","783625801","Government codes: city or township government","new assistance action","15","DOD-OFFICE OF THE SECRETARY OF DEFENSE","HQ00051010040","","1000000","","0","","1000000","03/02/2010","02/01/2010","09/30/2010","project grant  (B)","action-by-action reporting","","","4836008","TEXAS","INGLESIDE","COMMUNITY ECONOMIC ADJUSTMENT","DOD-OFFICE OF THE SECRETARY OF DEFENSE","TEXAS","SPECIAL PROGRAMS (SP)"
"12.300","SAI NOT AVAILABLE","SOUTHALL ENVIRONMENTAL ASSOCIA","69112","SANTA CRUZ","087","SANTA CRUZ COUNTY","CALIFORNIA","950604741","Private: profit organization","new assistance action","90","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","N002441010033","","130065","","0","","130065","03/11/2010","03/11/2010","03/10/2012","project grant  (B)","action-by-action reporting","","","0669112","CALIFORNIA","SANTA CRUZ","BASIC AND APPLIED SCIENTIFIC RESEARCH","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","CALIFORNIA","BEHAVIORAL RESPONSE STUDY (BRS): SOCAL-10 AND -11: SCIENTIFIC PLANNING, FIELD EXECUTION, DATA ANALYSIS, AND TRANSPARENT COMMUNICATION OF SCIENTIFIC"
"12.910","SAI NOT AVAILABLE","THE REGENTS OF THE UNIVERSITY","44000","LOS ANGELES","037","LOS ANGELES COUNTY","CALIFORNIA","900246523","Government codes: State controlled institutions of higher education","new assistance action","90","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","HR00111010009","","1113495","","0","","1113495","02/08/2010","02/08/2010","08/07/2011","project grant  (B)","action-by-action reporting","","","0644000","CALIFORNIA","LOS ANGELES","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","CALIFORNIA","SELF ORGANIZED PHYSICAL INTELLIGENCE SYSTEM"
"12.910","SAI NOT AVAILABLE","THE REGENTS OF THE UNIVERSITY","44000","LOS ANGELES","037","LOS ANGELES COUNTY","CALIFORNIA","900246523","Government codes: State controlled institutions of higher education","new assistance action","90","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","W31P4Q1010003","","299961","","0","","299961","03/11/2010","03/11/2010","03/31/2011","project grant  (B)","action-by-action reporting","","","0644000","CALIFORNIA","LOS ANGELES","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","CALIFORNIA","INSECT-CONTROLLED UNMANNED AERIAL VEHICLE (UAV'S)"
"12.910","SAI NOT AVAILABLE","THE REGENTS OF THE UNIVERSITY","44000","LOS ANGELES","037","LOS ANGELES COUNTY","CALIFORNIA","900246523","Government codes: State controlled institutions of higher education","new assistance action","90","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","HR00111010008","","830000","","0","","830000","02/08/2010","02/08/2010","08/07/2011","project grant  (B)","action-by-action reporting","","","0644000","CALIFORNIA","LOS ANGELES","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","CALIFORNIA","INTELLIGENCE OF NEAR CRITICAL PHYSICAL SYSTEMS"
"12.910","SAI NOT AVAILABLE","UNIVERSITY OF SOUTHERN CALIFOR","44000","LOS ANGELES","037","LOS ANGELES COUNTY","CALIFORNIA","900890001","Government codes: State controlled institutions of higher education","new assistance action","90","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","HR00111010048","","350000","","0","","350000","02/22/2010","02/22/2010","09/30/2010","project grant  (B)","action-by-action reporting","","","0644000","CALIFORNIA","LOS ANGELES","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","CALIFORNIA","RAPIDLY FORMED ELECTRICAL GRIDS FOR EXTREME SCENARIOS (REGES)"
"12.910","SAI NOT AVAILABLE","UNIVERSITY OF CENTRAL FLORIDA","53000","ORLANDO","095","ORANGE COUNTY","FLORIDA","328168005","Private: private higher education","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","HR00110910045   0001","","229188","","0","","229188","02/02/2010","05/07/2009","05/07/2011","project grant  (B)","action-by-action reporting","","","1253000","FLORIDA","ORLANDO","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","FLORIDA","THE CS STUDY GROUP PROGRAM"
"12.910","SAI NOT AVAILABLE","GEORGIA TECH RESEARCH CORPORAT","04000","ATLANTA","121","FULTON COUNTY","GEORGIA","303320001","Government codes: State controlled institutions of higher education","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","90","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","W31P4Q0910012   003","","664334","","0","","664334","02/08/2010","09/30/2009","05/30/2011","project grant  (B)","action-by-action reporting","","","1304000","GEORGIA","ATLANTA","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","GEORGIA","ZENO-BASED OPTO-ELECTRONICS"
"12.910","SAI NOT AVAILABLE","JOHNS HOPKINS UNIVERSITY","80704","WASHINGTON","317","WILKES COUNTY","GEORGIA","212182680","Private: private higher education","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","09","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","HR00110910044   0001","","170187","","0","","170187","02/02/2010","05/12/2009","05/13/2011","project grant  (B)","action-by-action reporting","","","1380704","GEORGIA","WASHINGTON","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","GEORGIA","THE CS STUDY GROUP PROGRAM"
