"CFDA PROGRAM NUMBER","STATE APPLICATION IDENTIFIER (SAI NUMBER)","RECIPIENT NAME","RECIPIENT CITY CODE","RECIPIENT CITY NAME","RECIPIENT COUNTY CODE","RECIPIENT COUNTY NAME","RECIPIENT STATE CODE","RECIPIENT ZIP CODE","TYPE OF RECIPIENT","TYPE OF ACTION","RECIPIENT CONGRESSIONAL DISTRICT","FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE","FEDERAL AWARD IDENTIFIER NUMBER","FEDERAL FUNDING SIGN","FEDERAL FUNDING AMOUNT","NON-FEDERAL FUNDING SIGN","NON-FEDERAL FUNDING AMOUNT","TOTAL FUNDING SIGN","TOTAL FUNDING AMOUNT","OBLIGATION ACTION DATE","STARTING DATE","ENDING DATE","TYPE OF ASSISTANCE TRANSACTION","RECORD TYPE","CORRECTION/LATE INDICATOR ","FISCAL YEAR AND QUARTER CORRECTION","PRINCIPAL PLACE OF PERFORMANCE CODE","PRINCIPAL PLACE OF PERFORMANCE: STATE","PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY","CFDA PROGRAM TITLE","FEDERAL AGENCY NAME","STATE NAME FOR RECIPIENT","PROJECT DESCRIPTION"
"12.800","SAI NOT AVAILABLE","LELAND STANFORD JUNIOR UNIVERS","73906","STANFORD","085","SANTA CLARA COUNTY","CALIFORNIA","943057209","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","FA95501010194","","940361","","0","","940361","06/01/2010","06/01/2010","05/31/2015","project grant  (B)","action-by-action reporting","","","0673906","CALIFORNIA","STANFORD","AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","TAS::57 3600::TAS "(NSSEFF) MATHEMATICAL MODELING IN RANDOM MEDIA: FROM HOMOGENIZATION TO STOCHASTICITY""
"12.614","SAI NOT AVAILABLE","CASCADE COUNTY","59875","PROCTOR","047","LAKE COUNTY","MONTANA","594012517","Government codes: county government","funding adjustment to completed project","00","DOD-OFFICE OF THE SECRETARY OF DEFENSE","OEA9900810022   0000","-","37111","","0","-","37111","06/23/2010","01/01/2008","12/31/2010","project grant  (B)","action-by-action reporting","","","3059875","MONTANA","PROCTOR","COMMUNITY ECONOMIC ADJUSTMENT DIVERSIFICATION PLANNING","DOD-OFFICE OF THE SECRETARY OF DEFENSE","MONTANA","DEFENSE DIVERSIFICATION (DD) TO EVALUATE THE NEED FOR AND POSSIBLY PROVIDE DIVERSIFICATION PLANNING ASSISTANCE TO THE SWEETGRASS REGION, MONTANA. THI"
"12.350","SAI NOT AVAILABLE","RESEARCH TRIANGLE INSTITUTE","56020","RESEARCH TRIANGLE","063","DURHAM COUNTY","NORTH CAROLINA","277090001","Nonprofit agencies: other nonprofit","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","04","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","N002440910087   0002","","73327","","0","","73327","06/29/2010","06/29/2010","06/29/2012","project grant  (B)","action-by-action reporting","","","3756020","NORTH CAROLINA","RESEARCH TRIANGLE","DEPARTMENT OF DEFENSE HIV/AIDS PREVENTION PROGRAM","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","NORTH CAROLINA","PEPFAR SUDAN AIDS RELIEF"
"12.350","SAI NOT AVAILABLE","RESEARCH TRIANGLE INSTITUTE","56020","RESEARCH TRIANGLE","063","DURHAM COUNTY","NORTH CAROLINA","277090001","Nonprofit agencies: other nonprofit","continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action)","04","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","N002440910087   0001","","96518","","0","","96518","05/27/2010","05/27/2010","05/26/2012","project grant  (B)","action-by-action reporting","","","3756020","NORTH CAROLINA","RESEARCH TRIANGLE","DEPARTMENT OF DEFENSE HIV/AIDS PREVENTION PROGRAM","DOD-DEFENSE CONTRACT MANAGEMENT AGENCY","NORTH CAROLINA","PEPFAR SUDAN AIDS RELIEF"
"12.901","SAI NOT AVAILABLE","PEPPERDINE UNIVERSITY","45246","MALIBU","037","LOS ANGELES COUNTY","CALIFORNIA","902635000","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010231","","10000","","0","","10000","04/02/2010","04/02/2010","04/02/2011","project grant  (B)","action-by-action reporting","","","0645246","CALIFORNIA","MALIBU","MATHEMATICAL SCIENCES GRANTS PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","PACIFIC COAST UNDERGRADUATE MATHEMATICS CONFERENCE 2011"
"12.902","SAI NOT AVAILABLE","LOS ANGELES UNIFIED SCHOOL DIS","44000","LOS ANGELES","037","LOS ANGELES COUNTY","CALIFORNIA","900171466","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010093","","100000","","0","","100000","04/06/2010","04/06/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0644000","CALIFORNIA","LOS ANGELES","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","LOYOLA MARYMOUNT UNIVERSITY IN","44000","LOS ANGELES","037","LOS ANGELES COUNTY","CALIFORNIA","900452659","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010091","","100000","","0","","100000","04/09/2010","04/09/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0644000","CALIFORNIA","LOS ANGELES","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","SOUTHERN CALIFORNIA COUNCIL OF","22230","EL MONTE","037","LOS ANGELES COUNTY","CALIFORNIA","917331070","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010112","","98260","","0","","98260","04/05/2010","04/05/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0622230","CALIFORNIA","EL MONTE","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","TEACHING CHINESE RESOURCES","63218","ROWLAND HEIGHTS","037","LOS ANGELES COUNTY","CALIFORNIA","917485103","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010090","","100000","","0","","100000","04/01/2010","04/01/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0663218","CALIFORNIA","ROWLAND HEIGHTS","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","TEACHING CHINESE RESOURCES","63218","ROWLAND HEIGHTS","037","LOS ANGELES COUNTY","CALIFORNIA","917485103","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010089","","100000","","0","","100000","04/01/2010","04/01/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0663218","CALIFORNIA","ROWLAND HEIGHTS","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
