"CFDA PROGRAM NUMBER","STATE APPLICATION IDENTIFIER (SAI NUMBER)","RECIPIENT NAME","RECIPIENT CITY CODE","RECIPIENT CITY NAME","RECIPIENT COUNTY CODE","RECIPIENT COUNTY NAME","RECIPIENT STATE CODE","RECIPIENT ZIP CODE","TYPE OF RECIPIENT","TYPE OF ACTION","RECIPIENT CONGRESSIONAL DISTRICT","FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE","FEDERAL AWARD IDENTIFIER NUMBER","FEDERAL FUNDING SIGN","FEDERAL FUNDING AMOUNT","NON-FEDERAL FUNDING SIGN","NON-FEDERAL FUNDING AMOUNT","TOTAL FUNDING SIGN","TOTAL FUNDING AMOUNT","OBLIGATION ACTION DATE","STARTING DATE","ENDING DATE","TYPE OF ASSISTANCE TRANSACTION","RECORD TYPE","CORRECTION/LATE INDICATOR ","FISCAL YEAR AND QUARTER CORRECTION","PRINCIPAL PLACE OF PERFORMANCE CODE","PRINCIPAL PLACE OF PERFORMANCE: STATE","PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY","CFDA PROGRAM TITLE","FEDERAL AGENCY NAME","STATE NAME FOR RECIPIENT","PROJECT DESCRIPTION"
"12.902","SAI NOT AVAILABLE","STRATEGIC LANGUAGES INSTITUTE","86832","YORBA LINDA","059","ORANGE COUNTY","CALIFORNIA","928873210","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010132","","100000","","0","","100000","04/07/2010","04/07/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0686832","CALIFORNIA","YORBA LINDA","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","NATIONAL UNIVERSITY","66000","SAN DIEGO","073","SAN DIEGO COUNTY","CALIFORNIA","920371011","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010131","","99962","","0","","99962","04/09/2010","04/09/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0666000","CALIFORNIA","SAN DIEGO","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INIIATIVE"
"12.902","SAI NOT AVAILABLE","CHINESE AMERICAN INTERNATIONAL","67000","SAN FRANCISCO","075","SAN FRANCISCO COUNTY","CALIFORNIA","941025912","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010109","","100000","","0","","100000","04/08/2010","04/08/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0667000","CALIFORNIA","SAN FRANCISCO","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","TIDES CENTER THE","67000","SAN FRANCISCO","075","SAN FRANCISCO COUNTY","CALIFORNIA","941290907","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010086","","100000","","0","","100000","04/02/2010","04/02/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0667000","CALIFORNIA","SAN FRANCISCO","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","TIDES CENTER THE","67000","SAN FRANCISCO","075","SAN FRANCISCO COUNTY","CALIFORNIA","941290907","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010088","","100000","","0","","100000","04/01/2010","04/01/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0667000","CALIFORNIA","SAN FRANCISCO","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","LELAND STANFORD JUNIOR UNIVERS","73906","STANFORD","085","SANTA CLARA COUNTY","CALIFORNIA","943057209","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010077","","93754","","0","","93754","04/09/2010","04/09/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0673906","CALIFORNIA","STANFORD","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","LELAND STANFORD JUNIOR UNIVERS","73906","STANFORD","085","SANTA CLARA COUNTY","CALIFORNIA","943057209","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010078","","96318","","0","","96318","04/08/2010","04/08/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0673906","CALIFORNIA","STANFORD","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","CALIFORNIA","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","ALLIANCE FOR UNIVERESAL EDUCAT","04000","AURORA","001","ADAMS COUNTY","COLORADO","800173900","Government codes: independent school district","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010072","","100000","","0","","100000","04/06/2010","04/06/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0804000","COLORADO","AURORA","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","COLORADO","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","UNIVERSITY OF COLORADO","07850","BOULDER","013","BOULDER COUNTY","COLORADO","803090001","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010105","","83310","","0","","83310","04/16/2010","04/16/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","0807850","COLORADO","BOULDER","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","COLORADO","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","STATE OF DELAWARE","41830","LEWES","005","SUSSEX COUNTY","DELAWARE","199581783","Government codes: independent school district","new assistance action","00","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010052","","99937","","0","","99937","04/08/2010","04/08/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1041830","DELAWARE","LEWES","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","DELAWARE","STARTALK LANGUAGE INITIATIVE"
"12.910","SAI NOT AVAILABLE","UNIVERSITY OF CENTRAL FLORIDA","53000","ORLANDO","095","ORANGE COUNTY","FLORIDA","328168005","Private: private higher education","new assistance action","90","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","HR00111010055","","249960","","0","","249960","04/01/2010","04/01/2010","03/31/2011","project grant  (B)","action-by-action reporting","","","1253000","FLORIDA","ORLANDO","RESEARCH AND TECHNOLOGY DEVELOPMENT","DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","FLORIDA","GERMANATE PTR GLASS"
"12.902","SAI NOT AVAILABLE","UNIVERSITY OF HAWAII","17000","HONOLULU","003","HONOLULU COUNTY","HAWAII","968222309","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010071","","100000","","0","","100000","04/15/2010","04/15/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1517000","HAWAII","HONOLULU","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HAWAII","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","UNIVERSITY OF HAWAII","17000","HONOLULU","003","HONOLULU COUNTY","HAWAII","968222309","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010061","","97155","","0","","97155","04/15/2010","04/15/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1517000","HAWAII","HONOLULU","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","HAWAII","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","DE PAUL UNIVERSITY","14000","CHICAGO","031","COOK COUNTY","ILLINOIS","606042201","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010076","","99625","","0","","99625","04/08/2010","04/08/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1714000","ILLINOIS","CHICAGO","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","ILLINOIS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","DE PAUL UNIVERSITY","14000","CHICAGO","031","COOK COUNTY","ILLINOIS","606042201","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010075","","99338","","0","","99338","04/08/2010","04/08/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1714000","ILLINOIS","CHICAGO","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","ILLINOIS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","EDUCATION, CHICAGO OFFICE OF T","14000","CHICAGO","031","COOK COUNTY","ILLINOIS","606035200","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010003","","99904","","0","","99904","04/02/2010","04/02/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1714000","ILLINOIS","CHICAGO","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","ILLINOIS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","EDUCATION, CHICAGO OFFICE OF T","14000","CHICAGO","031","COOK COUNTY","ILLINOIS","606035200","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010002","","99055","","0","","99055","04/02/2010","04/02/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1714000","ILLINOIS","CHICAGO","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","ILLINOIS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","CONSORTIUM OF ILLINOIS LANGUAG","51622","NAPERVILLE","043","DUPAGE COUNTY","ILLINOIS","605405812","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010130","","100000","","0","","100000","04/07/2010","04/07/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1751622","ILLINOIS","NAPERVILLE","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","ILLINOIS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","LEWIS UNIVERSITY","65442","ROMEOVILLE","197","WILL COUNTY","ILLINOIS","604462200","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010120","","68263","","0","","68263","04/08/2010","04/08/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","1765442","ILLINOIS","ROMEOVILLE","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","ILLINOIS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","UNIVERSITY OF KENTUCKY","46000","LEXINGTON","067","FAYETTE COUNTY","KENTUCKY","405060001","Government codes: State controlled institutions of higher education","new assistance action","06","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010133","","99898","","0","","99898","04/14/2010","04/14/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2146000","KENTUCKY","LEXINGTON","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","KENTUCKY","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","ASIA INSTITUTE INC","48000","LOUISVILLE","111","JEFFERSON COUNTY","KENTUCKY","402032906","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010064","","88792","","0","","88792","04/05/2010","04/05/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2148000","KENTUCKY","LOUISVILLE","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","KENTUCKY","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","HOWARD COMMUNITY COLLEGE","19125","COLUMBIA","027","HOWARD COUNTY","MARYLAND","210443110","Government codes: State controlled institutions of higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010037","","100000","","0","","100000","04/02/2010","04/02/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2419125","MARYLAND","COLUMBIA","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","STARTALK LANGUAGE INIATIVE"
"12.902","SAI NOT AVAILABLE","BOARD OF EDUCATION OF MONTGOME","67675","ROCKVILLE","031","MONTGOMERY COUNTY","MARYLAND","208501718","Government codes: independent school district","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010118","","31613","","0","","31613","04/13/2010","04/13/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2467675","MARYLAND","ROCKVILLE","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","CENTER FOR HUMAN SERVICES, INC","07125","BETHESDA","031","MONTGOMERY COUNTY","MARYLAND","208144830","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010126","","89852","","0","","89852","04/08/2010","04/08/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2407125","MARYLAND","BETHESDA","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MARYLAND","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","SPRINGFIELD PUBLIC SCHOOLS","67000","SPRINGFIELD","013","HAMPDEN COUNTY","MASSACHUSETTS","011031704","Government codes: independent school district","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010046","","98140","","0","","98140","04/07/2010","04/07/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2567000","MASSACHUSETTS","SPRINGFIELD","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MASSACHUSETTS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","BOSTON PUBLIC SCHOOLS","07000","BOSTON","025","SUFFOLK COUNTY","MASSACHUSETTS","021082500","Government codes: independent school district","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010032","","100000","","0","","100000","04/01/2010","04/01/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2507000","MASSACHUSETTS","BOSTON","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MASSACHUSETTS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","BOSTON UNIVERSITY, TRUSTEES OF","07000","BOSTON","025","SUFFOLK COUNTY","MASSACHUSETTS","022151390","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010134","","62248","","0","","62248","04/08/2010","04/08/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2507000","MASSACHUSETTS","BOSTON","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MASSACHUSETTS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","UNIVERSITY OF MASSACHUSETTS","07000","BOSTON","025","SUFFOLK COUNTY","MASSACHUSETTS","021253300","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010069","","99965","","0","","99965","04/09/2010","04/09/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2507000","MASSACHUSETTS","BOSTON","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MASSACHUSETTS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","UNIVERSITY OF MASSACHUSETTS","07000","BOSTON","025","SUFFOLK COUNTY","MASSACHUSETTS","021253300","Private: private higher education","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010070","","98963","","0","","98963","04/09/2010","04/09/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2507000","MASSACHUSETTS","BOSTON","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MASSACHUSETTS","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","BRIDGE ACADEMY","22000","DETROIT","163","WAYNE COUNTY","MICHIGAN","482123323","Private: all other","new assistance action","90","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010111","","98301","","0","","98301","04/06/2010","04/06/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2622000","MICHIGAN","DETROIT","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MICHIGAN","STARTALK LANGUAGE INITIATIVE"
"12.902","SAI NOT AVAILABLE","CONCORDIA COLLEGE CORP","43864","MOORHEAD","027","CLAY COUNTY","MINNESOTA","565620002","Private: private higher education","new assistance action","07","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","H982301010080","","57325","","0","","57325","04/07/2010","04/07/2010","02/28/2011","project grant  (B)","action-by-action reporting","","","2743864","MINNESOTA","MOORHEAD","INFORMATION SECURITY GRANT PROGRAM","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)","MINNESOTA","STARTALK LANGUAGE INITIATIVE"
