pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,sy_dist
Kepler-117 c,Kepler-117,12.341,584.78,50.790391,0.2804,704.0,6150.0,1.606,1.129,Transit,2014.0,1455.57
Kepler-1550 b,Kepler-1550,3.02,,225.582809,0.7681,348.0,5991.0,1.11,1.07,Transit,2016.0,1179.01
Kepler-443 b,Kepler-443,2.33,,177.6693,0.495,233.0,4723.0,0.706,0.738,Transit,2015.0,802.271
HATS-4 b,HATS-4,11.433,420.471,2.516729,0.0362,1315.0,5403.0,0.925,1.001,Transit,2014.0,416.459
Kepler-160 d,Kepler-160,,100.0,30.0,0.17,,5471.0,1.118,1.003,Transit Timing Variations,2020.0,937.013
Kepler-1517 b,Kepler-1517,9.76,,5.546083665,0.078,2336.0,7010.0,1.95,1.58,Transit,2016.0,847.299
Kepler-294 c,Kepler-294,2.71,,6.6264,0.071,895.0,5913.0,0.976,0.947,Transit,2014.0,1357.01
TOI-2567 b,TOI-2567,10.92875618,63.883509807,5.983944,0.0672,1352.0,5611.0,1.686,1.13,Transit,2022.0,504.775
Kepler-92 d,Kepler-92,2.067,,49.3568,0.28682,637.0,5904.34,1.81719,1.07,Transit,2015.0,477.992
Kepler-1429 b,Kepler-1429,1.29,,4.48487493,0.055,1199.0,5902.0,1.07,1.05,Transit,2016.0,1214.09
Kepler-616 d,Kepler-616,2.653,,51.06740189,0.2749,499.0,6004.0,0.977,1.061,Transit,2021.0,945.775
Kepler-1705 b,Kepler-1705,2.03,4.47,9.03502,0.08,789.0,6312.0,1.259,1.139,Transit,2021.0,1633.49
Kepler-274 c,Kepler-274,1.84,,33.197861,0.204,678.0,6023.0,1.007,0.883,Transit,2014.0,1333.62
Kepler-1488 c,Kepler-1488,1.65156749,,6.158269882,0.06959,1212.0,5710.0,1.524,1.003,Transit,2021.0,905.825
TOI-3862 b,TOI-3862,5.53,53.7,1.55745774,0.02539,1539.0,5300.0,0.92,0.9,Transit,2026.0,249.02
BD-11 4672 c,BD-11 4672,4.04,,74.2,0.3,,4550.0,0.639,0.651,Radial Velocity,2020.0,27.1665
K2-315 b,K2-315,0.95,,3.1443189,,460.0,3300.0,0.196,0.174,Transit,2020.0,56.9686
KELT-4 A b,KELT-4 A,19.044091,286.68266,2.9895932,0.04317,1823.0,6206.0,1.603,1.201,Transit,2016.0,218.05
Kepler-1492 b,Kepler-1492,1.49,,16.75255007,0.1262,801.0,4712.0,0.72,0.77,Transit,2016.0,331.553
Kepler-352 d,Kepler-352,0.80628032,,6.887279987,0.06574,788.0,5208.0,0.772,0.796,Transit,2021.0,252.733
HIP 4845 b,HIP 4845,3.89,,34.15,0.176,,4010.0,0.603999,0.62,Radial Velocity,2020.0,21.0974
K2-316 b,K2-316,1.33,,1.133,0.0147,841.0,3436.0,0.379,0.408,Transit,2020.0,112.486
Kepler-292 f,Kepler-292,2.35,,20.834237,0.141,563.0,5299.0,0.826,0.865,Transit,2014.0,1056.48
Kepler-1410 b,Kepler-1410,1.78,,60.866168,0.2543,290.0,4092.0,0.6,0.63,Transit,2016.0,367.0
Kepler-575 b,Kepler-575,2.39,,9.37891944,0.0788,803.0,5710.0,0.95,0.97,Transit,2016.0,853.977
Kepler-1434 b,Kepler-1434,1.11,,8.05333618,0.0917,1320.0,6291.0,2.04,1.47,Transit,2016.0,775.529
Kepler-1653 b,Kepler-1653,2.17,,140.2524,0.4706,284.0,4807.0,0.693,0.719,Transit,2017.0,755.0
Kepler-627 b,Kepler-627,3.73,,40.6994443,0.22661,685.0,6424.0,1.49,1.3,Transit,2016.0,984.307
Kepler-1962 b,Kepler-1962,1.21463929,,7.991459846,0.0783,901.0,5700.0,1.006,1.003,Transit,2021.0,866.826
K2-320 b,K2-320,2.62,,1.995,0.0142,698.0,3157.0,0.3,0.117,Transit,2020.0,108.74
K2-323 b,K2-323,2.1,,24.93,0.1275,318.0,3710.0,0.549,0.478,Transit,2020.0,118.318
K2-318 b,K2-318,1.66,,7.01,0.0911,456.0,3851.0,0.552,0.561,Transit,2020.0,147.866
Kepler-317 c,Kepler-317,1.72,,8.77501,0.083,837.0,5497.0,0.941,0.865,Transit,2014.0,940.584
Kepler-1411 b,Kepler-1411,2.82,,86.1150888,0.4001,441.0,5664.0,0.92,0.95,Transit,2016.0,1660.48
Kepler-1435 b,Kepler-1435,0.86,,4.45343281,0.05456,1331.0,6356.0,1.32,1.21,Transit,2016.0,704.211
Kepler-215 e,Kepler-215,1.75,,68.16101,0.314,405.0,5739.0,1.027,0.788,Transit,2014.0,485.997
Kepler-1576 b,Kepler-1576,1.04,,6.98471973,0.07211,1059.0,5876.0,1.06,1.05,Transit,2016.0,460.91
Kepler-1593 b,Kepler-1593,3.17,,174.509835,0.55494,260.0,4995.0,0.77,0.81,Transit,2016.0,638.249
Kepler-1915 b,Kepler-1915,3.21798413,,13.83539963,0.114,809.0,6020.0,1.057,1.03,Transit,2021.0,1514.66
