RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
CORPORATION FOR NATIONAL RESEA,RESTON,059,FAIRFAX COUNTY,VIRGINIA,201915469,Nonprofit agencies: other nonprofit,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,100000,0,100000,10/05/2009,10/28/2004,01/15/2010,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,RESTON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,VIRGINIA,MANAGEMENT INTITATIVES PROGRAMS
COUNTY OF MADISON,REDSTONE ARSENAL,089,MADISON COUNTY,ALABAMA,358014800,Government codes: county government,funding adjustment to completed project,05,DOD-OFFICE OF THE SECRETARY OF DEFENSE,10318,0,10318,11/25/2009,07/01/2007,05/31/2010,project grant  (B),action-by-action reporting,NA,NA,ALABAMA,REDSTONE ARSENAL,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,ALABAMA,"BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE REALIGNMENT OF REDSTONE ARSE"
CITY OF RIVERBANK,STANISLAUS COUNTY,099,STANISLAUS COUNTY,CALIFORNIA,953672305,Government codes: city or township government,funding adjustment to completed project,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,37138,0,37138,11/09/2009,03/01/2006,11/30/2009,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,STANISLAUS COUNTY,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,CALIFORNIA,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE CLOSURE OF RIVERBANK ARMY AMMUNI"
REGENTS OF THE UNIVERSITY OF C,BERKELEY,001,ALAMEDA COUNTY,CALIFORNIA,947045940,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,300000,0,300000,10/21/2009,05/01/2007,10/28/2010,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,BERKELEY,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,MEMS/NEMS S&T FUNDAMENTALS PROGRAMS
CALIFORNIA INSTITUTE OF TECHNO,PASADENA,037,LOS ANGELES COUNTY,CALIFORNIA,911250001,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,225000,0,225000,10/09/2009,09/12/2006,09/10/2010,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,PASADENA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,MEMS/NEMS S&T FUNDAMENTALS PROGRAMS
THE REGENTS OF THE UNIVERSITY,SANTA BARBARA COUNTY,083,SANTA BARBARA COUNTY,CALIFORNIA,931060001,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,730923,0,730923,12/21/2009,12/21/2009,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SANTA BARBARA COUNTY,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,TITANIUM MEMS FOR THERMAL GROUND PLANES
HEWLETT-PACKARD COMPANY,PALO ALTO,085,SANTA CLARA COUNTY,CALIFORNIA,943041126,Private: profit organization,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,800000,0,800000,11/24/2009,10/21/2008,03/21/2011,"other reimbursable, contingent, intangible, or indirect financial assistance",action-by-action reporting,NA,NA,CALIFORNIA,PALO ALTO,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,SYSTEM OF NEUROMORHIC ADAPTIVE PLASTIC SCALABLE
UNIVERSITY OF COLORADO,BOULDER,013,BOULDER COUNTY,COLORADO,803090001,Government codes: State controlled institutions of higher education,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,449889,0,449889,12/07/2009,12/07/2009,06/30/2011,project grant  (B),action-by-action reporting,NA,NA,COLORADO,BOULDER,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,COLORADO,FIBER ENABLED MICRO CRYOGENIC COOLERS
COUNTY OF OKALOOSA,EGLIN AFB,091,OKALOOSA COUNTY,FLORIDA,325792307,Government codes: county government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,160289,0,160289,10/28/2009,02/01/2008,06/30/2010,project grant  (B),action-by-action reporting,NA,NA,FLORIDA,EGLIN AFB,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,FLORIDA,"BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ADJUSTMENT ASSISTANCE IN RESPONSE TO THE REALIGNMENT OF EGLIN AFB, OK"
IDAHO DEPARTMENT OF COMMERCE,MOUNTAIN HOME AFB,039,ELMORE COUNTY,IDAHO,837200001,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),02,DOD-OFFICE OF THE SECRETARY OF DEFENSE,66100,0,66100,12/17/2009,09/01/2007,04/30/2010,project grant  (B),action-by-action reporting,NA,NA,IDAHO,MOUNTAIN HOME AFB,COMMUNITY ECONOMIC ADJUSTMENT PLANNING ASSISTANCE FOR JOINT LAND USE STUDI,DOD-OFFICE OF THE SECRETARY OF DEFENSE,IDAHO,"ENCROACHMENT (EN) TO PROVIDE TECHNICAL AND FINANCIAL ASSISTANCE TO MOUNTAIN HOME AIR FORCE BASE (AFB), MOUNTAIN HOME, ID, AND ADJACENT COMMUNITIES. T"
