RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,095,ORANGE COUNTY,FLORIDA,328168005,Private: private higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,249960,0,249960,04/01/2010,04/01/2010,03/31/2011,project grant  (B),action-by-action reporting,NA,NA,FLORIDA,ORLANDO,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,FLORIDA,GERMANATE PTR GLASS
UNIVERSITY OF HAWAII,HONOLULU,003,HONOLULU COUNTY,HAWAII,968222309,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/15/2010,04/15/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,HAWAII,HONOLULU,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",HAWAII,STARTALK LANGUAGE INITIATIVE
UNIVERSITY OF HAWAII,HONOLULU,003,HONOLULU COUNTY,HAWAII,968222309,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",97155,0,97155,04/15/2010,04/15/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,HAWAII,HONOLULU,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",HAWAII,STARTALK LANGUAGE INITIATIVE
DE PAUL UNIVERSITY,CHICAGO,031,COOK COUNTY,ILLINOIS,606042201,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99625,0,99625,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,CHICAGO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",ILLINOIS,STARTALK LANGUAGE INITIATIVE
DE PAUL UNIVERSITY,CHICAGO,031,COOK COUNTY,ILLINOIS,606042201,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99338,0,99338,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,CHICAGO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",ILLINOIS,STARTALK LANGUAGE INITIATIVE
"EDUCATION, CHICAGO OFFICE OF T",CHICAGO,031,COOK COUNTY,ILLINOIS,606035200,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99904,0,99904,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,CHICAGO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",ILLINOIS,STARTALK LANGUAGE INITIATIVE
"EDUCATION, CHICAGO OFFICE OF T",CHICAGO,031,COOK COUNTY,ILLINOIS,606035200,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99055,0,99055,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,CHICAGO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",ILLINOIS,STARTALK LANGUAGE INITIATIVE
CONSORTIUM OF ILLINOIS LANGUAG,NAPERVILLE,043,DUPAGE COUNTY,ILLINOIS,605405812,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,NAPERVILLE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",ILLINOIS,STARTALK LANGUAGE INITIATIVE
LEWIS UNIVERSITY,ROMEOVILLE,197,WILL COUNTY,ILLINOIS,604462200,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",68263,0,68263,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,ROMEOVILLE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",ILLINOIS,STARTALK LANGUAGE INITIATIVE
UNIVERSITY OF KENTUCKY,LEXINGTON,067,FAYETTE COUNTY,KENTUCKY,405060001,Government codes: State controlled institutions of higher education,new assistance action,06,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99898,0,99898,04/14/2010,04/14/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,KENTUCKY,LEXINGTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",KENTUCKY,STARTALK LANGUAGE INITIATIVE
ASIA INSTITUTE INC,LOUISVILLE,111,JEFFERSON COUNTY,KENTUCKY,402032906,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",88792,0,88792,04/05/2010,04/05/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,KENTUCKY,LOUISVILLE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",KENTUCKY,STARTALK LANGUAGE INITIATIVE
HOWARD COMMUNITY COLLEGE,COLUMBIA,027,HOWARD COUNTY,MARYLAND,210443110,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MARYLAND,COLUMBIA,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MARYLAND,STARTALK LANGUAGE INIATIVE
BOARD OF EDUCATION OF MONTGOME,ROCKVILLE,031,MONTGOMERY COUNTY,MARYLAND,208501718,Government codes: independent school district,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",31613,0,31613,04/13/2010,04/13/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MARYLAND,ROCKVILLE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MARYLAND,STARTALK LANGUAGE INITIATIVE
"CENTER FOR HUMAN SERVICES, INC",BETHESDA,031,MONTGOMERY COUNTY,MARYLAND,208144830,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",89852,0,89852,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MARYLAND,BETHESDA,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MARYLAND,STARTALK LANGUAGE INITIATIVE
SPRINGFIELD PUBLIC SCHOOLS,SPRINGFIELD,013,HAMPDEN COUNTY,MASSACHUSETTS,011031704,Government codes: independent school district,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",98140,0,98140,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,SPRINGFIELD,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MASSACHUSETTS,STARTALK LANGUAGE INITIATIVE
BOSTON PUBLIC SCHOOLS,BOSTON,025,SUFFOLK COUNTY,MASSACHUSETTS,021082500,Government codes: independent school district,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/01/2010,04/01/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,BOSTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MASSACHUSETTS,STARTALK LANGUAGE INITIATIVE
"BOSTON UNIVERSITY, TRUSTEES OF",BOSTON,025,SUFFOLK COUNTY,MASSACHUSETTS,022151390,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",62248,0,62248,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,BOSTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MASSACHUSETTS,STARTALK LANGUAGE INITIATIVE
UNIVERSITY OF MASSACHUSETTS,BOSTON,025,SUFFOLK COUNTY,MASSACHUSETTS,021253300,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99965,0,99965,04/09/2010,04/09/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,BOSTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MASSACHUSETTS,STARTALK LANGUAGE INITIATIVE
UNIVERSITY OF MASSACHUSETTS,BOSTON,025,SUFFOLK COUNTY,MASSACHUSETTS,021253300,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",98963,0,98963,04/09/2010,04/09/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MASSACHUSETTS,BOSTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MASSACHUSETTS,STARTALK LANGUAGE INITIATIVE
BRIDGE ACADEMY,DETROIT,163,WAYNE COUNTY,MICHIGAN,482123323,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",98301,0,98301,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MICHIGAN,DETROIT,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MICHIGAN,STARTALK LANGUAGE INITIATIVE
CONCORDIA COLLEGE CORP,MOORHEAD,027,CLAY COUNTY,MINNESOTA,565620002,Private: private higher education,new assistance action,07,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",57325,0,57325,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MINNESOTA,MOORHEAD,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MINNESOTA,STARTALK LANGUAGE INITIATIVE
CONCORDIA COLLEGE CORP,MOORHEAD,027,CLAY COUNTY,MINNESOTA,565620002,Private: private higher education,new assistance action,07,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",97617,0,97617,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MINNESOTA,MOORHEAD,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MINNESOTA,STARTALK LANGUAGE INITIATIVE
CONCORDIA COLLEGE CORP,MOORHEAD,027,CLAY COUNTY,MINNESOTA,565620002,Private: private higher education,new assistance action,07,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",62369,0,62369,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MINNESOTA,MOORHEAD,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MINNESOTA,STARTALK LANGUAGE INITIATIVE
UNIVERSITY OF MISSISSIPPI,OXFORD,071,LAFAYETTE COUNTY,MISSISSIPPI,386770001,Government codes: State controlled institutions of higher education,new assistance action,01,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99997,0,99997,04/13/2010,04/13/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,MISSISSIPPI,OXFORD,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MISSISSIPPI,STARTALK LANGUAGE INITIAITIVE
"BOEING COMPANY, THE",ST. LOUIS,510,ST LOUIS,MISSOURI,631661939,Private: all other,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,2656425,0,2656425,04/05/2010,04/05/2010,12/04/2011,cooperative agreement  (B),action-by-action reporting,NA,NA,MISSOURI,ST. LOUIS,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,MISSOURI,HYBRID MULTI-MATERIAL ROTORS PROGRAM
YUVA HINDI SANSTHAN INC,EDISON,023,MIDDLESEX COUNTY,NEW JERSEY,088174607,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99750,0,99750,04/05/2010,04/05/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,EDISON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",NEW JERSEY,STARTALK LANGUAGE INITIATIVE
WORLD HINDI FOUNDATION INC,MORGANVILLE,025,MONMOUTH COUNTY,NEW JERSEY,077511047,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",59250,0,59250,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,MORGANVILLE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",NEW JERSEY,STARTALK LANGUAGE INITIATIVE
KEAN UNIVERSITY,UNION TOWNSHIP,039,UNION COUNTY,NEW JERSEY,070837133,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",53265,0,53265,04/12/2010,04/12/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,UNION TOWNSHIP,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",NEW JERSEY,STARTALK LANGUAGE INITIATIVE
HAMILTON COLLEGE,CLINTON,065,ONEIDA COUNTY,NEW YORK,133231218,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",67367,0,67367,04/05/2010,04/05/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,CLINTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",NEW YORK,STARTALK LANGUAGE INITIATIVE
QUEENS UNIVERSITY OF CHARLOTTE,CHARLOTTE,119,MECKLENBURG COUNTY,NORTH CAROLINA,282740001,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",53175,0,53175,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,CHARLOTTE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",NORTH CAROLINA,STARTALK LANGUAGE INITIATIVE
UNIVERSITY OF OKLAHOMA,NORMAN,027,CLEVELAND COUNTY,OKLAHOMA,730194039,Government codes: State controlled institutions of higher education,new assistance action,04,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",66276,0,66276,04/09/2010,04/09/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,OKLAHOMA,NORMAN,MATHEMATICAL SCIENCES GRANTS PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",OKLAHOMA,STARTALK LANGUAGE INITIATIVE
PORTLAND STATE UNIVERSITY,PORTLAND,051,MULTNOMAH COUNTY,OREGON,972013218,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99800,0,99800,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,OREGON,PORTLAND,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",OREGON,STARTALK LANGUAGE INITIATIVE
"PHILADELPHIA, SCHOOL DISTRICT",PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191304015,Government codes: independent school district,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",87230,0,87230,04/15/2010,04/15/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PHILADELPHIA,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",PENNSYLVANIA,STARTALK LANGUAGE INITIATIV
"PHILADELPHIA, SCHOOL DISTRICT",PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191304015,Government codes: independent school district,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",87230,0,87230,04/15/2010,04/15/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PHILADELPHIA,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",PENNSYLVANIA,STARTALK LANGUAGE INITIAITVE
TRUSTEES OF THE UNIVERSITY OF,PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191046205,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99950,0,99950,04/09/2010,04/09/2010,04/09/2010,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PHILADELPHIA,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",PENNSYLVANIA,STARTALK LANGUAGE INIITIATIVE
TRUSTEES OF THE UNIVERSITY OF,PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191046205,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PHILADELPHIA,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",PENNSYLVANIA,STARTALK LANGUAGE INITIATIVE
TRUSTEES OF THE UNIVERSITY OF,PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191046205,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",89678,0,89678,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PHILADELPHIA,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",PENNSYLVANIA,STARTALK LANGUAGE INITIATIVE
TRUSTEES OF THE UNIVERSITY OF,PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191046205,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",83779,0,83779,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PHILADELPHIA,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",PENNSYLVANIA,STARTALK LANGUAGE INITIATIVE
CARNEGIE MELLON UNIVERSITY,PITTSBURGH,003,ALLEGHENY COUNTY,PENNSYLVANIA,152133815,Private: private higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,1500000,0,1500000,06/23/2010,06/23/2010,09/22/2011,cooperative agreement  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PITTSBURGH,BASIC AND APPLIED SCIENTIFIC RESEARCH,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,PENNSYLVANIA,FOSTERING INNOVATION THROUGH ROBOTICS EXPLORATION
BRYANT UNIVERSITY,SMITHFIELD TOWN,007,PROVIDENCE COUNTY,RHODE ISLAND,029171290,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99052,0,99052,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,RHODE ISLAND,SMITHFIELD TOWN,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",RHODE ISLAND,STARTALK LANGUAGE INITIATIVE
BRYANT UNIVERSITY,SMITHFIELD TOWN,007,PROVIDENCE COUNTY,RHODE ISLAND,029171290,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99937,0,99937,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,RHODE ISLAND,SMITHFIELD TOWN,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",RHODE ISLAND,STARTALK LANGUAGE INITIATIVE
FURMAN UNIVERSITY,GREENVILLE,045,GREENVILLE COUNTY,SOUTH CAROLINA,296131000,Private: all other,new assistance action,04,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",54620,0,54620,04/05/2010,04/05/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,SOUTH CAROLINA,GREENVILLE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",SOUTH CAROLINA,STARTALK LANGUAGE INITIATIVE
BOARD OF EDUCATION-MEMPHIS CIT,MEMPHIS,157,SHELBY COUNTY,TENNESSEE,381124818,Government codes: independent school district,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99028,0,99028,04/20/2010,04/20/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,TENNESSEE,MEMPHIS,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",TENNESSEE,STARTALK LANGUAGE INITIATIVE
CONSORTIUM OF TEXAS CHINESE LA,FORT WORTH,439,TARRANT COUNTY,TEXAS,770061833,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/01/2010,04/01/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,TEXAS,FORT WORTH,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",TEXAS,STARTALK LANGUAGE INITIATIVE
BRIGHAM YOUNG UNIVERSITY,PROVO,049,UTAH COUNTY,UTAH,846021231,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,UTAH,PROVO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",UTAH,STARTALK LANGUAGE INITIATIVE
BRIGHAM YOUNG UNIVERSITY,PROVO,049,UTAH COUNTY,UTAH,846021231,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99917,0,99917,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,UTAH,PROVO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",UTAH,STARTALK LANGUAGE INITIATIVE
BRIGHAM YOUNG UNIVERSITY,PROVO,049,UTAH COUNTY,UTAH,846021231,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",80255,0,80255,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,UTAH,PROVO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",UTAH,STARTALK LANGUAGE INITIATIVE
PRESIDENT AND FELLOWS OF MIDDL,MIDDLEBURY,001,ADDISON COUNTY,VERMONT,057531447,Private: private higher education,new assistance action,00,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",93000,0,93000,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,VERMONT,MIDDLEBURY,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",VERMONT,STARTALK LANGUAGE INITIATIVE
GEORGE MASON UNIVERSITY,FAIRFAX,600,FAIRFAX,VIRGINIA,220304422,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",98877,0,98877,04/05/2010,04/05/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,FAIRFAX,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",VIRGINIA,STARTALK LANGUAGE INITIATIVE
FAUQUIER COUNTY PUBLIC SCHOOLS,WARRENTON,061,FAUQUIER COUNTY,VIRGINIA,201863037,Private: all other,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",65548,0,65548,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,WARRENTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",VIRGINIA,STARTALK LANGUAGE INITIATIVE
