year,state_code,state_name,health_topic,indicator_metric,measurement_type,numeric_value,demographic_group
2019,AL,Alabama,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,CT,Connecticut,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,30.0,Hispanic
2019,DE,Delaware,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,38.8,"White, non-Hispanic"
2019,DE,Delaware,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,2053.0,Overall
2019,DE,Delaware,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,12.5,"White, non-Hispanic"
2019,GU,Guam,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,27.0,"Asian, non-Hispanic"
2019,HI,Hawaii,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,78.0,Hispanic
2019,IA,Iowa,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,11.6,"Black, non-Hispanic"
2019,MD,Maryland,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,140.0,Hispanic
2019,MA,Massachusetts,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,42.8,Overall
2019,MT,Montana,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,25.5,Hispanic
2019,NV,Nevada,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Age-adjusted Prevalence,23.2,"Black, non-Hispanic"
2019,NH,New Hampshire,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,,"Asian, non-Hispanic"
2019,NJ,New Jersey,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Age-adjusted Prevalence,,"Black, non-Hispanic"
2019,NM,New Mexico,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,809.0,"White, non-Hispanic"
2019,NM,New Mexico,Tobacco,Cigarette smoking during pregnancy among women with a recent live birth,Crude Prevalence,8.0,Hispanic
2019,NY,New York,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,25.0,Hispanic
2019,NY,New York,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,874.0,"Black, non-Hispanic"
2019,NC,North Carolina,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Age-adjusted Rate,154.7,Overall
2019,OR,Oregon,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,61.6,Overall
2019,PA,Pennsylvania,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,58.1,Overall
2019,RI,Rhode Island,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,60.0,Hispanic
2019,SD,South Dakota,Diabetes,Diabetes among adults,Age-adjusted Prevalence,9.3,Overall
2019,TX,Texas,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,34.0,"Asian, non-Hispanic"
2019,US,United States,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,28.0,Hispanic
2019,US,United States,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Crude Rate,1.7,Overall
2019,VI,Virgin Islands,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,,Overall
2019,VI,Virgin Islands,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,,Overall
2019,VA,Virginia,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,31.6,"Black, non-Hispanic"
2019,VA,Virginia,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,3914.0,"White, non-Hispanic"
2019,WA,Washington,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,31.9,Overall
2020,AL,Alabama,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,85.7,"Black, non-Hispanic"
2020,KS,Kansas,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,55.0,"White, non-Hispanic"
2020,MD,Maryland,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,20.0,"Asian, non-Hispanic"
2020,MN,Minnesota,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,2092.0,"White, non-Hispanic"
2020,MS,Mississippi,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,1948.0,Overall
2020,MO,Missouri,Tobacco,Current cigarette smoking among adults,Crude Prevalence,20.0,Hispanic
2020,MT,Montana,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,453.0,Overall
2020,NH,New Hampshire,Diabetes,Diabetes among adults,Age-adjusted Prevalence,7.5,Overall
2020,NJ,New Jersey,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,74.2,Overall
2020,NY,New York,Diabetes,Diabetes among adults,Crude Prevalence,9.5,"White, non-Hispanic"
2020,PR,Puerto Rico,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,57.9,Overall
2020,RI,Rhode Island,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,86.0,Hispanic
2020,TN,Tennessee,Diabetes,Diabetes among adults,Age-adjusted Prevalence,17.9,"Black, non-Hispanic"
2020,US,United States,Tobacco,Current cigarette smoking among adults,Crude Prevalence,11.0,Hispanic
2020,VA,Virginia,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,4091.0,Overall
2020,VA,Virginia,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,8018.0,Overall
2020,WV,West Virginia,Diabetes,Diabetes among adults,Crude Prevalence,,Hispanic
2020,WI,Wisconsin,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,2827.0,Overall
2021,CT,Connecticut,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,34.9,Overall
2021,CT,Connecticut,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,29.5,Overall
2021,DE,Delaware,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,36.2,Overall
2021,DE,Delaware,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,36.0,Hispanic
2021,GA,Georgia,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,40.2,"White, non-Hispanic"
2021,HI,Hawaii,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,63.0,Hispanic
2021,ID,Idaho,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,30.5,Overall
2021,ID,Idaho,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Age-adjusted Prevalence,30.4,Hispanic
2021,IA,Iowa,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,28.4,"Multiracial, non-Hispanic"
2021,IA,Iowa,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,78.0,Hispanic
2021,MS,Mississippi,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,1982.0,Overall
2021,MT,Montana,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Crude Rate,39.8,Overall
2021,MT,Montana,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Age-adjusted Rate,3.2,Overall
2021,NE,Nebraska,Diabetes,Diabetes among adults,Crude Prevalence,9.6,Overall
2021,NJ,New Jersey,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Crude Rate,2.3,Overall
2021,NC,North Carolina,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,188.0,"Asian, non-Hispanic"
2021,ND,North Dakota,Diabetes,Diabetes among adults,Age-adjusted Prevalence,7.9,"White, non-Hispanic"
2021,OH,Ohio,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,35.6,Overall
2021,OK,Oklahoma,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,37.9,Overall
2021,SD,South Dakota,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,189.3,Overall
2020,TX,Texas,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Crude Rate,,"Multiracial, non-Hispanic"
2021,US,United States,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,,"American Indian or Alaska Native, non-Hispanic"
2021,VT,Vermont,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,18.5,Hispanic
2021,VT,Vermont,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,926.0,Overall
2021,VA,Virginia,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,34.6,"White, non-Hispanic"
2021,WA,Washington,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,12789.0,Overall
2021,WI,Wisconsin,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Number,57.0,Hispanic
2021,WI,Wisconsin,Tobacco,Current cigarette smoking among adults,Crude Prevalence,10.0,Hispanic
2022,AL,Alabama,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,37.6,"Multiracial, non-Hispanic"
2022,KY,Kentucky,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,26.7,Hispanic
2022,NH,New Hampshire,Tobacco,Current cigarette smoking among adults,Crude Prevalence,,"Multiracial, non-Hispanic"
2022,ND,North Dakota,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,24.4,"Multiracial, non-Hispanic"
2019,NM,New Mexico,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,30.0,"Black, non-Hispanic"
2022,RI,Rhode Island,Diabetes,Diabetes among adults,Age-adjusted Prevalence,19.1,"Multiracial, non-Hispanic"
2022,TN,Tennessee,Diabetes,Diabetes among adults,Age-adjusted Prevalence,13.1,Overall
2022,VI,Virgin Islands,Tobacco,Current cigarette smoking among adults,Crude Prevalence,,"Black, non-Hispanic"
2019,OK,Oklahoma,Diabetes,Diabetes among adults,Crude Prevalence,10.6,"Multiracial, non-Hispanic"
2019,OH,Ohio,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,,"American Indian or Alaska Native, non-Hispanic"
2019,NJ,New Jersey,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,NC,North Carolina,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,,"Multiracial, non-Hispanic"
2019,AR,Arkansas,Diabetes,Diabetes among adults,Crude Prevalence,18.7,"Black, non-Hispanic"
2019,AK,Alaska,Diabetes,Diabetes among adults,Crude Prevalence,,"Asian, non-Hispanic"
2019,AK,Alaska,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,60.6,Overall
2019,CA,California,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,47.2,"Multiracial, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Crude Rate,71.43,"American Indian or Alaska Native, non-Hispanic"
2019,AL,Alabama,Diabetes,Diabetes among adults,Crude Prevalence,,"Multiracial, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Crude Rate,26.1,"Black, non-Hispanic"
2019,AR,Arkansas,Tobacco,Current electronic vapor product use among high school students,Crude Prevalence,5.0,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AR,Arkansas,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,7.3,Overall
2019,AZ,Arizona,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,2169.0,"White, non-Hispanic"
2019,AL,Alabama,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,30.0,"Multiracial, non-Hispanic"
2019,AK,Alaska,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,,Hispanic
2019,AL,Alabama,Diabetes,Diabetes among adults,Age-adjusted Prevalence,,Hispanic
2019,AR,Arkansas,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,105.4,Overall
2019,AZ,Arizona,Diabetes,Diabetes among adults,Crude Prevalence,17.8,"Black, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,6114.0,"White, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,,"Asian, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Age-adjusted Rate,43.89,"Black, non-Hispanic"
2019,CA,California,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,2361.0,"Asian, non-Hispanic"
2019,AZ,Arizona,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,23.5,"White, non-Hispanic"
2019,AR,Arkansas,Tobacco,Current cigarette smoking among adults,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AR,Arkansas,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,,"American Indian or Alaska Native, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Age-adjusted Rate,,Hispanic
2019,AL,Alabama,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,6.8,Overall
2019,CA,California,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,16851.0,Overall
2019,AK,Alaska,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,"Black, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,59.4,"American Indian or Alaska Native, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,,"Asian, non-Hispanic"
2019,AK,Alaska,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,21.5,"Multiracial, non-Hispanic"
2019,AZ,Arizona,Tobacco,Current cigarette smoking among adults,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AR,Arkansas,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,7.9,"White, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Age-adjusted Rate,219.0,"White, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,63.2,Overall
2019,AZ,Arizona,Diabetes,Diabetes among adults,Age-adjusted Prevalence,9.9,"Multiracial, non-Hispanic"
2019,AZ,Arizona,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,"Black, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,33.7,"Black, non-Hispanic"
2019,AL,Alabama,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Age-adjusted Rate,,"American Indian or Alaska Native, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,31.3,"American Indian or Alaska Native, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,,"Asian, non-Hispanic"
2019,AR,Arkansas,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,21.9,"White, non-Hispanic"
2019,AZ,Arizona,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,31.9,"White, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,106.0,"Asian, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,238.4,"Black, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,3795.0,"White, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Age-adjusted Rate,74.7,"Asian, non-Hispanic"
2019,CA,California,Diabetes,Diabetes among adults,Age-adjusted Prevalence,15.0,Hispanic
2019,AL,Alabama,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,,"Asian, non-Hispanic"
2019,AK,Alaska,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,17.6,Overall
2019,AK,Alaska,Tobacco,Current electronic vapor product use among high school students,Crude Prevalence,29.5,Hispanic
2019,AR,Arkansas,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,11.9,Overall
2019,NM,New Mexico,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,195.0,"American Indian or Alaska Native, non-Hispanic"
2019,AL,Alabama,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,,"Asian, non-Hispanic"
2019,AR,Arkansas,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,56.7,"White, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,48.3,"White, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,66.4,"American Indian or Alaska Native, non-Hispanic"
2019,CA,California,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,27.3,Hispanic
2019,AK,Alaska,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,,Hispanic
2019,NY,New York,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,,"Multiracial, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,33.0,"Multiracial, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,31.3,"American Indian or Alaska Native, non-Hispanic"
2019,AZ,Arizona,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Age-adjusted Rate,,"Asian, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,,"American Indian or Alaska Native, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Age-adjusted Prevalence,,"Asian, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,CA,California,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,203.0,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,27.3,Hispanic
2019,AZ,Arizona,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,55.1,"American Indian or Alaska Native, non-Hispanic"
2019,AZ,Arizona,Diabetes,Diabetes among adults,Age-adjusted Prevalence,22.7,"American Indian or Alaska Native, non-Hispanic"
2019,CA,California,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,88.7,"White, non-Hispanic"
2019,AK,Alaska,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Crude Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AL,Alabama,Tobacco,Current cigarette smoking among adults,Crude Prevalence,20.2,Overall
2019,AL,Alabama,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,,Hispanic
2019,AK,Alaska,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,30.6,Hispanic
2019,AZ,Arizona,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,61.0,Hispanic
2019,CA,California,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,21.9,"Multiracial, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,High cholesterol among adults who have been screened,Age-adjusted Prevalence,18.5,"Multiracial, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,,"Multiracial, non-Hispanic"
2019,AZ,Arizona,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,44.5,"Asian, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Number,12706.0,Overall
2019,AK,Alaska,Tobacco,Cigarette smoking during pregnancy among women with a recent live birth,Crude Prevalence,5.3,"White, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,55.3,"American Indian or Alaska Native, non-Hispanic"
2019,AR,Arkansas,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,,"American Indian or Alaska Native, non-Hispanic"
2019,AK,Alaska,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,12.8,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AL,Alabama,Diabetes,Diabetes among adults,Age-adjusted Prevalence,,"Asian, non-Hispanic"
2019,AR,Arkansas,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Age-adjusted Rate,,Hispanic
2019,AK,Alaska,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,,"Asian, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,7413.0,"White, non-Hispanic"
2019,CA,California,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,36563.0,Overall
2019,AL,Alabama,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,65.2,"Asian, non-Hispanic"
2019,AK,Alaska,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,30.6,"Asian, non-Hispanic"
2019,CA,California,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,,"Asian, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,High cholesterol among adults who have been screened,Age-adjusted Prevalence,29.6,Hispanic
2019,CA,California,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,6470.0,Hispanic
2019,AK,Alaska,Diabetes,Diabetes among adults,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AZ,Arizona,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,"Multiracial, non-Hispanic"
2019,AZ,Arizona,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Age-adjusted Rate,1.3,"White, non-Hispanic"
2019,AK,Alaska,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,,"Multiracial, non-Hispanic"
2019,AK,Alaska,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Age-adjusted Rate,,Hispanic
2019,AK,Alaska,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,,"Black, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,35.3,"Multiracial, non-Hispanic"
2019,AR,Arkansas,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,117.0,"White, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Number,408.0,Hispanic
2019,AZ,Arizona,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,75.5,"Multiracial, non-Hispanic"
2019,AZ,Arizona,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,12.5,"Black, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Crude Rate,18.3,Hispanic
2019,CA,California,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,53.4,"Multiracial, non-Hispanic"
2019,AK,Alaska,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,39.9,"American Indian or Alaska Native, non-Hispanic"
2019,AL,Alabama,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,6.2,"Black, non-Hispanic"
2019,AR,Arkansas,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,22.8,"Multiracial, non-Hispanic"
2019,AZ,Arizona,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,23.9,"Multiracial, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,1561.0,Overall
2019,AL,Alabama,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Crude Rate,,Hispanic
2019,AL,Alabama,Tobacco,Cigarette smoking during pregnancy among women with a recent live birth,Crude Prevalence,,"Asian, non-Hispanic"
2019,AZ,Arizona,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,,"Multiracial, non-Hispanic"
2019,CA,California,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,301.0,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,54.0,"American Indian or Alaska Native, non-Hispanic"
2019,AK,Alaska,Tobacco,"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars",Proportion,47.1,Overall
2019,AZ,Arizona,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Age-adjusted Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AL,Alabama,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,,"Multiracial, non-Hispanic"
2019,AZ,Arizona,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,97.2,"American Indian or Alaska Native, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,CA,California,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,130.3,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AL,Alabama,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,22.0,Hispanic
2019,AL,Alabama,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2019,AR,Arkansas,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,35.0,"Asian, non-Hispanic"
