year,state_code,state_name,health_topic,indicator_metric,measurement_type,numeric_value,demographic_group
2021,SD,South Dakota,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,76.1,"American Indian or Alaska Native, non-Hispanic"
2021,PR,Puerto Rico,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,1.1,Overall
2021,OR,Oregon,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Age-adjusted Prevalence,18.9,"Black, non-Hispanic"
2021,SC,South Carolina,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,55.5,"American Indian or Alaska Native, non-Hispanic"
2021,PA,Pennsylvania,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,22.0,"White, non-Hispanic"
2021,OK,Oklahoma,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Age-adjusted Rate,9.8,"Black, non-Hispanic"
2021,PA,Pennsylvania,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,Overall
2021,OR,Oregon,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Crude Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,ND,North Dakota,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,80.0,"American Indian or Alaska Native, non-Hispanic"
2021,SD,South Dakota,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,SD,South Dakota,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,,"American Indian or Alaska Native, non-Hispanic"
2021,PA,Pennsylvania,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Age-adjusted Rate,35.2,"Multiracial, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,72.4,"Multiracial, non-Hispanic"
2021,SC,South Carolina,Diabetes,Diabetes among adults,Age-adjusted Prevalence,16.1,"Black, non-Hispanic"
2021,OK,Oklahoma,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,3.1,"Multiracial, non-Hispanic"
2021,OK,Oklahoma,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,,"Asian, non-Hispanic"
2021,SD,South Dakota,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,,Hispanic
2021,OK,Oklahoma,Diabetes,Diabetes among adults,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,PR,Puerto Rico,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,41.4,Overall
2021,SC,South Carolina,Tobacco,Cigarette smoking during pregnancy among women with a recent live birth,Crude Prevalence,,Overall
2021,OH,Ohio,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Age-adjusted Rate,204.4,"White, non-Hispanic"
2021,OR,Oregon,Diabetes,Diabetes among adults,Crude Prevalence,,"Black, non-Hispanic"
2021,OK,Oklahoma,Tobacco,Cigarette smoking during pregnancy among women with a recent live birth,Crude Prevalence,1.1,Hispanic
2021,RI,Rhode Island,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,42.1,Hispanic
2021,ND,North Dakota,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Number,,"Asian or Pacific Islander, non-Hispanic"
2021,RI,Rhode Island,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,13.2,"White, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,120.1,"Multiracial, non-Hispanic"
2021,ND,North Dakota,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,,Hispanic
2021,OH,Ohio,Diabetes,Diabetes among adults,Crude Prevalence,12.7,"White, non-Hispanic"
2021,OH,Ohio,Cardiovascular Disease,High cholesterol among adults who have been screened,Age-adjusted Prevalence,33.8,"American Indian or Alaska Native, non-Hispanic"
2021,SD,South Dakota,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,32.1,"Multiracial, non-Hispanic"
2021,OR,Oregon,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,OR,Oregon,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,56.8,Hispanic
2021,SC,South Carolina,Cardiovascular Disease,High cholesterol among adults who have been screened,Age-adjusted Prevalence,35.8,"American Indian or Alaska Native, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,40.0,"Asian, non-Hispanic"
2021,PR,Puerto Rico,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,,"White, non-Hispanic"
2021,ND,North Dakota,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,4.7,"White, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,37.7,"Multiracial, non-Hispanic"
2021,ND,North Dakota,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,186.5,"American Indian or Alaska Native, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,SC,South Carolina,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,8659.0,"White, non-Hispanic"
2021,RI,Rhode Island,Tobacco,"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars",Proportion,0.0,Overall
2021,SD,South Dakota,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,147.1,Overall
2021,OR,Oregon,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,33.4,Hispanic
2021,OK,Oklahoma,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Number,783.0,"Black, non-Hispanic"
2021,OH,Ohio,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,,"American Indian or Alaska Native, non-Hispanic"
2021,PA,Pennsylvania,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,50.8,"Asian, non-Hispanic"
2021,SC,South Carolina,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,21.5,Hispanic
2021,PA,Pennsylvania,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,129.9,"White, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,68.2,"Black, non-Hispanic"
2021,OK,Oklahoma,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,PR,Puerto Rico,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,,"Asian, non-Hispanic"
2021,ND,North Dakota,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,14.1,"White, non-Hispanic"
2021,SC,South Carolina,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,PA,Pennsylvania,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,59.8,"Asian, non-Hispanic"
2021,SD,South Dakota,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Crude Rate,,Hispanic
2021,OR,Oregon,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,21.6,Hispanic
2021,PR,Puerto Rico,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Age-adjusted Prevalence,,"American Indian or Alaska Native, non-Hispanic"
2021,PA,Pennsylvania,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,,"American Indian or Alaska Native, non-Hispanic"
2021,OH,Ohio,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,22.2,"Asian, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,35.4,Hispanic
2021,PA,Pennsylvania,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Crude Rate,2.5,"White, non-Hispanic"
2021,OK,Oklahoma,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,321.8,"Black, non-Hispanic"
2021,RI,Rhode Island,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,,"Multiracial, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,High cholesterol among adults who have been screened,Age-adjusted Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,40.4,"White, non-Hispanic"
2021,RI,Rhode Island,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,35.2,"White, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,PA,Pennsylvania,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,151.9,"White, non-Hispanic"
2021,PA,Pennsylvania,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,,"White, non-Hispanic"
2021,RI,Rhode Island,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,,"Multiracial, non-Hispanic"
2021,PA,Pennsylvania,Diabetes,Diabetes among adults,Crude Prevalence,13.8,Hispanic
2021,RI,Rhode Island,Tobacco,Current cigarette smoking among adults,Crude Prevalence,12.4,Overall
2021,SC,South Carolina,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,,"American Indian or Alaska Native, non-Hispanic"
2021,RI,Rhode Island,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,26.3,Hispanic
2021,PR,Puerto Rico,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,,"Black, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,,"Asian, non-Hispanic"
2021,PA,Pennsylvania,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Age-adjusted Rate,180.6,Overall
2021,OR,Oregon,Diabetes,Diabetes among adults,Age-adjusted Prevalence,16.6,"Multiracial, non-Hispanic"
2021,OH,Ohio,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,OK,Oklahoma,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,5242.0,Overall
2021,PR,Puerto Rico,Diabetes,Diabetes among adults,Crude Prevalence,,"Multiracial, non-Hispanic"
2021,ND,North Dakota,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,"Black, non-Hispanic"
2021,ND,North Dakota,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,47.7,Overall
2021,PR,Puerto Rico,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,,"Black, non-Hispanic"
2021,SD,South Dakota,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Age-adjusted Prevalence,46.1,Hispanic
2021,SC,South Carolina,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,5617.0,"White, non-Hispanic"
2021,RI,Rhode Island,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,,"Black, non-Hispanic"
2021,ND,North Dakota,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,186.1,Overall
2021,RI,Rhode Island,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,48.3,Overall
2021,RI,Rhode Island,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,39.0,"Black, non-Hispanic"
2021,OR,Oregon,Tobacco,Current electronic vapor product use among high school students,Crude Prevalence,,"Multiracial, non-Hispanic"
2021,OH,Ohio,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Number,4920.0,"Black, non-Hispanic"
2021,SC,South Carolina,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Age-adjusted Rate,73.5,"Asian, non-Hispanic"
2021,OH,Ohio,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Crude Rate,,"Multiracial, non-Hispanic"
2021,PR,Puerto Rico,Cardiovascular Disease,High blood pressure among adults,Age-adjusted Prevalence,,"Asian, non-Hispanic"
2021,ND,North Dakota,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,24.2,Hispanic
2021,SD,South Dakota,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Crude Rate,,"Black, non-Hispanic"
2021,OK,Oklahoma,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,27.1,"Multiracial, non-Hispanic"
2021,ND,North Dakota,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,29.9,Hispanic
2021,PA,Pennsylvania,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Age-adjusted Rate,,"Asian, non-Hispanic"
2021,OH,Ohio,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Crude Rate,30.5,Hispanic
2021,SC,South Carolina,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,SD,South Dakota,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Age-adjusted Rate,99.1,Overall
2021,OK,Oklahoma,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,9.9,"White, non-Hispanic"
2021,SD,South Dakota,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,24.0,"Asian, non-Hispanic"
2021,OR,Oregon,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,,Hispanic
2021,OH,Ohio,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Number,63.0,Hispanic
2021,PA,Pennsylvania,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Age-adjusted Rate,,"American Indian or Alaska Native, non-Hispanic"
2021,OH,Ohio,Diabetes,Diabetes among adults,Age-adjusted Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,OR,Oregon,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,13.2,"White, non-Hispanic"
2021,OR,Oregon,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,16.5,"American Indian or Alaska Native, non-Hispanic"
2021,SC,South Carolina,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Age-adjusted Rate,,"American Indian or Alaska Native, non-Hispanic"
2021,SC,South Carolina,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,,Hispanic
2021,RI,Rhode Island,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Crude Rate,56.9,"Asian, non-Hispanic"
2021,PA,Pennsylvania,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,14.8,Hispanic
2021,OK,Oklahoma,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",Number,824.0,"Black, non-Hispanic"
2021,OR,Oregon,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Age-adjusted Rate,66.1,"Black, non-Hispanic"
2021,RI,Rhode Island,Diabetes,Diabetes among adults,Crude Prevalence,9.9,Hispanic
2021,PA,Pennsylvania,Tobacco,Current cigarette smoking among adults,Age-adjusted Prevalence,16.5,"Multiracial, non-Hispanic"
2021,PA,Pennsylvania,Tobacco,Quit attempts in the past year among adult current smokers,Age-adjusted Prevalence,,"Hawaiian or Pacific Islander, non-Hispanic"
2021,PR,Puerto Rico,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,9.4,Hispanic
2021,ND,North Dakota,Cardiovascular Disease,Taking medicine for high cholesterol among adults,Crude Prevalence,33.4,Overall
